Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Полоцк
Предикторы:;; 
Уравнение:;; 
Модель:;; KNeighborsRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;672.0;-99.1875;9838.16015625;-0.7492103945305857;621.392943327329;50.60705667267098;2561.0741850709323;0.38225918483441496
2.0;1992.0;812.0;40.8125;1665.66015625;0.3082762366909089;803.8168565994708;8.183143400529161;66.96383591362397;0.061811176767342775
3.0;1993.0;741.0;-30.1875;911.28515625;-0.22802055485713477;653.125475572037;87.87452442796302;7721.93204344067;0.6637581057679824
4.0;1994.0;1100.0;328.8125;108117.66015625;2.483677306632269;633.9222301411191;466.07776985888086;217228.48755662792;3.520507219537821
5.0;1995.0;746.0;-25.1875;634.41015625;-0.19025317517065282;723.4903968278796;22.509603172120364;506.6822349663312;0.17002574591870165
6.0;1996.0;684.0;-87.1875;7601.66015625;-0.658568683283029;609.8925395347533;74.10746046524673;5491.915696608107;0.5597689193983847
7.0;1997.0;551.0;-220.1875;48482.53515625;-1.6631809829434487;594.5251484205285;-43.52514842052847;1894.4385450290317;-0.32876616126171576
8.0;1998.0;656.0;-115.1875;13268.16015625;-0.8700660095273279;659.6403431049572;-3.6403431049571964;13.252097921809401;-0.027497244046797008
9.0;1999.0;1004.0;232.8125;54201.66015625;1.7585436166518158;955.6536880085907;48.346311991409266;2337.3658831706834;0.3651827042841338
10.0;2000.0;899.0;127.8125;16336.03515625;0.9654286432356948;759.7391985409669;139.26080145903313;19393.570823012244;1.0519031128294167
11.0;2001.0;840.0;68.8125;4735.16015625;0.5197735629352078;762.9880675218244;77.0119324781756;5930.837744023077;0.5817077788585937
12.0;2003.0;525.0;-246.1875;60608.28515625;-1.859571357313155;644.750412274846;-119.75041227484598;14340.161239995585;-0.9045318575993714
13.0;2004.0;1082.0;310.8125;96604.41015625;2.347714739760934;955.9441426910656;126.05585730893438;15890.079161890424;0.9521598849383031
14.0;2005.0;818.0;46.8125;2191.41015625;0.3535970923146872;824.9269875853843;-6.926987585384268;47.98315700806777;-0.05232283404415089
15.0;2006.0;740.0;-31.1875;972.66015625;-0.23557403079443115;609.8925395347533;130.10746046524673;16927.95126871574;0.9827635718869825
16.0;2007.0;759.0;-12.1875;148.53515625;-0.09205798798579976;656.015541277931;102.98445872206901;10605.798738277535;0.7778906308726415
17.0;2008.0;689.0;-82.1875;6754.78515625;-0.6208013035965471;566.6344552828936;122.36554471710645;14973.326533914176;0.9242851975748289
18.0;2009.0;827.0;55.8125;3115.03515625;0.42157837575035473;761.6397296014273;65.36027039857265;4271.964946574532;0.49369722971080404
19.0;2010.0;1084.0;312.8125;97851.66015625;2.362821691635527;1025.0468586687375;58.953141331262486;3475.472872823809;0.44530113447372444
20.0;2011.0;947.0;175.8125;30910.03515625;1.3279954882259215;1042.464452673764;-95.46445267376407;9113.46172430134;-0.7210884461384469
21.0;2012.0;936.0;164.8125;27163.16015625;1.2449072529156613;904.7471503208644;31.25284967913558;976.7406130666449;0.2360676480232918
22.0;2013.0;1100.0;328.8125;108117.66015625;2.483677306632269;1036.3619221625715;63.638077837428455;4049.8049508426025;0.4806886896408105
23.0;2014.0;453.0;-318.1875;101243.28515625;-2.403421624798495;675.5334901527331;-222.53349015273307;49521.15423955654;-1.6809013631112524
24.0;2015.0;494.0;-277.1875;76832.91015625;-2.093729111369343;829.0992624761805;-335.09926247618046;112291.51571208009;-2.531164215719596
25.0;2016.0;513.0;-258.1875;66660.78515625;-1.9502130685607115;769.4619364784241;-256.46193647842415;65772.72486226326;-1.937179066022212
26.0;2017.0;700.0;-71.1875;5067.66015625;-0.5377130682862867;656.9995892932045;43.00041070679549;1849.0353209530924;0.3248025675676418
27.0;2018.0;760.0;-11.1875;125.16015625;-0.08450451204850336;717.126068514908;42.873931485092044;1838.1740009883667;0.3238472098099368
28.0;2019.0;522.0;-249.1875;62094.41015625;-1.882231785125044;655.3828842842541;-133.38288428425415;17790.993819986732;-1.0075044068883026
29.0;2020.0;564.0;-207.1875;42926.66015625;-1.5649857957585958;581.8602484276682;-17.86024842766824;318.9884738980258;-0.13490695673252773
30.0;2021.0;687.0;-84.1875;7087.53515625;-0.6359082554711398;676.9793929843567;10.02060701564335;100.41256496196073;0.07569041396976543
31.0;2022.0;655.0;-116.1875;13499.53515625;-0.8776194854646243;727.8821618771741;-72.8821618771741;5311.809519890609;-0.5505136559973748
32.0;2023.0;1118.0;346.8125;120278.91015625;2.619639873503604;1004.7507866952106;113.24921330478935;12825.384314153676;0.8554252076154725
Сумма;;24678.0
Средний;;771.1875
Высший;;1118.0
Низший;;453.0

σ = ;;196.4234132125407;;σ -;среднеквадратическое отклонение (см)
δдоп =;;132.38938050525243;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;53.125;;Pк -;климатическая обеспеченность в %
Pм =;;81.25;;Pм -;обеспеченность метода в %
S =;;142.04036894170062;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.7231335950160142;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.5229221962407847;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.690708190018922;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
