Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Полоцк
Предикторы:;; X
Уравнение:;; 463.839 + 2.533*X
Модель:;; OMP1

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;672.0;-99.1875;9838.16015625;-0.7492103945305857;772.8960244031584;-100.89602440315844;10180.007740362742;-0.7621156924981266
2.0;1992.0;812.0;40.8125;1665.66015625;0.3082762366909089;772.8960244031584;39.103975596841565;1529.1209074783806;0.295370938723368
3.0;1993.0;741.0;-30.1875;911.28515625;-0.22802055485713477;772.8960244031584;-31.896024403158435;1017.3563727268784;-0.24092585282467568
4.0;1994.0;1100.0;328.8125;108117.66015625;2.483677306632269;772.8960244031584;327.10397559684156;106997.01085125913;2.4707720086647282
5.0;1995.0;746.0;-25.1875;634.41015625;-0.19025317517065282;772.8960244031584;-26.896024403158435;723.396128695294;-0.20315847313819374
6.0;1996.0;684.0;-87.1875;7601.66015625;-0.658568683283029;772.8960244031584;-88.89602440315844;7902.50315468694;-0.6714739812505699
7.0;1997.0;551.0;-220.1875;48482.53515625;-1.6631809829434487;772.8960244031584;-221.89602440315844;49237.84564592708;-1.6760862809109898
8.0;1998.0;656.0;-115.1875;13268.16015625;-0.8700660095273279;772.8960244031584;-116.89602440315844;13664.680521263812;-0.8829713074948689
9.0;1999.0;1004.0;232.8125;54201.66015625;1.7585436166518158;772.8960244031584;231.10397559684156;53409.047536665545;1.7456383186842748
10.0;2000.0;899.0;127.8125;16336.03515625;0.9654286432356948;772.8960244031584;126.10397559684156;15902.212661328813;0.9525233452681539
11.0;2001.0;840.0;68.8125;4735.16015625;0.5197735629352078;772.8960244031584;67.10397559684156;4502.943540901509;0.5068682649676669
12.0;2003.0;525.0;-246.1875;60608.28515625;-1.859571357313155;772.8960244031584;-247.89602440315844;61452.438914891325;-1.872476655280696
13.0;2004.0;1082.0;310.8125;96604.41015625;2.347714739760934;772.8960244031584;309.10397559684156;95545.26772977282;2.3348094417933933
14.0;2005.0;818.0;46.8125;2191.41015625;0.3535970923146872;772.8960244031584;45.103975596841565;2034.3686146404793;0.3406917943471463
15.0;2006.0;740.0;-31.1875;972.66015625;-0.23557403079443115;772.8960244031584;-32.896024403158435;1082.1484215331952;-0.24847932876197207
16.0;2007.0;759.0;-12.1875;148.53515625;-0.09205798798579976;772.8960244031584;-13.896024403158435;193.09949421317475;-0.10496328595334066
17.0;2008.0;689.0;-82.1875;6754.78515625;-0.6208013035965471;772.8960244031584;-83.89602440315844;7038.542910655356;-0.633706601564088
18.0;2009.0;827.0;55.8125;3115.03515625;0.42157837575035473;772.8960244031584;54.103975596841565;2927.2401753836275;0.4086730777828138
19.0;2010.0;1084.0;312.8125;97851.66015625;2.362821691635527;772.8960244031584;311.10397559684156;96785.68363216019;2.349916393667986
20.0;2011.0;947.0;175.8125;30910.03515625;1.3279954882259215;772.8960244031584;174.10397559684156;30312.194318625603;1.3150901902583807
21.0;2012.0;936.0;164.8125;27163.16015625;1.2449072529156613;772.8960244031584;163.10397559684156;26602.90685549509;1.2320019549481203
22.0;2013.0;1100.0;328.8125;108117.66015625;2.483677306632269;772.8960244031584;327.10397559684156;106997.01085125913;2.4707720086647282
23.0;2014.0;453.0;-318.1875;101243.28515625;-2.403421624798495;772.8960244031584;-319.89602440315844;102333.46642894614;-2.416326922766036
24.0;2015.0;494.0;-277.1875;76832.91015625;-2.093729111369343;772.8960244031584;-278.89602440315844;77782.99242788715;-2.106634409336884
25.0;2016.0;513.0;-258.1875;66660.78515625;-1.9502130685607115;772.8960244031584;-259.89602440315844;67545.94350056713;-1.9631183665282526
26.0;2017.0;700.0;-71.1875;5067.66015625;-0.5377130682862867;772.8960244031584;-72.89602440315844;5313.8303737858705;-0.5506183662538277
27.0;2018.0;760.0;-11.1875;125.16015625;-0.08450451204850336;772.8960244031584;-12.896024403158435;166.30744540685788;-0.09740981001604428
28.0;2019.0;522.0;-249.1875;62094.41015625;-1.882231785125044;772.8960244031584;-250.89602440315844;62948.81506131027;-1.895137083092585
29.0;2020.0;564.0;-207.1875;42926.66015625;-1.5649857957585958;772.8960244031584;-208.89602440315844;43637.549011444964;-1.5778910937261366
30.0;2021.0;687.0;-84.1875;7087.53515625;-0.6359082554711398;772.8960244031584;-85.89602440315844;7378.127008267989;-0.6488135534386807
31.0;2022.0;655.0;-116.1875;13499.53515625;-0.8776194854646243;772.8960244031584;-117.89602440315844;13899.47257007013;-0.8905247834321652
32.0;2023.0;1118.0;346.8125;120278.91015625;2.619639873503604;772.8960244031584;345.10397559684156;119096.75397274541;2.606734575536063
Сумма;;24678.0
Средний;;771.1875
Высший;;1118.0
Низший;;453.0

σ = ;;196.4234132125407;;σ -;среднеквадратическое отклонение (см)
δдоп =;;132.38938050525243;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;53.125;;Pк -;климатическая обеспеченность в %
Pм =;;53.125;;Pм -;обеспеченность метода в %
S =;;196.43108327549828;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;1.0000390486186557;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;1.0000780987621058;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
