Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Полоцк
Предикторы:;; S_2802, H_2802, X2, Xs, Y_sum
Уравнение:;; 207.962 + 3.641*S_2802 + 0.523*H_2802 + 1.121*X2 + 0.609*Xs + 1.464*Y_sum
Модель:;; LassoCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;672.0;-99.1875;9838.16015625;-0.7492103945305857;641.0248434608658;30.97515653913422;959.4603226238693;0.23397009957233925
2.0;1992.0;812.0;40.8125;1665.66015625;0.3082762366909089;661.2831715132903;150.7168284867097;22715.562389092265;1.1384359373199886
3.0;1993.0;741.0;-30.1875;911.28515625;-0.22802055485713477;726.9939610698626;14.006038930137379;196.1691265125238;0.10579427803562916
4.0;1994.0;1100.0;328.8125;108117.66015625;2.483677306632269;836.3111381303879;263.6888618696121;69531.81587409136;1.9917674730651864
5.0;1995.0;746.0;-25.1875;634.41015625;-0.19025317517065282;732.1835869696195;13.816413030380545;190.8932690260693;0.10436194336472773
6.0;1996.0;684.0;-87.1875;7601.66015625;-0.658568683283029;795.7581576733639;-111.75815767336394;12489.885806544475;-0.8441625547823304
7.0;1997.0;551.0;-220.1875;48482.53515625;-1.6631809829434487;621.9793306695591;-70.97933066955909;5038.065382298611;-0.5361406662579182
8.0;1998.0;656.0;-115.1875;13268.16015625;-0.8700660095273279;756.2461894537565;-100.24618945375653;10049.298499998447;-0.7572071798446051
9.0;1999.0;1004.0;232.8125;54201.66015625;1.7585436166518158;919.1504544070353;84.84954559296466;7199.445387332588;0.6409090009269914
10.0;2000.0;899.0;127.8125;16336.03515625;0.9654286432356948;732.2139374725892;166.78606252741076;27817.590653397372;1.2598145099772082
11.0;2001.0;840.0;68.8125;4735.16015625;0.5197735629352078;836.8427275837188;3.1572724162812165;9.968369110610231;0.0238483812238698
12.0;2003.0;525.0;-246.1875;60608.28515625;-1.859571357313155;659.290456117425;-134.29045611742504;18033.92660422606;-1.0143597288915267
