Predictors;Equations;Method;Criterion;Correlation;Pm
;;BaggingRegressor;0.554122753397897;0.8324349669293893;76.66666666666667
;;RandomForestRegressor;0.5698169445448589;0.8217716530214225;80.0
;;VotingRegressor;0.5897964700702512;0.8075519326289;76.66666666666667
;;HistGradientBoostingRegressor;0.5902692565438059;0.8072064201796357;70.0
;;ExtraTreesRegressor;0.619323572607674;0.7851358560226804;70.0
;;StackingRegressorRidge;0.6294901921762509;0.7770084284960536;66.66666666666666
;;AdaBoostRegressor;0.6608635710170074;0.7505060562731314;80.0
;;KNeighborsRegressor;0.6736405527504505;0.7390591354486239;76.66666666666667
Smax, H_2802, X, X1, X3, L_max, Y_sum;45.166 + 0.757*Smax + 0.313*H_2802 + 0.339*X + 0.102*X1 + 0.099*X3 + 0.412*L_max + 0.324*Y_sum;LassoCV;0.7152911733292538;0.6988265431115644;56.666666666666664
Smax, H_2802, X, X1, X3, L_max, Y_sum;43.829 + 0.76*Smax + 0.316*H_2802 + 0.339*X + 0.103*X1 + 0.099*X3 + 0.415*L_max + 0.333*Y_sum;LarsCV;0.7153093548108437;0.6988079327827458;56.666666666666664
Smax, H_2802, X, X1, X3, L_max, Y_sum;43.829 + 0.76*Smax + 0.316*H_2802 + 0.339*X + 0.103*X1 + 0.099*X3 + 0.415*L_max + 0.333*Y_sum;Lars7;0.7153093548108437;0.6988079327827458;56.666666666666664
Smax, H_2802, X, X1, X3, L_max, Y_sum;43.829 + 0.76*Smax + 0.316*H_2802 + 0.339*X + 0.103*X1 + 0.099*X3 + 0.415*L_max + 0.333*Y_sum;Lars8;0.7153093548108437;0.6988079327827458;56.666666666666664
Smax, H_2802, X, X1, X3, L_max, Y_sum;43.829 + 0.76*Smax + 0.316*H_2802 + 0.339*X + 0.103*X1 + 0.099*X3 + 0.415*L_max + 0.333*Y_sum;Lars9;0.7153093548108437;0.6988079327827458;56.666666666666664
Smax, H_2802, X, X1, X3, L_max, Y_sum;43.829 + 0.76*Smax + 0.316*H_2802 + 0.339*X + 0.103*X1 + 0.099*X3 + 0.415*L_max + 0.333*Y_sum;Lars10;0.7153093548108437;0.6988079327827458;56.666666666666664
Smax, H_2802, X, X1, X3, L_max, Y_sum;43.829 + 0.76*Smax + 0.316*H_2802 + 0.339*X + 0.103*X1 + 0.099*X3 + 0.415*L_max + 0.333*Y_sum;Lars11;0.7153093548108437;0.6988079327827458;56.666666666666664
Smax, H_2802, X, X1, X3, L_max, Y_sum;43.829 + 0.76*Smax + 0.316*H_2802 + 0.339*X + 0.103*X1 + 0.099*X3 + 0.415*L_max + 0.333*Y_sum;Lars12;0.7153093548108437;0.6988079327827458;56.666666666666664
Smax, H_2802, X, X1, X3, L_max, Y_sum;43.829 + 0.76*Smax + 0.316*H_2802 + 0.339*X + 0.103*X1 + 0.099*X3 + 0.415*L_max + 0.333*Y_sum;Lars13;0.7153093548108437;0.6988079327827458;56.666666666666664
Smax, H_2802, X, X1, X3, L_max, Y_sum;43.829 + 0.76*Smax + 0.316*H_2802 + 0.339*X + 0.103*X1 + 0.099*X3 + 0.415*L_max + 0.333*Y_sum;Lars14;0.7153093548108437;0.6988079327827458;56.666666666666664
Smax, H_2802, X, X1, X3, L_max, Y_sum;43.829 + 0.76*Smax + 0.316*H_2802 + 0.339*X + 0.103*X1 + 0.099*X3 + 0.415*L_max + 0.333*Y_sum;LassoLarsCV;0.7153093548108437;0.6988079327827458;56.666666666666664
Smax, H_2802, X, X1, X3, L_max, Y_sum;43.829 + 0.76*Smax + 0.316*H_2802 + 0.339*X + 0.103*X1 + 0.099*X3 + 0.415*L_max + 0.333*Y_sum;OMP7;0.7153093548108437;0.6988079327827458;56.666666666666664
Smax, H_2802, X, X1, X3, L_max, Y_sum;43.829 + 0.76*Smax + 0.316*H_2802 + 0.339*X + 0.103*X1 + 0.099*X3 + 0.415*L_max + 0.333*Y_sum;LinearRegression;0.715309354810844;0.6988079327827454;56.666666666666664
