Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Стешицы
Предикторы:;; Smax, H_2802, X, X1, X3, L_max, Y_sum
Уравнение:;; Непараметрическая (нелинейная) модель
Модель:;; ExtraTreesRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;250.40269578139686;30.597304218603142;936.1950254457496;1.0692380752338237
2.0;1986.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;263.8460023718093;28.153997628190723;792.6475824481688;0.9838555063227264
3.0;1987.0;275.0;30.400000000000006;924.1600000000003;1.0623431807873234;246.47656626416446;28.52343373583554;813.5862720826009;0.9967656355889462
4.0;1988.0;291.0;46.400000000000006;2152.9600000000005;1.6214711706753882;246.08892544644138;44.91107455355862;2017.0046175553007;1.5694399274277655
5.0;1989.0;168.0;-76.6;5867.5599999999995;-2.67682525158911;239.64075544295522;-71.64075544295522;5132.397840437318;-2.5035219740551247
6.0;1991.0;195.0;-49.599999999999994;2460.1599999999994;-1.7332967686530005;267.28699793959817;-72.28699793959817;5225.41007111947;-2.5261052408131377
7.0;1992.0;166.0;-78.6;6177.959999999999;-2.746716250325118;246.13677467076195;-80.13677467076195;6421.902654632474;-2.8004196086109947
8.0;1993.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;248.10130597254624;-50.10130597254624;2510.1408601546977;-1.7508151561997922
9.0;1994.0;286.0;41.400000000000006;1713.9600000000005;1.4467436738353678;248.57755844040267;37.42244155959733;1400.4391322814774;1.307745907870077
10.0;1996.0;277.0;32.400000000000006;1049.7600000000004;1.1322341795233315;259.17567841389524;17.82432158610476;317.70644000488005;0.6228798187223248
11.0;1998.0;207.0;-37.599999999999994;1413.7599999999995;-1.313950776236952;260.9895870539031;-53.98958705390311;2914.875510250982;-1.8866930802709707
12.0;1999.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;275.55902136891564;16.440978631084363;270.3057783477727;0.5745382083619267
13.0;2001.0;216.0;-28.599999999999994;817.9599999999997;-0.9994412819249157;243.19985728748216;-27.19985728748216;739.8322364593964;-0.9505125956495082
14.0;2003.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;243.60496674477824;-45.60496674477824;2079.812991792329;-1.5936883365574936
15.0;2004.0;296.0;51.400000000000006;2641.9600000000005;1.7961986675154082;252.8283377887715;43.171662211228494;1863.7924180804143;1.5086552945181697
16.0;2005.0;220.0;-24.599999999999994;605.1599999999997;-0.8596592844528994;258.9978369275632;-38.997836927563185;1520.8312850288107;-1.3627988857056843
17.0;2006.0;279.0;34.400000000000006;1183.3600000000004;1.2021251782593394;243.55452501001417;35.445474989985826;1256.3816972657107;1.238659823861153
18.0;2007.0;236.0;-8.599999999999994;73.95999999999991;-0.30053129456483463;251.92125890886484;-15.921258908864843;253.48648524310812;-0.5563763431375652
19.0;2008.0;227.0;-17.599999999999994;309.7599999999998;-0.6150407888768711;247.72538114659991;-20.725381146599915;429.5414236718392;-0.7242587937601503
20.0;2009.0;233.0;-11.599999999999994;134.55999999999986;-0.40536779266884676;244.53669167517756;-11.536691675177565;133.09525480811132;-0.40315545164377514
21.0;2010.0;321.0;76.4;5836.960000000001;2.6698361517155096;267.17339824531683;53.82660175468317;2897.303056457261;1.8809974776000862
22.0;2011.0;242.0;-2.5999999999999943;6.7599999999999705;-0.09085829835681034;252.86858952572325;-10.868589525723252;118.12623827866118;-0.37980828840225733
23.0;2012.0;235.0;-9.599999999999994;92.1599999999999;-0.3354767939328387;245.95005248835258;-10.950052488352583;119.90364949767658;-0.38265505231133634
24.0;2013.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;245.53066089616289;35.469339103837115;1258.0740164629885;1.2394937672366613
25.0;2015.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;254.5313640025843;-54.5313640025843;2973.6696599823463;-1.9056257462887083
26.0;2017.0;267.0;22.400000000000006;501.7600000000003;0.7827791858432909;265.9557809166638;1.044219083336202;1.0903934940034978;0.036490757316783015
27.0;2018.0;266.0;21.400000000000006;457.96000000000026;0.7478336864752868;264.67739604363237;1.3226039563676295;1.7492812253993064;0.04621905572136465
28.0;2019.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;249.81179611113922;-49.811796111139216;2481.215031817704;-1.740698089520962
29.0;2021.0;212.0;-32.599999999999994;1062.7599999999995;-1.139223279396932;245.5978153175304;-33.597815317530404;1128.8131941108807;-1.1740924339450756
30.0;2023.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;254.8816720903854;26.118327909614607;682.1670527941533;0.9127180114587597
Сумма;;7338.0
Средний;;244.6
Высший;;321.0
Низший;;166.0

σ = ;;42.4569558900338;;σ -;среднеквадратическое отклонение (см)
δдоп =;;28.61598826988278;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;30.0;;Pк -;климатическая обеспеченность в %
Pм =;;36.666666666666664;;Pм -;обеспеченность метода в %
S =;;40.487099398107965;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.953603444933078;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.909359530188234;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.30106555733222956;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
