Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Стешицы
Предикторы:;; S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum
Уравнение:;; 58.11 + 0.844*S_2802 + 0.419*H_2802 + 0.724*X2 + 0.006*X3 + 0.255*Xs + 0.401*L_2802 + 0.149*Y_sum
Модель:;; ElasticNetCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;293.17080320639167;-12.170803206391668;148.12845068871368;-0.42531479575706166
2.0;1986.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;295.68021311313777;-3.6802131131377678;13.54396855811118;-0.12860688501927608
3.0;1987.0;275.0;30.400000000000006;924.1600000000003;1.0623431807873234;297.61423257266205;-22.614232572662047;511.4035148504491;-0.7902656500758581
4.0;1988.0;291.0;46.400000000000006;2152.9600000000005;1.6214711706753882;243.75001608320136;47.24998391679864;2232.5609801377304;1.6511742831026883
5.0;1989.0;168.0;-76.6;5867.5599999999995;-2.67682525158911;200.89086331212033;-32.89086331212033;1081.8088894165833;-1.1493876430868086
6.0;1991.0;195.0;-49.599999999999994;2460.1599999999994;-1.7332967686530005;239.18961417338357;-44.189614173383575;1952.7220007925025;-1.5442281341683184
7.0;1992.0;166.0;-78.6;6177.959999999999;-2.746716250325118;195.79669885878073;-29.79669885878073;887.8432628808648;-1.041260521138129
8.0;1993.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;207.29613175650638;-9.296131756506384;86.41806563432647;-0.3248579664218762
9.0;1994.0;286.0;41.400000000000006;1713.9600000000005;1.4467436738353678;271.7591115314533;14.2408884685467;202.8029043735864;0.49765495897741485
10.0;1996.0;277.0;32.400000000000006;1049.7600000000004;1.1322341795233315;291.14601389653734;-14.14601389653734;200.10970916102755;-0.49433951968122214
11.0;1998.0;207.0;-37.599999999999994;1413.7599999999995;-1.313950776236952;207.1888312664172;-0.18883126641719628;0.03565724717672216;-0.006598802901241537
12.0;1999.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;284.31364970525993;7.686350294740066;59.0799808534507;0.26860334936709673
13.0;2001.0;216.0;-28.599999999999994;817.9599999999997;-0.9994412819249157;212.1320671745508;3.867932825449202;14.960904342187447;0.13516684410721722
14.0;2003.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;224.25517160245357;-26.255171602453572;689.3340358742845;-0.9175000826403792
15.0;2004.0;296.0;51.400000000000006;2641.9600000000005;1.7961986675154082;284.3052965490585;11.694703450941518;136.76608880546343;0.40867725205387156
16.0;2005.0;220.0;-24.599999999999994;605.1599999999997;-0.8596592844528994;234.0492138377544;-14.049213837754394;197.38040945894954;-0.4909567932881999
17.0;2006.0;279.0;34.400000000000006;1183.3600000000004;1.2021251782593394;256.9982338162998;22.001766183700227;484.07771520221485;0.7688627062674691
18.0;2007.0;236.0;-8.599999999999994;73.95999999999991;-0.30053129456483463;241.15680587477178;-5.156805874771777;26.592646830080714;-0.1802071564377567
19.0;2008.0;227.0;-17.599999999999994;309.7599999999998;-0.6150407888768711;185.42281088863274;41.57718911136726;1728.6626544023964;1.4529356358146694
20.0;2009.0;233.0;-11.599999999999994;134.55999999999986;-0.40536779266884676;236.62963441819215;-3.629634418192154;13.174246009725097;-0.12683938726701965
21.0;2010.0;321.0;76.4;5836.960000000001;2.6698361517155096;280.8763983210241;40.12360167897589;1609.9034116931166;1.4021392971146982
22.0;2011.0;242.0;-2.5999999999999943;6.7599999999999705;-0.09085829835681034;278.0951083594043;-36.09510835940432;1302.8568474771398;-1.2613615863616015
23.0;2012.0;235.0;-9.599999999999994;92.1599999999999;-0.3354767939328387;247.66324381042548;-12.663243810425485;160.35774380227934;-0.44252337857410495
24.0;2013.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;259.60185114582083;21.39814885417917;457.8807743856093;0.7477689972601748
25.0;2015.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;225.63668817980263;-25.636688179802633;657.239780828432;-0.8958868705850098
26.0;2017.0;267.0;22.400000000000006;501.7600000000003;0.7827791858432909;240.9089425434388;26.091057456561202;680.7432792015779;0.9117650318588169
27.0;2018.0;266.0;21.400000000000006;457.96000000000026;0.7478336864752868;243.73965282777954;22.260347172220463;495.52305622778357;0.7778989480383809
28.0;2019.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;197.06335766554565;2.9366423344543477;8.62386820050948;0.10262243284272834
29.0;2021.0;212.0;-32.599999999999994;1062.7599999999995;-1.139223279396932;202.39934835114778;9.60065164885222;92.17251208260886;0.3354995661273923
30.0;2023.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;266.4571037210917;14.542896278908302;211.4958321790849;0.5082087727235385
Сумма;;7338.0
Средний;;244.6
Высший;;321.0
Низший;;166.0

σ = ;;42.4569558900338;;σ -;среднеквадратическое отклонение (см)
δдоп =;;28.61598826988278;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;30.0;;Pк -;климатическая обеспеченность в %
Pм =;;76.66666666666667;;Pм -;обеспеченность метода в %
S =;;23.740118228504638;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.5591573331350709;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.3126569231987246;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.8290615639391777;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
