Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Стешицы
Предикторы:;; S_2802, H_2802, X, X1, X2, L_2802
Уравнение:;; 60.677 + 0.764*S_2802 + 0.469*H_2802 + 0.327*X + 0.164*X1 + 0.446*X2 + 0.369*L_2802
Модель:;; OMP6

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;283.2871311877513;-2.2871311877512994;5.23096906998467;-0.07992494147610539
2.0;1986.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;285.9237558061127;6.076244193887305;36.920743503749186;0.2123373876373271
3.0;1987.0;275.0;30.400000000000006;924.1600000000003;1.0623431807873234;298.49091765138445;-23.49091765138445;551.8232121041256;-0.8209018479402904
4.0;1988.0;291.0;46.400000000000006;2152.9600000000005;1.6214711706753882;244.06171955178272;46.938280448217284;2203.202171435497;1.6402816497383739
5.0;1989.0;168.0;-76.6;5867.5599999999995;-2.67682525158911;193.28994011422472;-25.28994011422472;639.5810709810727;-0.8837695862785002
6.0;1991.0;195.0;-49.599999999999994;2460.1599999999994;-1.7332967686530005;248.72819644096893;-53.72819644096893;2886.7190927993465;-1.8775586547718772
7.0;1992.0;166.0;-78.6;6177.959999999999;-2.746716250325118;201.3391662962977;-35.33916629629769;1248.8566745173825;-1.234944813473061
8.0;1993.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;213.88522520239357;-15.88522520239357;252.34037973075985;-0.5551171272708465
9.0;1994.0;286.0;41.400000000000006;1713.9600000000005;1.4467436738353678;252.51227691803433;33.48772308196567;1121.4275972144162;1.1702452057967259
10.0;1996.0;277.0;32.400000000000006;1049.7600000000004;1.1322341795233315;282.4347702232201;-5.4347702232200845;29.536727379199686;-0.18992075940078468
11.0;1998.0;207.0;-37.599999999999994;1413.7599999999995;-1.313950776236952;201.63453167641404;5.365468323585958;28.78825033140431;0.18749896991091883
12.0;1999.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;269.0952786300704;22.904721369929575;524.6262610341086;0.8004169261571829
13.0;2001.0;216.0;-28.599999999999994;817.9599999999997;-0.9994412819249157;218.12332429160986;-2.123324291609862;4.508506047340521;-0.07420062769052008
14.0;2003.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;236.10510194534166;-38.10510194534166;1451.9987942648806;-1.331601815948667
15.0;2004.0;296.0;51.400000000000006;2641.9600000000005;1.7961986675154082;274.69350427326236;21.306495726737637;453.9667601534892;0.744566132953091
16.0;2005.0;220.0;-24.599999999999994;605.1599999999997;-0.8596592844528994;229.31410578498364;-9.314105784983639;86.75256657386568;-0.3254860778226686
17.0;2006.0;279.0;34.400000000000006;1183.3600000000004;1.2021251782593394;262.07295089891215;16.927049101087846;286.52499127063885;0.5915241836642389
