Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Стешицы
Предикторы:;; S_2802, Smax, H_2802, X, X1, X2, L_2802
Уравнение:;; 50.647 + 0.591*S_2802 + 0.269*Smax + 0.488*H_2802 + 0.276*X + 0.161*X1 + 0.464*X2 + 0.412*L_2802
Модель:;; OMP7

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;275.2891002407067;5.710899759293284;32.61437606069609;0.19957024392911793
2.0;1986.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;277.82779567203954;14.172204327960458;200.85137551346114;0.4952547573859664
3.0;1987.0;275.0;30.400000000000006;924.1600000000003;1.0623431807873234;288.9443609112543;-13.944360911254307;194.44520122331704;-0.4872926554114578
4.0;1988.0;291.0;46.400000000000006;2152.9600000000005;1.6214711706753882;249.4479189050903;41.55208109490971;1726.575443317953;1.4520582236414203
5.0;1989.0;168.0;-76.6;5867.5599999999995;-2.67682525158911;199.71809634320712;-31.718096343207122;1006.0376356369691;-1.108404715715836
6.0;1991.0;195.0;-49.599999999999994;2460.1599999999994;-1.7332967686530005;259.92467382620896;-64.92467382620896;4215.213271439623;-2.268825148161654
7.0;1992.0;166.0;-78.6;6177.959999999999;-2.746716250325118;209.25559856360857;-43.25559856360857;1871.046807096056;-1.5115884922672203
8.0;1993.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;218.26353837607803;-20.26353837607803;410.6109875187871;-0.7081194675147606
9.0;1994.0;286.0;41.400000000000006;1713.9600000000005;1.4467436738353678;252.86582733316445;33.13417266683555;1097.8733983156724;1.1578902099882389
10.0;1996.0;277.0;32.400000000000006;1049.7600000000004;1.1322341795233315;268.9262528784395;8.073747121560473;65.18539258290602;0.282141124933916
11.0;1998.0;207.0;-37.599999999999994;1413.7599999999995;-1.313950776236952;208.91743136726996;-1.9174313672699554;3.6765430481907306;-0.06700559663312337
12.0;1999.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;265.74056593926764;26.25943406073236;689.5578771899508;0.9176490363734667
13.0;2001.0;216.0;-28.599999999999994;817.9599999999997;-0.9994412819249157;219.63344422395048;-3.6334442239504767;13.201916928559083;-0.12697252283173935
14.0;2003.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;240.4013039166758;-42.4013039166758;1797.8705738343067;-1.4817347392227418
15.0;2004.0;296.0;51.400000000000006;2641.9600000000005;1.7961986675154082;266.87381196039235;29.126188039607655;848.334829718584;1.0178291857304764
16.0;2005.0;220.0;-24.599999999999994;605.1599999999997;-0.8596592844528994;228.32033310713965;-8.320333107139646;69.22794301376408;-0.29075819533713165
17.0;2006.0;279.0;34.400000000000006;1183.3600000000004;1.2021251782593394;263.5372991563589;15.462700843641073;239.09511737993836;0.5403518025590948
18.0;2007.0;236.0;-8.599999999999994;73.95999999999991;-0.30053129456483463;246.4326943172733;-10.432694317273302;108.84111071766665;-0.36457571267085365
19.0;2008.0;227.0;-17.599999999999994;309.7599999999998;-0.6150407888768711;207.8664835930522;19.13351640694779;366.09145009494034;0.6686302855066891
20.0;2009.0;233.0;-11.599999999999994;134.55999999999986;-0.40536779266884676;239.31964398366247;-6.319643983662473;39.9379000802413;-0.22084311483708755
21.0;2010.0;321.0;76.4;5836.960000000001;2.6698361517155096;270.7145509575728;50.28544904242722;2528.6263853985442;1.7572501277319401
22.0;2011.0;242.0;-2.5999999999999943;6.7599999999999705;-0.09085829835681034;262.18024597491444;-20.180245974914442;407.2423276080505;-0.7052087729625389
23.0;2012.0;235.0;-9.599999999999994;92.1599999999999;-0.3354767939328387;260.2935917834405;-25.29359178344049;639.7657853073283;-0.883897195682772
24.0;2013.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;242.64838815140237;38.35161184859763;1470.846131385494;1.340216227617105
25.0;2015.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;237.3181631050786;-37.31816310507861;1392.6452975372504;-1.3041018452035966
26.0;2017.0;267.0;22.400000000000006;501.7600000000003;0.7827791858432909;251.77746146946518;15.22253853053482;231.72567931361718;0.5319592105982218
27.0;2018.0;266.0;21.400000000000006;457.96000000000026;0.7478336864752868;257.92453827395855;8.075461726041453;65.21308208876042;0.2822010426437225
