Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Стешицы
Предикторы:;; S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q01, Q02, Y_sum
Уравнение:;; 92.835 + 0.605*S_2802 + 0.19*Smax + 0.436*H_2802 - 1.825*X - 1.96*X1 + 2.693*X2 - 0.007*X3 + 2.12*Xs - 0.533*L_max + 0.708*L_2802 + 3.574*Q01 - 0.794*Q02 - 0.81*Y_sum
Модель:;; OMP13

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;346.6060029813592;-65.60600298135921;4304.147627190114;-2.29263453572236
2.0;1986.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;334.6226490991062;-42.622649099106184;1816.6902162255371;-1.4894697571554736
3.0;1987.0;275.0;30.400000000000006;924.1600000000003;1.0623431807873234;272.6210687991607;2.378931200839304;5.659313658326733;0.08313293877545501
4.0;1988.0;291.0;46.400000000000006;2152.9600000000005;1.6214711706753882;271.131025610895;19.868974389105006;394.7761432749106;0.6943312319573576
5.0;1989.0;168.0;-76.6;5867.5599999999995;-2.67682525158911;287.68939193055894;-119.68939193055894;14325.550540706947;-4.182605570066136
6.0;1991.0;195.0;-49.599999999999994;2460.1599999999994;-1.7332967686530005;201.89917890767708;-6.899178907677083;47.59866960013635;-0.24109525215797636
7.0;1992.0;166.0;-78.6;6177.959999999999;-2.746716250325118;202.2200794289459;-36.220079428945894;1311.8941538391496;-1.2657287627932852
8.0;1993.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;173.64537203870213;24.354627961297865;593.1479031332318;0.8510846360295082
9.0;1994.0;286.0;41.400000000000006;1713.9600000000005;1.4467436738353678;398.36133962951135;-112.36133962951135;12625.070643338398;-3.9265231230111772
10.0;1996.0;277.0;32.400000000000006;1049.7600000000004;1.1322341795233315;318.9899543097273;-41.989954309727295;1763.1562629329858;-1.4673599217930942
11.0;1998.0;207.0;-37.599999999999994;1413.7599999999995;-1.313950776236952;265.77606716847663;-58.77606716847663;3454.6260717932764;-2.0539590180897638
12.0;1999.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;356.6959979247351;-64.69599792473508;4185.572147477326;-2.260833954591221
13.0;2001.0;216.0;-28.599999999999994;817.9599999999997;-0.9994412819249157;181.81717680002808;34.18282319997192;1168.4654019205386;1.194535826531213
14.0;2003.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;173.8484828910658;24.1515171089342;583.2957786631414;0.8439868258665991
15.0;2004.0;296.0;51.400000000000006;2641.9600000000005;1.7961986675154082;316.0378700788336;-20.037870078833578;401.51623729621394;-0.700233376176026
16.0;2005.0;220.0;-24.599999999999994;605.1599999999997;-0.8596592844528994;241.57484624755563;-21.574846247555627;465.4739906056651;-0.7539437759087397
17.0;2006.0;279.0;34.400000000000006;1183.3600000000004;1.2021251782593394;231.58067747056973;47.419322529430275;2248.5921491501335;1.657091905483386
18.0;2007.0;236.0;-8.599999999999994;73.95999999999991;-0.30053129456483463;104.92854845400274;131.07145154599726;17179.725410374707;4.5803573271640206
19.0;2008.0;227.0;-17.599999999999994;309.7599999999998;-0.6150407888768711;109.73268228386505;117.26731771613495;13751.62380433694;4.097964977136724
20.0;2009.0;233.0;-11.599999999999994;134.55999999999986;-0.40536779266884676;161.8395827256783;71.1604172743217;5063.804986655582;2.4867363168867134
21.0;2010.0;321.0;76.4;5836.960000000001;2.6698361517155096;271.35242331368187;49.64757668631813;2464.8818708238396;1.7349593597146629
