Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Столбцы
Предикторы:;; 
Уравнение:;; 
Модель:;; HistGradientBoostingRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;202.0;-1.081081081081095;1.1687363038714689;-0.04314518320186221;159.84848636309775;42.15151363690225;1776.7501018819564;1.6822371697424239
2.0;1978.0;215.0;11.918918918918905;142.060628195763;0.4756756448005242;231.53928528006742;-16.539285280067418;273.54795757545475;-0.6600712064286354
3.0;1979.0;272.0;68.9189189189189;4749.817384952518;2.75050542911868;270.94748537749825;1.0525146225017465;1.107787030579994;0.04200511599469041
4.0;1980.0;226.0;22.918918918918905;525.2768444119789;0.9146778838794666;219.48241225655985;6.517587743440146;42.47894999344121;0.2601123284330632
5.0;1981.0;219.0;15.918918918918905;253.41197954711424;0.6353128226474124;225.0565705133188;-6.056570513318803;36.682046382802795;-0.2417134560442231
6.0;1982.0;219.0;15.918918918918905;253.41197954711424;0.6353128226474124;233.8286553650479;-14.828655365047894;219.88901993536368;-0.5918011734350906
7.0;1983.0;212.0;8.918918918918905;79.54711468224957;0.3559477614153581;214.37586781576366;-2.3758678157636552;5.644747877981562;-0.09481920826144007
8.0;1984.0;177.0;-26.081081081081095;680.2227903579262;-1.040877544744913;187.25870228260376;-10.258702282603764;105.24097252309967;-0.4094175701915736
9.0;1985.0;227.0;23.918918918918905;572.1146822498167;0.9545871783411887;225.9081221558437;1.0918778441563006;1.1921972265594107;0.043576074398664046
10.0;1986.0;218.0;14.918918918918905;222.57414170927643;0.5954035281856903;240.18732896454748;-22.187328964547476;492.2775665810474;-0.8854806449652194
11.0;1987.0;230.0;26.918918918918905;724.6281957633302;1.0743150617263548;213.48173837643597;16.51826162356403;272.85296706450816;0.6592321671305795
12.0;1988.0;216.0;12.918918918918905;166.8984660336008;0.5155849392622462;202.3014694069458;13.698530593054187;187.6497404088415;0.5466986911311074
13.0;1989.0;110.0;-93.0810810810811;8664.087655222793;-3.7148002736802894;161.24102128699502;-51.24102128699502;2625.642262534277;-2.0449930070620512
14.0;1991.0;166.0;-37.081081081081095;1375.0065741417102;-1.4798797838238553;203.31975015726223;-37.319750157262234;1392.7637518004747;-1.4894048982640757
15.0;1992.0;148.0;-55.081081081081095;3033.92549306063;-2.198247084134852;148.06966851164768;-0.06966851164767718;0.004853701515202531;-0.0027804211460570596
16.0;1993.0;185.0;-18.081081081081095;326.9254930606287;-0.7216031890511367;192.58991821017173;-7.5899182101717315;57.60685843709646;-0.3029082807901299
17.0;1994.0;247.0;43.918918918918905;1928.871439006573;1.7527730675756292;238.9286942727946;8.071305727205413;65.1459761420189;0.3221201169576243
18.0;1995.0;160.0;-43.081081081081095;1855.9795471146833;-1.7193355505941876;173.5774258490694;-13.577425849069414;184.34649268697828;-0.5418654862427076
19.0;1996.0;231.0;27.918918918918905;779.466033601168;1.1142243561880767;238.71362524925735;-7.713625249257348;59.50001448598048;-0.3078453414399855
20.0;1999.0;240.0;36.918918918918905;1363.0065741417081;1.473408006343575;236.42204383059675;3.577956169403251;12.801770350170784;0.14279370633584934
21.0;2001.0;166.0;-37.081081081081095;1375.0065741417102;-1.4798797838238553;165.5291008800443;0.4708991199557033;0.22174598117505587;0.018793251640077932
22.0;2003.0;214.0;10.918918918918905;119.22279035792519;0.4357663503388022;222.508027208125;-8.508027208124986;72.38652697419504;-0.33954936313740286
23.0;2004.0;233.0;29.918918918918905;895.1417092768436;1.1940429451115209;226.92305884274776;6.076941157252236;36.929213828706146;0.24252643407133734
24.0;2005.0;201.0;-2.081081081081095;4.330898466033659;-0.08305447766358424;201.30473599480482;-0.3047359948048154;0.09286402652968047;-0.012161798549751173
25.0;2006.0;230.0;26.918918918918905;724.6281957633302;1.0743150617263548;189.95447883517284;40.045521164827164;1603.6437653626203;1.5981884960402093
26.0;2007.0;192.0;-11.081081081081095;122.79035792549337;-0.44223812781908256;193.5323365122819;-1.532336512281887;2.3480551868722177;-0.06115446908310597
27.0;2008.0;140.0;-63.081081081081095;3979.2227903579274;-2.517521439828628;144.02619291799084;-4.026192917990841;16.2102294128796;-0.16068251872379632
28.0;2009.0;183.0;-20.081081081081095;403.2498173849531;-0.8014217779745808;181.4729518922577;1.5270481077423028;2.331875923359348;0.060943412589103
29.0;2010.0;275.0;71.9189189189189;5172.330898466032;2.870233312503846;267.75153843387903;7.248461566120966;52.54019507553281;0.2892809870367965
30.0;2011.0;171.0;-32.081081081081095;1029.1957633308994;-1.2803333115152453;179.58899524599926;-8.588995245999257;73.77083933579785;-0.342780740402915
31.0;2012.0;171.0;-32.081081081081095;1029.1957633308994;-1.2803333115152453;183.95300173624133;-12.953001736241333;167.780253979071;-0.5169451604548522
32.0;2013.0;263.0;59.918918918918905;3590.276844411978;2.391321778963182;258.55862382360124;4.441376176398762;19.72582234028249;0.1772521896391753
33.0;2015.0;160.0;-43.081081081081095;1855.9795471146833;-1.7193355505941876;171.05308057489938;-11.053080574899383;122.17059019521807;-0.4411206473727993
34.0;2017.0;205.0;1.918918918918905;3.6822498173848994;0.07658270018330389;209.84815068073794;-4.848150680737945;23.504565023139797;-0.19348627311236877
35.0;2018.0;229.0;25.918918918918905;671.7903579254923;1.0344057672646327;224.7908191672226;4.209180832777406;17.717203283020698;0.16798543729794987
36.0;2019.0;175.0;-28.081081081081095;788.5471146822506;-1.1206961336683572;174.36694346048643;0.633056539513575;0.40076058222090255;0.025264839846366034
37.0;2021.0;186.0;-17.081081081081095;291.7633308984665;-0.6816938945894148;199.99159182209956;-13.991591822099565;195.76464171624343;-0.5583945580163935
Сумма;;7514.0
Средний;;203.0810810810811
Высший;;275.0
Низший;;110.0

σ = ;;37.17629051662601;;σ -;среднеквадратическое отклонение (см)
δдоп =;;25.056819808205933;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;43.24324324324324;;Pк -;климатическая обеспеченность в %
Pм =;;89.1891891891892;;Pм -;обеспеченность метода в %
S =;;16.8495509195407;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.4532337865179214;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.20542086524137276;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.8913916842548102;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
