Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Столбцы
Предикторы:;; 
Уравнение:;; 
Модель:;; VotingRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;202.0;-1.081081081081095;1.1687363038714689;-0.04314518320186221;164.81309007935602;37.186909920643984;1382.86626944609;1.484103338144513
2.0;1978.0;215.0;11.918918918918905;142.060628195763;0.4756756448005242;219.72757214471355;-4.727572144713548;22.349938383471457;-0.18867406881240775
3.0;1979.0;272.0;68.9189189189189;4749.817384952518;2.75050542911868;269.03262588358456;2.967374116415442;8.805309146772325;0.11842580739011611
4.0;1980.0;226.0;22.918918918918905;525.2768444119789;0.9146778838794666;223.92072757617308;2.0792724238269216;4.323373812487081;0.08298229542864712
5.0;1981.0;219.0;15.918918918918905;253.41197954711424;0.6353128226474124;220.90570279612896;-1.9057027961289634;3.6317031471737495;-0.07605525404723783
6.0;1982.0;219.0;15.918918918918905;253.41197954711424;0.6353128226474124;226.60750422954047;-7.607504229540467;57.8741206024761;-0.3036101264155263
7.0;1983.0;212.0;8.918918918918905;79.54711468224957;0.3559477614153581;204.46458232751306;7.535417672486943;56.78251949882854;0.3007332027833455
8.0;1984.0;177.0;-26.081081081081095;680.2227903579262;-1.040877544744913;186.23083337485357;-9.230833374853574;85.20828479431063;-0.3683960472841227
9.0;1985.0;227.0;23.918918918918905;572.1146822498167;0.9545871783411887;224.16978357399955;2.8302164260004474;8.010125018002746;0.11295194073565439
10.0;1986.0;218.0;14.918918918918905;222.57414170927643;0.5954035281856903;222.9903112815961;-4.990311281596092;24.903206687225236;-0.19915980239287193
11.0;1987.0;230.0;26.918918918918905;724.6281957633302;1.0743150617263548;227.0108934199311;2.989106580068892;8.934758147011149;0.11929313468144032
12.0;1988.0;216.0;12.918918918918905;166.8984660336008;0.5155849392622462;211.21838694052323;4.7816130594767685;22.863823450558783;0.19083080359267396
13.0;1989.0;110.0;-93.0810810810811;8664.087655222793;-3.7148002736802894;140.92872359715807;-30.92872359715807;956.5859433494023;-1.234343537364192
14.0;1991.0;166.0;-37.081081081081095;1375.0065741417102;-1.4798797838238553;163.04448495698378;2.95551504301622;8.73506916949517;0.11795252013778339
15.0;1992.0;148.0;-55.081081081081095;3033.92549306063;-2.198247084134852;149.07494192696345;-1.0749419269634473;1.1555001463438892;-0.04290017389243512
16.0;1993.0;185.0;-18.081081081081095;326.9254930606287;-0.7216031890511367;186.69764320922678;-1.6976432092267828;2.88199246583381;-0.06775174272797446
17.0;1994.0;247.0;43.918918918918905;1928.871439006573;1.7527730675756292;240.7489515507632;6.251048449236805;39.07560671470586;0.24947493325508252
18.0;1995.0;160.0;-43.081081081081095;1855.9795471146833;-1.7193355505941876;168.35785410798132;-8.357854107981325;69.8537252903003;-0.3335560606635398
19.0;1996.0;231.0;27.918918918918905;779.466033601168;1.1142243561880767;248.5874155826572;-17.5874155826572;309.3171868770933;-0.7019013473089448
20.0;1999.0;240.0;36.918918918918905;1363.0065741417081;1.473408006343575;234.24081763633237;5.759182363667634;33.168181497980314;0.2298449048103679
21.0;2001.0;166.0;-37.081081081081095;1375.0065741417102;-1.4798797838238553;167.53660646411146;-1.5366064641114576;2.361159425549116;-0.061324879848009675
22.0;2003.0;214.0;10.918918918918905;119.22279035792519;0.4357663503388022;211.53483782749836;2.4651621725016355;6.077024536732983;0.09838288303826617
23.0;2004.0;233.0;29.918918918918905;895.1417092768436;1.1940429451115209;215.73616469720469;17.263835302795314;298.04000936204176;0.6889874866379304
24.0;2005.0;201.0;-2.081081081081095;4.330898466033659;-0.08305447766358424;202.54586962997698;-1.545869629976977;2.3897129128851557;-0.061694566262184454
25.0;2006.0;230.0;26.918918918918905;724.6281957633302;1.0743150617263548;225.307048922984;4.692951077016005;22.023789811265683;0.1872923664270873
26.0;2007.0;192.0;-11.081081081081095;122.79035792549337;-0.44223812781908256;192.22111256011272;-0.22111256011271507;0.04889076423959904;-0.00882444627072356
27.0;2008.0;140.0;-63.081081081081095;3979.2227903579274;-2.517521439828628;154.41157428470288;-14.41157428470288;207.69347336350933;-0.5751557617851883
28.0;2009.0;183.0;-20.081081081081095;403.2498173849531;-0.8014217779745808;141.7703096357978;41.22969036420221;1699.8873675279888;1.6454478533105696
29.0;2010.0;275.0;71.9189189189189;5172.330898466032;2.870233312503846;267.9894178106153;7.0105821893847065;49.14826263411806;0.2797873889442582
30.0;2011.0;171.0;-32.081081081081095;1029.1957633308994;-1.2803333115152453;180.54169272321184;-9.541692723211838;91.04390002419375;-0.38080222455393165
31.0;2012.0;171.0;-32.081081081081095;1029.1957633308994;-1.2803333115152453;172.17043884389892;-1.1704388438989213;1.3699270873074434;-0.04671138847059956
32.0;2013.0;263.0;59.918918918918905;3590.276844411978;2.391321778963182;261.2525120159458;1.747487984054203;3.0537142544138227;0.0697410125239402
33.0;2015.0;160.0;-43.081081081081095;1855.9795471146833;-1.7193355505941876;182.44461407205065;-22.444614072050655;503.7607008432943;-0.8957487120811796
