Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Сураж
Предикторы:;; S_2802, Smax, H_2802, X, X1, X2, Xs
Уравнение:;; 306.417 + 1.758*S_2802 + 0.247*Smax + 0.551*H_2802 + 1.125*X - 1.296*X1 + 2.277*X2 - 1.186*Xs
Модель:;; BayesianRidge

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;545.0;-64.12121212121212;4111.529843893481;-0.671531324889075;615.414548981953;-70.41454898195298;4958.208708331855;-0.7374404476311338
2.0;1992.0;683.0;73.87878787878788;5458.075298438935;0.7737208743287168;585.3368750787938;97.66312492120619;9538.085969375126;1.0228104788032983
3.0;1993.0;614.0;4.878787878787875;23.802571166207496;0.051094774719820886;619.8034724677034;-5.803472467703386;33.68029268339124;-0.06077885034092916
4.0;1994.0;876.0;266.8787878787879;71224.28741965105;2.7949793848289617;619.7844531921504;256.2155468078496;65646.40642604536;2.683304945636476
5.0;1995.0;625.0;15.878787878787875;252.13590449954074;0.16629603697631154;641.1575848004273;-16.157584800427344;261.0675465830007;-0.16921583309322888
6.0;1996.0;482.0;-127.12121212121212;16159.802571166209;-1.3313203723580669;580.2942414747783;-98.29424147477835;9661.757907102035;-1.0294200627671601
7.0;1997.0;464.0;-145.12121212121212;21060.166207529845;-1.5198315287777788;576.9724050601558;-112.97240506015578;12762.76430507591;-1.183142151189227
8.0;1998.0;522.0;-87.12121212121212;7590.1056014692385;-0.9124066914253737;587.6939659409666;-65.69396594096656;4315.697161052875;-0.6880025271849322
9.0;1999.0;824.0;214.87878787878788;46172.89348025712;2.2503915996164605;753.5748705724554;70.42512942754456;4959.698854886403;0.7375512549663508
10.0;2000.0;754.0;144.87878787878788;20989.863177226813;1.5172926579842474;539.0376141788386;214.96238582116143;46208.82731792587;2.2512671076604134
