Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Сураж
Предикторы:;; Smax, H_2802, X, X1
Уравнение:;; Непараметрическая (нелинейная) модель
Модель:;; HistGradientBoostingRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;545.0;-64.12121212121212;4111.529843893481;-0.671531324889075;581.3471535802853;-36.347153580285294;1321.115573388846;-0.38065799744358086
2.0;1992.0;683.0;73.87878787878788;5458.075298438935;0.7737208743287168;613.8099699063739;69.19003009362609;4787.260264356884;0.7246162547591182
3.0;1993.0;614.0;4.878787878787875;23.802571166207496;0.051094774719820886;618.2935596955994;-4.293559695599356;18.434654859675234;-0.04496577240969451
4.0;1994.0;876.0;266.8787878787879;71224.28741965105;2.7949793848289617;626.6413317441434;249.35866825585663;62179.74543433436;2.6114939397883807
5.0;1995.0;625.0;15.878787878787875;252.13590449954074;0.16629603697631154;568.5109465112293;56.48905348877065;3191.0131640571917;0.5916009332346178
6.0;1996.0;482.0;-127.12121212121212;16159.802571166209;-1.3313203723580669;506.32205917041114;-24.322059170411137;591.5625622889805;-0.2547210833734924
7.0;1997.0;464.0;-145.12121212121212;21060.166207529845;-1.5198315287777788;553.5984854778587;-89.59848547785873;8027.888599926062;-0.9383507839381066
8.0;1998.0;522.0;-87.12121212121212;7590.1056014692385;-0.9124066914253737;612.885818898661;-90.885818898661;8260.232076880206;-0.9518328234855055
9.0;1999.0;824.0;214.87878787878788;46172.89348025712;2.2503915996164605;847.2462045361958;-23.24620453619582;540.386025338651;-0.24345382774930155
10.0;2000.0;754.0;144.87878787878788;20989.863177226813;1.5172926579842474;641.1746649667087;112.82533503329125;12729.55622537442;1.1816019100315098
11.0;2001.0;664.0;54.878787878787875;3011.681359044995;0.5747368758856874;711.0293041810289;-47.02930418102892;2211.755451751744;-0.49253047315445314
12.0;2002.0;536.0;-73.12121212121212;5346.711662075299;-0.765786903098931;612.1922506061085;-76.19225060610847;5805.259052424037;-0.7979494039987782
13.0;2003.0;423.0;-186.12121212121212;34641.10560146924;-1.9492180517337896;476.81243448548713;-53.81243448548713;2895.778105254845;-0.5635691252566204
14.0;2004.0;814.0;204.87878787878788;41975.31772268136;2.145663179383287;805.1870556069712;8.812944393028829;77.66798887461827;0.09229657438847118
15.0;2005.0;668.0;58.878787878787875;3466.711662075298;0.6166282439789568;638.3085741434761;29.691425856523892;881.5807693934555;0.3109536124424142
16.0;2006.0;579.0;-30.121212121212125;907.2874196510562;-0.31545469609628574;626.1780856525966;-47.178085652596565;2225.7717658437377;-0.4940886380021778
17.0;2007.0;588.0;-21.121212121212125;446.10560146923797;-0.22119911788642974;551.9203742977277;36.079625702272324;1301.7393908160698;0.3778562202403177
18.0;2008.0;516.0;-93.12121212121212;8671.560146923784;-0.9752437435652777;557.16043717124;-41.160437171240005;1694.181588127596;-0.4310667561050751
19.0;2009.0;661.0;51.878787878787875;2691.4086317722677;0.5433183498157355;640.1975135460523;20.802486453947722;432.74344266667845;0.21786115432439326
20.0;2010.0;809.0;199.87878787878788;39951.52984389348;2.0932989692667006;848.8701637572752;-39.870163757275236;1589.6299580319437;-0.41755392647373574
21.0;2011.0;724.0;114.87878787878788;13197.13590449954;1.2031073972847275;871.6685803797122;-147.66858037971224;21806.009631359535;-1.5465097141242636
22.0;2012.0;825.0;215.87878787878788;46603.65105601469;2.260864441639778;758.3414783111498;66.65852168885021;4443.3585137429145;0.6981041671552003
23.0;2013.0;862.0;252.87878787878788;63947.681359045;2.648359596502519;861.6910423208024;0.30895767919764694;0.09545484753519612;0.0032356649661277118
