Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Сураж
Предикторы:;; Smax, H_2802, X, X1
Уравнение:;; 374.216 + 2.188*Smax + 0.08*H_2802 + 0.415*X - 0.507*X1
Модель:;; ElasticNetCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;545.0;-64.12121212121212;4111.529843893481;-0.671531324889075;549.2749420017127;-4.274942001712702;18.275129118007406;-0.044770792242781104
2.0;1992.0;683.0;73.87878787878788;5458.075298438935;0.7737208743287168;558.8254192158842;124.17458078411585;15419.326512910913;1.3004607678637012
3.0;1993.0;614.0;4.878787878787875;23.802571166207496;0.051094774719820886;541.6651311239716;72.3348688760284;5232.333255312222;0.7575516545160191
4.0;1994.0;876.0;266.8787878787879;71224.28741965105;2.7949793848289617;664.9131555165894;211.08684448341057;44557.65591396356;2.210679175475313
5.0;1995.0;625.0;15.878787878787875;252.13590449954074;0.16629603697631154;530.0659242375607;94.9340757624393;9012.478740868566;0.9942295780896657
6.0;1996.0;482.0;-127.12121212121212;16159.802571166209;-1.3313203723580669;599.5382695493146;-117.53826954931458;13815.24480864733;-1.2309597286840617
7.0;1997.0;464.0;-145.12121212121212;21060.166207529845;-1.5198315287777788;525.6039574616182;-61.603957461618165;3795.0475749328602;-0.645168514506688
8.0;1998.0;522.0;-87.12121212121212;7590.1056014692385;-0.9124066914253737;615.2741347772065;-93.27413477720654;8700.064218436492;-0.9768452783832933
9.0;1999.0;824.0;214.87878787878788;46172.89348025712;2.2503915996164605;725.8467926334566;98.15320736654337;9634.052116339664;1.0279430348317158
10.0;2000.0;754.0;144.87878787878788;20989.863177226813;1.5172926579842474;583.9082308031641;170.0917691968359;28931.2099485097;1.7813442282650156
11.0;2001.0;664.0;54.878787878787875;3011.681359044995;0.5747368758856874;680.8547884533324;-16.85478845333239;284.08389380658684;-0.1765175368081832
12.0;2002.0;536.0;-73.12121212121212;5346.711662075299;-0.765786903098931;615.6730743780735;-79.67307437807347;6347.7987808540265;-0.8344035214735752
13.0;2003.0;423.0;-186.12121212121212;34641.10560146924;-1.9492180517337896;573.1620532134256;-150.16205321342557;22548.64222527165;-1.5726234612011767
14.0;2004.0;814.0;204.87878787878788;41975.31772268136;2.145663179383287;801.9896925430387;12.0103074569613;144.2474852107402;0.1257820526482258
15.0;2005.0;668.0;58.878787878787875;3466.711662075298;0.6166282439789568;606.6732728057154;61.32672719428456;3760.967468362201;0.6422651257128211
16.0;2006.0;579.0;-30.121212121212125;907.2874196510562;-0.31545469609628574;688.1852004558168;-109.18520045581681;11921.4079985769;-1.143479355658005
17.0;2007.0;588.0;-21.121212121212125;446.10560146923797;-0.22119911788642974;517.2824943653837;70.71750563461626;5000.965603181982;0.7406132647943894
18.0;2008.0;516.0;-93.12121212121212;8671.560146923784;-0.9752437435652777;512.0652026658107;3.934797334189284;15.482630061143094;0.041208510874734545
19.0;2009.0;661.0;51.878787878787875;2691.4086317722677;0.5433183498157355;617.4953184159273;43.50468158407273;1892.6573197315568;0.4556176575047165
20.0;2010.0;809.0;199.87878787878788;39951.52984389348;2.0932989692667006;739.5901967110813;69.40980328891874;4817.720792606395;0.7269179047143777
21.0;2011.0;724.0;114.87878787878788;13197.13590449954;1.2031073972847275;800.3732162140359;-76.37321621403589;5832.868154875875;-0.7998446282222557
22.0;2012.0;825.0;215.87878787878788;46603.65105601469;2.260864441639778;686.0398848375694;138.9601151624306;19309.91360595598;1.4553073336381193
23.0;2013.0;862.0;252.87878787878788;63947.681359045;2.648359596502519;741.3147363758933;120.68526362410671;14564.932856020134;1.2639177004776754
24.0;2014.0;366.0;-243.12121212121212;59107.92378328742;-2.5461700470628776;444.64270545333017;-78.64270545333017;6184.675121019246;-0.8236126304990032
25.0;2015.0;421.0;-188.12121212121212;35389.590449954085;-1.9701637357804243;548.3160862232987;-127.31608622329873;16209.385811218435;-1.3333612580436558
26.0;2016.0;431.0;-178.12121212121212;31727.166207529845;-1.865435315547251;561.5743237168158;-130.5743237168158;17049.654014103806;-1.3674842645877094
27.0;2017.0;621.0;11.878787878787875;141.10560146923774;0.1244046688830422;572.7619951855247;48.23800481447529;2326.9051084813414;0.5051890039420206
28.0;2018.0;608.0;-1.1212121212121247;1.257116620752992;-0.011742277420083104;606.1662698690393;1.8337301309607028;3.3625661931931563;0.019204365974948442
29.0;2019.0;434.0;-175.12121212121212;30667.438934802572;-1.834016789477299;684.2176407997156;-250.21764079971558;62608.867767375494;-2.6204898235425826
30.0;2020.0;482.0;-127.12121212121212;16159.802571166209;-1.3313203723580669;443.402213945592;38.597786054408004;1489.789088301853;0.4042285157976158
31.0;2021.0;594.0;-15.121212121212125;228.65105601469247;-0.15836206574652575;566.790496989355;27.209503010644994;740.357054086299;0.28496082656346233
32.0;2022.0;576.0;-33.121212121212125;1097.014692378329;-0.3468732221662377;630.4190069392494;-54.41900693924936;2961.4283162540696;-0.5699216627405682
33.0;2023.0;510.0;-99.12121212121212;9825.014692378329;-1.0380807957051816;721.7608106787787;-211.76081067877874;44842.64093933357;-2.2177375169684597
Сумма;;20101.0
Средний;;609.1212121212121
Высший;;876.0
Низший;;366.0

σ = ;;141.66923571645626;;σ -;среднеквадратическое отклонение (см)
δдоп =;;95.48506487289153;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;48.484848484848484;;Pк -;климатическая обеспеченность в %
Pм =;;60.60606060606061;;Pм -;обеспеченность метода в %
S =;;110.36694026457268;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.7790466272117573;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.6069136473700147;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.6269659900106107;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
