Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Сураж
Предикторы:;; S_2802, H_2802, X, X1, X2, Xs
Уравнение:;; 303.018 + 1.948*S_2802 + 0.541*H_2802 + 1.049*X - 1.206*X1 + 2.289*X2 - 1.021*Xs
Модель:;; LassoLarsCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;545.0;-64.12121212121212;4111.529843893481;-0.671531324889075;613.8579483868591;-68.8579483868591;4741.417056047353;-0.721138415505314
2.0;1992.0;683.0;73.87878787878788;5458.075298438935;0.7737208743287168;589.2522712111847;93.74772878881527;8788.636653061263;0.9818051536500606
3.0;1993.0;614.0;4.878787878787875;23.802571166207496;0.051094774719820886;619.6591461274312;-5.6591461274312;32.02593489161954;-0.05926734337945501
4.0;1994.0;876.0;266.8787878787879;71224.28741965105;2.7949793848289617;625.7307495646371;250.2692504353629;62634.69771347839;2.621030323103598
5.0;1995.0;625.0;15.878787878787875;252.13590449954074;0.16629603697631154;640.7408677198194;-15.740867719819448;247.77491657285393;-0.1648516209396044
6.0;1996.0;482.0;-127.12121212121212;16159.802571166209;-1.3313203723580669;583.2540916154828;-101.25409161548282;10252.391068876588;-1.0604181057034516
7.0;1997.0;464.0;-145.12121212121212;21060.166207529845;-1.5198315287777788;576.1088069366594;-112.10880693665945;12568.384592761182;-1.1740978244702167
8.0;1998.0;522.0;-87.12121212121212;7590.1056014692385;-0.9124066914253737;583.4765453552284;-61.47654535522838;3779.365628813452;-0.6438341476446098
9.0;1999.0;824.0;214.87878787878788;46172.89348025712;2.2503915996164605;755.3886718264612;68.61132817353882;4707.514353737042;0.7185556009714538
10.0;2000.0;754.0;144.87878787878788;20989.863177226813;1.5172926579842474;545.7476174903497;208.25238250965026;43369.05482094568;2.1809943030030206
11.0;2001.0;664.0;54.878787878787875;3011.681359044995;0.5747368758856874;660.1758383477033;3.8241616522966524;14.624212342896262;0.04004984085613102
12.0;2002.0;536.0;-73.12121212121212;5346.711662075299;-0.765786903098931;698.8467302835817;-162.84673028358168;26519.057564053597;-1.7054680802737174
13.0;2003.0;423.0;-186.12121212121212;34641.10560146924;-1.9492180517337896;589.0342208329196;-166.03422083291957;27567.362487594703;-1.7388501652477502
14.0;2004.0;814.0;204.87878787878788;41975.31772268136;2.145663179383287;810.3609321474373;3.6390678525626754;13.242814835555121;0.03811138273202155
15.0;2005.0;668.0;58.878787878787875;3466.711662075298;0.6166282439789568;415.5722633939356;252.4277366060644;63719.76220806062;2.64363580777887
16.0;2006.0;579.0;-30.121212121212125;907.2874196510562;-0.31545469609628574;446.7718464680521;132.2281535319479;17484.284586468384;1.38480456297504
17.0;2007.0;588.0;-21.121212121212125;446.10560146923797;-0.22119911788642974;664.0583399968303;-76.05833999683034;5784.871083073442;-0.7965469793425622
18.0;2008.0;516.0;-93.12121212121212;8671.560146923784;-0.9752437435652777;557.0073796151453;-41.00737961514528;1681.6051829006328;-0.42946380849962
19.0;2009.0;661.0;51.878787878787875;2691.4086317722677;0.5433183498157355;657.0896382691784;3.9103617308215917;15.290928865874035;0.04095260066092026
20.0;2010.0;809.0;199.87878787878788;39951.52984389348;2.0932989692667006;703.4138398443432;105.58616015565678;11148.437216416005;1.1057871751588764
21.0;2011.0;724.0;114.87878787878788;13197.13590449954;1.2031073972847275;664.1012354766085;59.89876452339149;3587.8619914287033;0.6273102982453638
22.0;2012.0;825.0;215.87878787878788;46603.65105601469;2.260864441639778;675.5224904082926;149.47750959170742;22343.52587373898;1.565454343992853
23.0;2013.0;862.0;252.87878787878788;63947.681359045;2.648359596502519;658.5370465066842;203.4629534933158;41397.17344422319;2.1308353695330577
24.0;2014.0;366.0;-243.12121212121212;59107.92378328742;-2.5461700470628776;474.68385532543505;-108.68385532543505;11812.180408400096;-1.1382288473083573
25.0;2015.0;421.0;-188.12121212121212;35389.590449954085;-1.9701637357804243;477.59289892967604;-56.59289892967604;3202.7562092645276;-0.5926884901320617
26.0;2016.0;431.0;-178.12121212121212;31727.166207529845;-1.865435315547251;486.978290477414;-55.97829047741402;3133.569004773741;-0.586251792905326
27.0;2017.0;621.0;11.878787878787875;141.10560146923774;0.1244046688830422;567.0329690838529;53.96703091614711;2912.440425904378;0.5651881892522911
28.0;2018.0;608.0;-1.1212121212121247;1.257116620752992;-0.011742277420083104;726.041513860481;-118.04151386048102;13933.798994474133;-1.236230126854041
