Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Сураж
Предикторы:;; S_2802, Smax, H_2802, X, X1, X2, Xs
Уравнение:;; 283.996 + 1.861*S_2802 + 0.215*Smax + 0.601*H_2802 + 1.179*X - 1.06*X1 + 2.466*X2 - 1.288*Xs
Модель:;; HuberRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;545.0;-64.12121212121212;4111.529843893481;-0.671531324889075;630.0392650865738;-85.03926508657378;7231.676606464566;-0.8906027890306922
2.0;1992.0;683.0;73.87878787878788;5458.075298438935;0.7737208743287168;591.0429829259384;91.95701707406158;8456.092989159253;0.9630513127521415
3.0;1993.0;614.0;4.878787878787875;23.802571166207496;0.051094774719820886;630.7763100880352;-16.77631008803519;281.44458016991126;-0.1756956452861774
4.0;1994.0;876.0;266.8787878787879;71224.28741965105;2.7949793848289617;622.6669156584086;253.33308434159142;64177.65162202387;2.6531173715892127
5.0;1995.0;625.0;15.878787878787875;252.13590449954074;0.16629603697631154;650.5527495946242;-25.552749594624174;652.9430118455659;-0.26760990976588495
6.0;1996.0;482.0;-127.12121212121212;16159.802571166209;-1.3313203723580669;586.6719832825269;-104.67198328252687;10956.224084297584;-1.0962131451852166
7.0;1997.0;464.0;-145.12121212121212;21060.166207529845;-1.5198315287777788;586.7121031598168;-122.71210315981682;15058.260261905525;-1.2851444707417812
8.0;1998.0;522.0;-87.12121212121212;7590.1056014692385;-0.9124066914253737;601.8255749456067;-79.82557494560672;6372.122415396675;-0.8360006358258172
9.0;1999.0;824.0;214.87878787878788;46172.89348025712;2.2503915996164605;769.3827242495886;54.61727575041141;2983.046810396478;0.5719981006780193
10.0;2000.0;754.0;144.87878787878788;20989.863177226813;1.5172926579842474;538.4464712107714;215.5535287892286;46463.32377348881;2.2574580545781755
11.0;2001.0;664.0;54.878787878787875;3011.681359044995;0.5747368758856874;679.2537615731635;-15.253761573163501;232.67724213091947;-0.1597502352170898
12.0;2002.0;536.0;-73.12121212121212;5346.711662075299;-0.765786903098931;728.2065205889064;-192.20652058890641;36943.3465568937;-2.012948525979107
13.0;2003.0;423.0;-186.12121212121212;34641.10560146924;-1.9492180517337896;595.2865187651105;-172.2865187651105;29682.64454820077;-1.804329493774299
14.0;2004.0;814.0;204.87878787878788;41975.31772268136;2.145663179383287;822.5693374560855;-8.569337456085464;73.43354443626929;-0.08974531742207909
15.0;2005.0;668.0;58.878787878787875;3466.711662075298;0.6166282439789568;387.57236966011305;280.42763033988695;78639.65585804428;2.9368742715228664
16.0;2006.0;579.0;-30.121212121212125;907.2874196510562;-0.31545469609628574;417.0100239397833;161.9899760602167;26240.752343989578;1.696495428639606
17.0;2007.0;588.0;-21.121212121212125;446.10560146923797;-0.22119911788642974;685.6144956609094;-97.61449566090937;9528.589763133694;-1.022301192242499
18.0;2008.0;516.0;-93.12121212121212;8671.560146923784;-0.9752437435652777;573.3470625967835;-57.34706259678353;3288.6855884794086;-0.6005867270774041
19.0;2009.0;661.0;51.878787878787875;2691.4086317722677;0.5433183498157355;663.4799824136671;-2.4799824136671305;6.150312772098246;-0.02597246403894107
20.0;2010.0;809.0;199.87878787878788;39951.52984389348;2.0932989692667006;704.2772579433994;104.72274205660062;10966.852703853308;1.0967447338073884
21.0;2011.0;724.0;114.87878787878788;13197.13590449954;1.2031073972847275;665.6217690627708;58.378230937229205;3408.017847360465;0.611385990206338
22.0;2012.0;825.0;215.87878787878788;46603.65105601469;2.260864441639778;688.1278040920718;136.87219590792824;18733.99801265829;1.4334408851282734
23.0;2013.0;862.0;252.87878787878788;63947.681359045;2.648359596502519;677.6920336364574;184.30796636354262;33969.42646506476;1.9302282153642665
24.0;2014.0;366.0;-243.12121212121212;59107.92378328742;-2.5461700470628776;471.01592746688584;-105.01592746688584;11028.345021730229;-1.099815218292847
25.0;2015.0;421.0;-188.12121212121212;35389.590449954085;-1.9701637357804243;470.1850125961024;-49.18501259610241;2419.165464078753;-0.5151068668338536
26.0;2016.0;431.0;-178.12121212121212;31727.166207529845;-1.865435315547251;486.39686072703546;-55.39686072703546;3068.812178410564;-0.5801625709819545
27.0;2017.0;621.0;11.878787878787875;141.10560146923774;0.1244046688830422;558.4547929978617;62.54520700213834;3911.902918940335;0.6550260722490758
28.0;2018.0;608.0;-1.1212121212121247;1.257116620752992;-0.011742277420083104;753.4725555658522;-145.4725555658522;21162.264422859953;-1.5235110931694225
29.0;2019.0;434.0;-175.12121212121212;30667.438934802572;-1.834016789477299;696.4310930559359;-262.4310930559359;68870.07860253328;-2.7483993795813064
30.0;2020.0;482.0;-127.12121212121212;16159.802571166209;-1.3313203723580669;539.6202539166331;-57.620253916633146;3320.0936614172774;-0.6034478166123307
31.0;2021.0;594.0;-15.121212121212125;228.65105601469247;-0.15836206574652575;574.5790932125251;19.420906787474905;377.1716204477888;0.203392088734796
32.0;2022.0;576.0;-33.121212121212125;1097.014692378329;-0.3468732221662377;704.342908336565;-128.34290833656496;16471.902120287916;-1.3441150038219418
