Predictors;Equations;Method;Criterion;Correlation;Pm;R2;Criterion_t;Correlation_t;Pm_t;R2_t;Criterion_f;Correlation_f;Pm_f;R2_f
;;AdaBoostRegressor;0.1416556699278527;0.9899159919797695;100.0;0.9799336711772912;0.2977358977026762;0.9546482782780167;95.0;0.9113533352191815;0.2853232763579764;0.9584313371172448;96.0;0.9185906279683498
;;ExtraTreesRegressor;0.1863897856552705;0.9824758764485683;100.0;0.9652588478033823;0.20088464013624402;0.9796149046218783;98.0;0.9596453613573317;0.1935459111593996;0.9810912191399318;99.0;0.9625399802734778
;;KNeighborsRegressor;0.1864361681333639;0.9824670758919853;100.0;0.965241555211748;0.23784633304049274;0.9713027961759355;99.0;0.943429121859191;0.23503818075533423;0.971986138577718;97.0;0.9447570535872228
;;RandomForestRegressor;0.19133323934259683;0.9815251354512876;100.0;0.9633915915226685;0.20315551244566965;0.9791464843234322;100.0;0.9587278377629374;0.24082337262810702;0.9705689584960071;98.0;0.9420041031960239
;;StackingRegressorRidge;0.19209478870037588;0.9813763763990643;100.0;0.963099592154158;0.20777002995876293;0.978177700957722;98.0;0.9568316146509348;0.1957415701834675;0.9806555142873111;98.0;0.9616852377021107
;;VotingRegressor;0.2089477079104268;0.9779268149299205;100.0;0.956340855358979;0.20966894523602123;0.977772434364773;99.0;0.9560389334036143;0.20519066003791886;0.9787220203066871;99.0;0.9578967930332032
;;BaggingRegressor;0.21929969061885207;0.975657545296748;100.0;0.9519076456944757;0.22651892603330587;0.9740067639132275;99.0;0.9486891761487177;0.184912714430404;0.9827549481137096;99.0;0.9658072880419799
;;HistGradientBoostingRegressor;0.27084593239919497;0.9626227095299646;96.66666666666667;0.9266424809028107;0.2670057904566043;0.9636949246844895;98.0;0.9287079078626439;0.25699290927422663;0.9664132887035283;99.0;0.9339546445827691
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 88.616 + 1.104*S_2802 + 0.38*H_2802 + 0.564*X2 + 0.262*X3 + 0.48*Xs + 1.499*L_2802 + 0.642*Y_sum;BayesianRidge;0.5566852301731497;0.8307235126725783;70.0;0.6901015545070673;0.5503113142305326;0.8349595543676736;77.0;0.697157457429864;0.5485804981576083;0.8360977437125101;77.0;0.6990594370411503
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 88.575 + 1.106*S_2802 + 0.379*H_2802 + 0.563*X2 + 0.261*X3 + 0.48*Xs + 1.501*L_2802 + 0.646*Y_sum;ElasticNetCV;0.5567315032718414;0.830692502232129;70.0;0.6900500332646757;0.5504019499506554;0.834899810450641;77.0;0.6970576934905162;0.5485507564567054;0.8361172570822686;77.0;0.6990920675907764
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 89.256 + 1.109*S_2802 + 0.378*H_2802 + 0.566*X2 + 0.258*X3 + 0.482*Xs + 1.505*L_2802 + 0.662*Y_sum;LassoCV;0.5568056878366017;0.8306427788121732;70.0;0.6899674259928088;0.5507356282390504;0.8346797396535622;77.0;0.6966902677881386;0.5488802831846292;0.8359009718448479;77.0;0.6987304347311614
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.289 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.682*Y_sum;RidgeCV;0.5568761469979476;0.8305955435136407;70.0;0.6898889569047202;0.551135796767057;0.8344155640458423;77.0;0.6962493335219413;0.5492896112193216;0.8356320500115625;77.0;0.6982809230065266
