Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Михалишки
Предикторы:;; X, X3
Уравнение:;; 160.431 + 0.487*X + 0.092*X3
Модель:;; Lars2

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;260.0;28.133333333333326;791.484444444444;0.46730226547017717;230.1336739688029;29.866326031197104;891.9974306017618;0.4960877422624172
2.0;1986.0;284.0;52.133333333333326;2717.8844444444435;0.8659487478617977;234.65532106776865;49.344678932231346;2434.897338924996;0.8196284450449137
3.0;1987.0;369.0;137.13333333333333;18805.55111111111;2.27782170633212;230.87190206659324;138.12809793340676;19079.37143870081;2.294345015024911
4.0;1988.0;371.0;139.13333333333333;19358.08444444444;2.311042246531422;229.30316735878878;141.69683264121122;20077.99238055142;2.3536226624355416
5.0;1989.0;133.0;-98.86666666666667;9774.61777777778;-1.642202037185481;228.0112681876557;-95.0112681876557;9027.141082626636;-1.5781628271073258
6.0;1991.0;189.0;-42.866666666666674;1837.5511111111118;-0.7120269116050333;235.85494172667796;-46.854941726677964;2195.3855642103877;-0.7782732375835221
7.0;1992.0;136.0;-95.86666666666667;9190.417777777779;-1.5923712268865284;227.73443265098433;-91.73443265098433;8415.20613379798;-1.5237337037710799
8.0;1993.0;130.0;-101.86666666666667;10376.81777777778;-1.6920328474844337;233.178864872188;-103.178864872188;10645.87815631323;-1.71382881410242
9.0;1994.0;416.0;184.13333333333333;33905.084444444445;3.05850440101571;235.48582767778277;180.51417232221723;32585.366409175138;2.9983891590869463
10.0;1996.0;270.0;38.133333333333326;1454.1511111111106;0.6334049664666858;235.393549165559;34.606450834441006;1197.6064393565825;0.5748224955503527
11.0;1998.0;189.0;-42.866666666666674;1837.5511111111118;-0.7120269116050333;234.1939285066497;-45.19392850664971;2042.4911738641654;-0.750683359359762
12.0;1999.0;328.0;96.13333333333333;9241.617777777776;1.5968006322464352;240.74570287453886;87.25429712546114;7613.312366858256;1.4493174426090984
13.0;2001.0;149.0;-82.86666666666667;6866.884444444446;-1.3764377155910674;225.9811409187323;-76.98114091873231;5926.096057149722;-1.278677543239428
14.0;2003.0;264.0;32.133333333333326;1032.5511111111107;0.5337433458687806;234.28620701887348;29.713792981126517;882.9094933252435;0.49355412710162117
15.0;2004.0;302.0;70.13333333333333;4918.684444444443;1.164933609655513;231.97924421327872;70.02075578672128;4902.906240943662;1.163063666199131
16.0;2005.0;185.0;-46.866666666666674;2196.484444444445;-0.7784679920036367;233.73253594553074;-48.73253594553074;2374.860059682446;-0.8094605846962096
17.0;2006.0;248.0;16.133333333333326;260.2844444444442;0.267979024274367;225.7043053820609;22.29569461793909;497.09799849639813;0.37033750966330015
18.0;2007.0;192.0;-39.866666666666674;1589.3511111111118;-0.6621961013060808;231.1487376032646;-39.14873760326461;1532.6236559292643;-0.6502711056505831
19.0;2008.0;164.0;-67.86666666666667;4605.884444444446;-1.1272836640963046;230.0413954565791;-66.0413954565791;4361.465913852266;-1.0969654162916334
20.0;2009.0;134.0;-97.86666666666667;9577.884444444446;-1.6255917670858302;229.21088884656498;-95.21088884656498;9065.113354952953;-1.5814785801692792
21.0;2010.0;439.0;207.13333333333333;42904.217777777776;3.4405406133076797;239.361525191182;199.638474808818;39855.520623991055;3.316048988856809
22.0;2011.0;172.0;-59.866666666666674;3584.0177777777785;-0.9944015032990978;235.02443511666382;-63.024435116663824;3972.0794217745683;-1.0468528901657064
23.0;2012.0;207.0;-24.866666666666674;618.3511111111114;-0.413042049811318;226.53481199207505;-19.53481199207505;381.6088795657192;-0.3244785035342651
24.0;2013.0;320.0;88.13333333333333;7767.484444444443;1.4639184714492284;236.03949875112554;83.96050124887446;7049.365769962251;1.3946066034458775
25.0;2015.0;123.0;-108.86666666666667;11851.951111111113;-1.8083047381819897;231.42557313993598;-108.42557313993598;11756.104910723607;-1.800978055563785
26.0;2017.0;238.0;6.133333333333326;37.61777777777768;0.10187632327785844;238.4387400689441;-0.43874006894409945;0.19249284809707315;-0.007287591048700928
27.0;2018.0;202.0;-29.866666666666674;892.0177777777782;-0.4960934003095723;234.74759957999245;-32.74759957999245;1072.4052782515218;-0.5439464741388874
28.0;2019.0;133.0;-98.86666666666667;9774.61777777778;-1.642202037185481;230.87190206659324;-97.87190206659324;9578.909214132816;-1.6256787284926901
29.0;2021.0;172.0;-59.866666666666674;3584.0177777777785;-0.9944015032990978;228.0112681876557;-56.0112681876557;3137.2621639894915;-0.9303622932209425
30.0;2023.0;237.0;5.133333333333326;26.351111111111035;0.08526605317820758;236.4086128000207;0.5913871999792946;0.34973882029935016;0.009823101125132315
Сумма;;6956.0
Средний;;231.86666666666667
Высший;;439.0
Низший;;123.0

σ = ;;89.32302222188059;;σ -;среднеквадратическое отклонение (см)
δдоп =;;60.20371697754752;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;50.0;;Pк -;климатическая обеспеченность в %
Pм =;;46.666666666666664;;Pм -;обеспеченность метода в %
S =;;87.60284934418372;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.9807421106573856;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.9618550876167036;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.19530722563002226;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
