Predictors;Equations;Method;Criterion;Correlation;Pm;R2
;;StackingRegressorRidge;0.45281695603900823;0.8916035017447873;86.66666666666667;0.7949568043235669
;;BaggingRegressor;0.5014115983860503;0.8652088817181353;83.33333333333334;0.7485864090039462
;;OMP8;0.5226283393962102;0.852560624741701;86.66666666666667;0.7268596188599596
;;LinearRegression;0.5278127826423369;0.8493607398975733;80.0;0.7214136664793533
;;BayesianRidge;0.528667899255804;0.8488287532220236;80.0;0.720510252296455
;;BayesianRidgeCV;0.5286678992577879;0.848828753220788;80.0;0.7205102522943574
;;ExtraTreesRegressor;0.5339032603185122;0.845545568624934;83.33333333333334;0.7149473086212631
;;HistGradientBoostingRegressor;0.5594795384532535;0.8288441627061955;76.66666666666667;0.6869826460521345
;;LarsCV;0.5635721431047133;0.8260668493023797;73.33333333333333;0.6823864395163606
;;LassoLarsCV;0.563579092878926;0.8260621078767424;73.33333333333333;0.682378606069767
;;VotingRegressor;0.5736981513940685;0.8190668050208288;80.0;0.6708704310870285
;;OMP7;0.5873668940818202;0.8093207841991183;73.33333333333333;0.6550001317366759
;;OMPCV;0.5985660787180306;0.801073435714929;66.66666666666666;0.6417186494081205
;;OMP5;0.5985660787180306;0.801073435714929;66.66666666666666;0.6417186494081205
;;OMP6;0.6148566044035284;0.7886389262656028;70.0;0.6219513560213631
;;RandomForestRegressor;0.6360896599539895;0.7716151531039408;76.66666666666667;0.595389944499618
;;OMP4;0.6532765510399351;0.7571193749081891;66.66666666666666;0.5732297478613672
;;Lars8;0.66832772154227;0.7438669616390541;63.33333333333333;0.5533380566181181
;;Lars7;0.6691781076792777;0.7431020523473079;63.33333333333333;0.5522006602027811
;;Lars6;0.6996199872003995;0.7145151317569929;66.66666666666666;0.5105318735097129
;;OMP3;0.7252612554356523;0.6884737550291234;53.333333333333336;0.4739961113639015
;;OMP2;0.7371724417201638;0.6757046626806209;60.0;0.45657679116833183
;;Lars5;0.742273724219447;0.6700967977340232;63.33333333333333;0.44902971833339245
;;OMP1;0.7525648141765998;0.6585181853702597;56.666666666666664;0.4336462004633398
;;Lars4;0.7627367158686085;0.6467091326600929;63.33333333333333;0.41823270226596954
;;KNeighborsRegressor;0.7671246799988773;0.6414980322157038;83.33333333333334;0.4115197253366202
;;Lars3;0.7736282950510894;0.6336396934349556;60.0;0.4014992610963446
;;AdaBoostRegressor;0.7753197329616445;0.6315689286849728;86.66666666666667;0.39887931168028423
;;Lars2;0.8986837146120978;0.43859728805705295;40.0;0.1923675810910015
;;Lars1;0.9670038812430152;0.2547616408742584;36.666666666666664;0.06490349366094472
