Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Стешица
Предикторы:;; S_2802, H_2802, X, X2
Уравнение:;; 103.901 + 0.763*S_2802 + 0.389*H_2802 + 0.263*X + 0.459*X2
Модель:;; OMP4

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;285.67055389189125;-4.670553891891245;21.814073657060458;-0.16321483807731435
2.0;1986.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;283.56435487336165;8.435645126638349;71.16010870257732;0.29478783144164683
3.0;1987.0;275.0;30.400000000000006;924.1600000000003;1.0623431807873234;281.15215692951256;-6.152156929512557;37.849034885349376;-0.21499019609214282
4.0;1988.0;291.0;46.400000000000006;2152.9600000000005;1.6214711706753882;237.12823312623544;53.87176687376456;2902.1672661012362;1.8825757952404008
5.0;1989.0;168.0;-76.6;5867.5599999999995;-2.67682525158911;191.28577553779664;-23.28577553779664;542.2273423966483;-0.8137330543395566
6.0;1991.0;195.0;-49.599999999999994;2460.1599999999994;-1.7332967686530005;220.08093469920988;-25.080934699209877;629.05328538603;-0.8764657876801896
7.0;1992.0;166.0;-78.6;6177.959999999999;-2.746716250325118;177.25026034635493;-11.250260346354935;126.56835786076626;-0.39314596582342737
8.0;1993.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;212.16768079218298;-14.167680792182978;200.72317902919048;-0.49509668016931335
9.0;1994.0;286.0;41.400000000000006;1713.9600000000005;1.4467436738353678;260.6958338885254;25.304166111474615;640.3008225971004;0.8842667208564057
10.0;1996.0;277.0;32.400000000000006;1049.7600000000004;1.1322341795233315;300.8846299500624;-23.88462995006239;570.4755478514173;-0.8346603208249158
11.0;1998.0;207.0;-37.599999999999994;1413.7599999999995;-1.313950776236952;192.91504819416406;14.084951805835942;198.38586737272118;0.49220567442920743
12.0;1999.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;277.2498869953223;14.7501130046777;217.56583365076222;0.5154500646829528
13.0;2001.0;216.0;-28.599999999999994;817.9599999999997;-0.9994412819249157;228.8628506382249;-12.862850638224899;165.4529265412827;-0.4494987388488187
14.0;2003.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;211.73083883491674;-13.730838834916739;188.53593511045767;-0.47983101982774834
15.0;2004.0;296.0;51.400000000000006;2641.9600000000005;1.7961986675154082;298.36888829979324;-2.368888299793241;5.611631776897312;-0.08278198458329689
16.0;2005.0;220.0;-24.599999999999994;605.1599999999997;-0.8596592844528994;249.626052852166;-29.626052852165998;877.7030075993331;-1.0352972112218215
17.0;2006.0;279.0;34.400000000000006;1183.3600000000004;1.2021251782593394;244.1655339029456;34.83446609705439;1213.4400282668316;1.2173078129793726
18.0;2007.0;236.0;-8.599999999999994;73.95999999999991;-0.30053129456483463;247.800618088078;-11.80061808807801;139.25458726067393;-0.4123784919389873
19.0;2008.0;227.0;-17.599999999999994;309.7599999999998;-0.6150407888768711;222.42918369986876;4.570816300131241;20.89236164954545;0.1597294581274989
20.0;2009.0;233.0;-11.599999999999994;134.55999999999986;-0.40536779266884676;246.63820264770993;-13.638202647709932;186.0005714600022;-0.47659380200625856
21.0;2010.0;321.0;76.4;5836.960000000001;2.6698361517155096;274.52469005576245;46.47530994423755;2159.954434412946;1.6241029142841457
22.0;2011.0;242.0;-2.5999999999999943;6.7599999999999705;-0.09085829835681034;283.5291314439679;-41.52913144396791;1724.6687584903643;-1.4512562366289379
23.0;2012.0;235.0;-9.599999999999994;92.1599999999999;-0.3354767939328387;250.6988133098192;-15.6988133098192;246.4527393365565;-0.5486028705967004
24.0;2013.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;287.2649069589809;-6.264906958980873;39.24905920468697;-0.21893030217567028
25.0;2015.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;227.06028818517245;-27.060288185172453;732.2591966645839;-0.9456352836729514
26.0;2017.0;267.0;22.400000000000006;501.7600000000003;0.7827791858432909;234.9241760755157;32.0758239244843;1028.8584804345192;1.120905684681275
27.0;2018.0;266.0;21.400000000000006;457.96000000000026;0.7478336864752868;243.23968127267048;22.76031872732952;518.0321085696269;0.7953707037014645
28.0;2019.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;212.49463019542802;-12.494630195428016;156.11578372050153;-0.436631091597774
29.0;2021.0;212.0;-32.599999999999994;1062.7599999999995;-1.139223279396932;224.73709418876388;-12.737094188763876;162.23356837344252;-0.4451041169236561
30.0;2023.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;238.14543349172365;42.85456650827635;1836.513870612281;1.4975742268310586
Сумма;;7338.0
Средний;;244.6
Высший;;321.0
Низший;;166.0

σ = ;;42.4569558900338;;σ -;среднеквадратическое отклонение (см)
δдоп =;;28.61598826988278;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;30.0;;Pк -;климатическая обеспеченность в %
Pм =;;76.66666666666667;;Pм -;обеспеченность метода в %
S =;;24.606923450297614;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.5795734275917261;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.3359053579704218;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.8149200218607825;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
