Predictors;Equations;Method;Criterion;Correlation;Pm;R2;Criterion_t;Correlation_t;Pm_t;R2_t;Criterion_f;Correlation_f;Pm_f;R2_f
;;Ridge;0.5437345918520382;0.8392572273287239;76.66666666666667;0.7043526936234974;0.46766340499869447;0.883906635128975;83.33333333333334;0.781290939625027;0.46766340499869447;0.883906635128975;83.33333333333334;0.1380281797476205
;;ARDRegression;0.558905961812659;0.8292310449146647;73.33333333333333;0.6876241258502667;0.4980218900479487;0.8671644578931201;83.33333333333334;0.7519741970330689;0.4980218900479487;0.8671644578931201;83.33333333333334;0.7969416863899569
;;SGDRegressor;0.5757337056555313;0.8176372668684752;76.66666666666667;0.6685307001721501;0.4764341895510297;0.879210135875863;83.33333333333334;0.7730104630268535;0.4764341895510297;0.879210135875863;83.33333333333334;0.40917600992126857
;;ElasticNetCV;0.5779280025550173;0.8160877550011199;73.33333333333333;0.665999223862768;0.5364024157545992;0.8439623500918925;83.33333333333334;0.7122724483726302;0.5364024157545992;0.8439623500918925;83.33333333333334;0.3861744193459481
;;HuberRegressorCV;0.584060275366796;0.8117102899054949;80.0;0.6588735947384625;0.5176895983454521;0.8555685126072163;83.33333333333334;0.7319974797649245;0.5176895983454521;0.8555685126072163;83.33333333333334;0.8386861353730127
;;OMP7;0.5870530970492128;0.8095484304505367;73.33333333333333;0.6553686612449277;0.503884022681117;0.863771319092441;100.0;0.7461008916866956;0.503884022681117;0.863771319092441;100.0;0.751641547628889
;;BayesianRidgeCV;0.5945203309577848;0.8040805781001342;76.66666666666667;0.646545576077846;0.5548991947082915;0.8319175943037205;83.33333333333334;0.6920868837120896;0.5548991947082915;0.8319175943037205;83.33333333333334;0.782235854941471
;;BayesianRidge;0.5945207693666352;0.8040802539496317;76.66666666666667;0.6465450547917042;0.5548998948525254;0.8319171272985406;83.33333333333334;0.6920861066926562;0.5548998948525254;0.8319171272985406;83.33333333333334;0.7822391346443395
;;QuantileRegressor;0.602589318338964;0.798051447855201;76.66666666666667;0.6368861134237828;0.5864895469597255;0.8099567959508556;83.33333333333334;0.6560300113069759;0.5864895469597255;0.8099567959508556;83.33333333333334;0.6971863120992539
;;OMP6;0.6234056994259757;0.7818985445204577;73.33333333333333;0.6113653339232101;0.5160154050595565;0.8565793026575075;83.33333333333334;0.7337281017412219;0.5160154050595565;0.8565793026575075;83.33333333333334;0.7404719232104183
;;PassiveAggressiveRegressor;0.6331905935936154;0.7739959122531365;70.0;0.599069672184565;0.5999613710207122;0.8000289702772939;83.33333333333334;0.6400463532829473;0.5999613710207122;0.8000289702772939;83.33333333333334;0.7483179380895961
;;OMPCV;0.6343674417592378;0.7730316609530558;80.0;0.5975779488358401;0.5462154277096442;0.8376447376614805;83.33333333333334;0.7016487065319705;0.5462154277096442;0.8376447376614805;83.33333333333334;0.7349189905981628
;;OMP5;0.6343674417592378;0.7730316609530558;80.0;0.5975779488358401;0.5462154277096442;0.8376447376614805;83.33333333333334;0.7016487065319705;0.5462154277096442;0.8376447376614805;83.33333333333334;0.7349189905981628
;;LarsCV;0.6541024653522809;0.7564059523959791;70.0;0.5721499648200681;0.6383434884374943;0.769751642264861;66.66666666666666;0.5925175907694507;0.6383434884374943;0.769751642264861;66.66666666666666;0.803774173923881
;;Lars7;0.6934491156366607;0.7205056030474247;60.0;0.5191283240227333;0.6842836136566975;0.7292159735503135;66.66666666666666;0.5317559360809314;0.6842836136566975;0.7292159735503135;66.66666666666666;0.6666840667817724
;;OMP4;0.6972731765910745;0.7168054946821992;66.66666666666666;0.5138101172065923;0.655740314282006;0.7549865165851216;83.33333333333334;0.5700046402253358;0.655740314282006;0.7549865165851216;83.33333333333334;0.6245586593104988
;;Lars6;0.73500784438713;0.6780586026955079;56.666666666666664;0.45976346868938456;0.7284356774678107;0.685114197628404;66.66666666666666;0.4693814637920115;0.7284356774678107;0.685114197628404;66.66666666666666;0.5818243001821799
;;OMP3;0.7395645473268132;0.6730856411611273;60.0;0.45304428033728594;0.6748468894929252;0.7379577736847304;50.0;0.5445816757417237;0.6748468894929252;0.7379577736847304;50.0;0.5938193091748958
;;OMP2;0.751105079621767;0.6601826712103092;56.666666666666664;0.4358411593663791;0.7008962605452436;0.7132632276752349;66.66666666666666;0.508744431953694;0.7008962605452436;0.7132632276752349;66.66666666666666;0.5589540650598224
;;Lars5;0.7904697479815609;0.6125010836937087;50.0;0.3751575775259678;0.7843517446459507;0.6203163230730377;66.66666666666666;0.38479234067085333;0.7843517446459507;0.6203163230730377;66.66666666666666;0.46179083392112674
;;Lars4;0.8180537719001258;0.5751417445117133;50.0;0.33078802627997683;0.8100342548950081;0.5863825593387725;66.66666666666666;0.34384450589668913;0.8100342548950081;0.5863825593387725;66.66666666666666;0.4439259253876764
;;Lars3;0.8346028525094515;0.5508521385844724;46.666666666666664;0.3034380785830868;0.8234465828597428;0.5673938007914897;50.0;0.3219357251766126;0.8234465828597428;0.5673938007914897;50.0;0.4375405631018683
;;Lars2;0.8380553620655372;0.5455851996830571;46.666666666666664;0.2976632101132014;0.8267448292964594;0.5625770944782308;50.0;0.31649298723156793;0.8267448292964594;0.5625770944782308;50.0;0.4353573120864024
;;Lars1;1.001344241360703;0;30.0;-0.002690289706241744;1.0215400798887102;0;16.666666666666664;-0.04354413481903241;1.0215400798887102;0;16.666666666666664;-0.028472083542792292
;;OMP1;1.002129173899375;0;30.0;-0.0042628811802434274;1.0239274750404344;0;16.666666666666664;-0.04842747414267956;1.0239274750404344;0;16.666666666666664;-0.03471976605910143
;;LassoCV;1.8163629780004724;0;26.666666666666668;-2.2991744678507438;1.5071018967556442;0;50.0;-1.2713561272044602;1.5071018967556442;0;50.0;0.22760618028762059
;;RidgeCV;1.8612984587219328;0;26.666666666666668;-2.4644319524406426;1.540748427666664;0;50.0;-1.3739057173572977;1.540748427666664;0;50.0;-0.8127507734152875
;;LassoLarsCV;2.088265769786645;0;23.333333333333332;-3.3608539252626066;1.731310103065009;0;33.33333333333333;-1.9974346729749723;1.731310103065009;0;33.33333333333333;0.2284086445645308
;;LinearRegression;2.8144361080459004;0;13.333333333333334;-6.921050606272553;2.1917325552795717;0;33.33333333333333;-3.8036915938723217;2.1917325552795717;0;33.33333333333333;-1.9493940912588026
