Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Стешицы
Предикторы:;; S_2802, H_2802, X, X2, X3, Xs, L_2802
Уравнение:;; 134.78 + 0.565*S_2802 + 0.149*H_2802 + 0.207*X + 0.345*X2 + 0.018*X3 + 0.126*Xs + 0.179*L_2802
Модель:;; Lars7

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;278.36881418414436;2.6311858158556447;6.923138797559934;0.09194810226508465
2.0;1986.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;280.1352518266044;11.864748173395583;140.77224921809383;0.41461954979492255
3.0;1987.0;275.0;30.400000000000006;924.1600000000003;1.0623431807873234;281.9548704981914;-6.954870498191383;48.37022364661286;-0.24304142259909697
4.0;1988.0;291.0;46.400000000000006;2152.9600000000005;1.6214711706753882;242.39006051222978;48.60993948777022;2362.9262170046823;1.6986986096485892
5.0;1989.0;168.0;-76.6;5867.5599999999995;-2.67682525158911;214.9710760426904;-46.97107604269041;2206.281984608205;-1.641427708164308
6.0;1991.0;195.0;-49.599999999999994;2460.1599999999994;-1.7332967686530005;231.85509595862246;-36.85509595862246;1358.2980981192693;-1.2879197325297695
7.0;1992.0;166.0;-78.6;6177.959999999999;-2.746716250325118;214.9030529736367;-48.903052973636704;2391.5085901423176;-1.70894160678369
8.0;1993.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;224.41823856807747;-26.41823856807747;697.923329039856;-0.9231985391845314
9.0;1994.0;286.0;41.400000000000006;1713.9600000000005;1.4467436738353678;258.60803798303925;27.391962016960747;750.3195831386203;0.9572257913520927
10.0;1996.0;277.0;32.400000000000006;1049.7600000000004;1.1322341795233315;281.10736544134505;-4.107365441345053;16.87045086875564;-0.1435339364346852
11.0;1998.0;207.0;-37.599999999999994;1413.7599999999995;-1.313950776236952;219.52829447541214;-12.528294475412139;156.95816246264232;-0.43780750667268353
12.0;1999.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;267.1594439775432;24.84055602245678;617.0532235048138;0.8680656347836326
13.0;2001.0;216.0;-28.599999999999994;817.9599999999997;-0.9994412819249157;227.99757793465918;-11.997577934659176;143.94187629822076;-0.4192613521332116
14.0;2003.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;236.03141226126627;-38.03141226126627;1446.3883185863942;-1.3290266931403818
15.0;2004.0;296.0;51.400000000000006;2641.9600000000005;1.7961986675154082;268.5579013503949;27.4420986496051;753.068778294658;0.9589778410164798
16.0;2005.0;220.0;-24.599999999999994;605.1599999999997;-0.8596592844528994;241.20249001687478;-21.202490016874776;449.5455829156746;-0.7409316014848096
17.0;2006.0;279.0;34.400000000000006;1183.3600000000004;1.2021251782593394;251.35652655718255;27.643473442817452;764.1616239837538;0.966014983725414
18.0;2007.0;236.0;-8.599999999999994;73.95999999999991;-0.30053129456483463;244.62634744761553;-8.62634744761553;74.41387028698296;-0.3014520192788318
19.0;2008.0;227.0;-17.599999999999994;309.7599999999998;-0.6150407888768711;209.19460165931685;17.805398340683155;317.03221007040247;0.6222185364614036
20.0;2009.0;233.0;-11.599999999999994;134.55999999999986;-0.40536779266884676;245.22458070437736;-12.22458070437736;149.44037339783526;-0.4271940772789335
21.0;2010.0;321.0;76.4;5836.960000000001;2.6698361517155096;270.3937730940415;50.60622690595852;2560.99020165736;1.7684598703592431
22.0;2011.0;242.0;-2.5999999999999943;6.7599999999999705;-0.09085829835681034;267.76406794880734;-25.764067948807337;663.7871972707616;-0.9003382202222602
23.0;2012.0;235.0;-9.599999999999994;92.1599999999999;-0.3354767939328387;246.41220678156014;-11.412206781560144;130.23846362508735;-0.39880526487254153
24.0;2013.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;263.3510727374353;17.648927262564712;311.4846335192999;0.6167505764999046
25.0;2015.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;227.64001679549585;-27.640016795495853;763.9705284552929;-0.9658941894586216
26.0;2017.0;267.0;22.400000000000006;501.7600000000003;0.7827791858432909;233.58659227649233;33.413407723507675;1116.4558156973624;1.167648218484699
27.0;2018.0;266.0;21.400000000000006;457.96000000000026;0.7478336864752868;240.68197789664555;25.31802210335445;641.0022432259445;0.8847509254118855
28.0;2019.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;215.73049055700835;-15.730490557008352;247.44833316412894;-0.549709847818329
29.0;2021.0;212.0;-32.599999999999994;1062.7599999999995;-1.139223279396932;215.6072331771037;-3.6072331771036943;13.012131193997613;-0.12605656471072038
30.0;2023.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;250.8094451541893;30.19055484581071;911.4696018979045;1.0550240152839698
Сумма;;7338.0
Средний;;244.6
Высший;;321.0
Низший;;166.0

σ = ;;42.4569558900338;;σ -;среднеквадратическое отклонение (см)
δдоп =;;28.61598826988278;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;30.0;;Pк -;климатическая обеспеченность в %
Pм =;;73.33333333333333;;Pм -;обеспеченность метода в %
S =;;27.67549459676562;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.6518483018058785;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.4249062085672077;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.7583493861227767;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
