Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Стешицы
Предикторы:;; 
Уравнение:;; 
Модель:;; OMP1

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;241.62924494068864;39.370755059311364;1550.0563539402913;1.3758306960430076
2.0;1986.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;241.62924494068864;50.370755059311364;2537.2129652451413;1.760231189091052
3.0;1987.0;275.0;30.400000000000006;924.1600000000003;1.0623431807873234;241.62924494068864;33.370755059311364;1113.607293228555;1.1661576998349832
4.0;1988.0;291.0;46.400000000000006;2152.9600000000005;1.6214711706753882;241.62924494068864;49.370755059311364;2437.471455126519;1.725285689723048
5.0;1989.0;168.0;-76.6;5867.5599999999995;-2.67682525158911;241.62924494068864;-73.62924494068864;5421.265710535923;-2.57301073254145
6.0;1991.0;195.0;-49.599999999999994;2460.1599999999994;-1.7332967686530005;241.62924494068864;-46.629244940688636;2174.286483738737;-1.6294822496053407
7.0;1992.0;166.0;-78.6;6177.959999999999;-2.746716250325118;241.62924494068864;-75.62924494068864;5719.782690298678;-2.6429017312774583
8.0;1993.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;241.62924494068864;-43.629244940688636;1903.511014094605;-1.5246457515013285
9.0;1994.0;286.0;41.400000000000006;1713.9600000000005;1.4467436738353678;241.62924494068864;44.370755059311364;1968.763904533405;1.5505581928830277
10.0;1996.0;277.0;32.400000000000006;1049.7600000000004;1.1322341795233315;241.62924494068864;35.370755059311364;1251.0903134658004;1.2360486985709913
11.0;1998.0;207.0;-37.599999999999994;1413.7599999999995;-1.313950776236952;241.62924494068864;-34.629244940688636;1199.1846051622094;-1.2101362571892922
12.0;1999.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;241.62924494068864;50.370755059311364;2537.2129652451413;1.760231189091052
13.0;2001.0;216.0;-28.599999999999994;817.9599999999997;-0.9994412819249157;241.62924494068864;-25.629244940688636;656.8581962298141;-0.8956267628772557
14.0;2003.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;241.62924494068864;-43.629244940688636;1903.511014094605;-1.5246457515013285
15.0;2004.0;296.0;51.400000000000006;2641.9600000000005;1.7961986675154082;241.62924494068864;54.370755059311364;2956.179005719632;1.9000131865630683
16.0;2005.0;220.0;-24.599999999999994;605.1599999999997;-0.8596592844528994;241.62924494068864;-21.629244940688636;467.82423670430495;-0.7558447654052395
17.0;2006.0;279.0;34.400000000000006;1183.3600000000004;1.2021251782593394;241.62924494068864;37.370755059311364;1396.5733337030458;1.3059396973069994
18.0;2007.0;236.0;-8.599999999999994;73.95999999999991;-0.30053129456483463;241.62924494068864;-5.629244940688636;31.688398602268606;-0.19671677551717473
19.0;2008.0;227.0;-17.599999999999994;309.7599999999998;-0.6150407888768711;241.62924494068864;-14.629244940688636;214.01480753466407;-0.5112262698292112
20.0;2009.0;233.0;-11.599999999999994;134.55999999999986;-0.40536779266884676;241.62924494068864;-8.629244940688636;74.46386824640042;-0.3015532736211869
21.0;2010.0;321.0;76.4;5836.960000000001;2.6698361517155096;241.62924494068864;79.37075505931136;6299.7167586852;2.7736506707631694
22.0;2011.0;242.0;-2.5999999999999943;6.7599999999999705;-0.09085829835681034;241.62924494068864;0.37075505931136377;0.13745931400497285;0.012956220690849566
23.0;2012.0;235.0;-9.599999999999994;92.1599999999999;-0.3354767939328387;241.62924494068864;-6.629244940688636;43.94688848364588;-0.23166227488517876
24.0;2013.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;241.62924494068864;39.370755059311364;1550.0563539402913;1.3758306960430076
25.0;2015.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;241.62924494068864;-41.629244940688636;1732.9940343318503;-1.4547547527653204
26.0;2017.0;267.0;22.400000000000006;501.7600000000003;0.7827791858432909;241.62924494068864;25.370755059311364;643.6752122795732;0.8865937048909508
27.0;2018.0;266.0;21.400000000000006;457.96000000000026;0.7478336864752868;241.62924494068864;24.370755059311364;593.9337021609505;0.8516482055229467
28.0;2019.0;200.0;-44.599999999999994;1989.1599999999994;-1.5585692718129804;241.62924494068864;-41.629244940688636;1732.9940343318503;-1.4547547527653204
29.0;2021.0;212.0;-32.599999999999994;1062.7599999999995;-1.139223279396932;241.62924494068864;-29.629244940688636;877.8921557553232;-1.0354087603492719
30.0;2023.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;241.62924494068864;39.370755059311364;1550.0563539402913;1.3758306960430076
Сумма;;7338.0
Средний;;244.6
Высший;;321.0
Низший;;166.0

σ = ;;42.4569558900338;;σ -;среднеквадратическое отклонение (см)
δдоп =;;28.61598826988278;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;30.0;;Pк -;климатическая обеспеченность в %
Pм =;;30.0;;Pм -;обеспеченность метода в %
S =;;42.56433733435601;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;1.002529183783226;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;1.0050647643370614;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
