Predictors;Equations;Method;Criterion;Correlation;Pm
s_2802, h, x2, x3, xs;75.33 + 1.35*s_2802 + 0.34*h + 0.96*x2 + 0.21*x3 + 0.3*xs;LassoLars;0.6384736463352262;0.7696436856983889;64.86486486
s_2802, h, x2, x3, xs;74.99 + 1.35*s_2802 + 0.34*h + 0.96*x2 + 0.21*x3 + 0.3*xs;LinearRegression;0.6384741485270266;0.7696432690946425;64.86486486
s_2802, h, x2, x3, xs;74.99 + 1.35*s_2802 + 0.34*h + 0.96*x2 + 0.21*x3 + 0.3*xs;Lars5;0.6384741485270266;0.7696432690946425;64.86486486
s_2802, h, x2, x3, xs;74.99 + 1.35*s_2802 + 0.34*h + 0.96*x2 + 0.21*x3 + 0.3*xs;Lars6;0.6384741485270266;0.7696432690946425;64.86486486
s_2802, h, x2, x3, xs;74.99 + 1.35*s_2802 + 0.34*h + 0.96*x2 + 0.21*x3 + 0.3*xs;Lars7;0.6384741485270266;0.7696432690946425;64.86486486
s_2802, h, x2, x3, xs;74.99 + 1.35*s_2802 + 0.34*h + 0.96*x2 + 0.21*x3 + 0.3*xs;Lars8;0.6384741485270266;0.7696432690946425;64.86486486
s_2802, h, x2, x3, xs;75.03 + 1.35*s_2802 + 0.34*h + 0.96*x2 + 0.21*x3 + 0.3*xs;Ridge;0.6384747026568223;0.7696428094040003;64.86486486
s_2802, h, x2, x3, xs;75.31 + 1.35*s_2802 + 0.34*h + 0.96*x2 + 0.21*x3 + 0.3*xs;ElasticNet;0.6384784262113558;0.7696397204294164;64.86486486
s_2802, h, x2, x3, xs;108.39 + 1.3*s_2802 + 0.28*h + 0.78*x2 + 0.18*x3 + 0.22*xs;Lasso;0.6418771315533981;0.7668075038683317;72.97297297
s_2802, h, x2, x3, xs;110.96 + 1.12*s_2802 + 0.31*h + 0.62*x2 + 0.19*x3 + 0.25*xs;ElasticNetCV;0.6510166880501377;0.7590634175615564;72.97297297
s_2802, h, x2, x3, xs;145.3 + 1.24*s_2802 + 0.2*h + 0.57*x2 + 0.15*x3 + 0.13*xs;LarsCV;0.6536172682447955;0.7568252550306518;75.67567568
s_2802, h, x2, x3;201.15 + 1.15*s_2802 + 0.1*h + 0.25*x2 + 0.1*x3;Lars4;0.6862754386644119;0.7273417506825585;72.97297297
s_2802, h, x3;234.6 + 1.06*s_2802 + 0.01*h + 0.05*x3;Lars3;0.7131119537843582;0.7010501703657559;67.56756757
s_2802, x3;239.03 + 1.04*s_2802 + 0.05*x3;Lars2;0.7186791083102584;0.6953418866128891;67.56756757
s_2802;248.91 + 0.96*s_2802;Lars1;0.7378560171127903;0.6749581453767706;62.16216216
