Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Белица
Предикторы:;; S_2802, Smax, H_2802, X, X1, X2, X3, Xs
Уравнение:;; 38.366 + 1.469*S_2802 - 0.039*Smax + 0.401*H_2802 + 1.417*X + 1.238*X1 - 0.065*X2 + 0.178*X3 - 0.958*Xs
Модель:;; LinearRegression

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1989.0;187.0;-102.59459459459458;10525.650840029215;-2.090446828173539;158.69225615132757;28.30774384867243;801.3283618020519;0.5767928961076484
2.0;1991.0;245.0;-44.59459459459458;1988.6778670562444;-0.9086504916981926;272.1984352799767;-27.198435279976707;739.7548816790816;-0.5541898477885912
3.0;1992.0;223.0;-66.59459459459458;4434.840029218406;-1.3569180676026342;192.53715914816348;30.462840851836518;927.9846727643198;0.6207047192643435
4.0;1993.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;303.66468704694614;-51.66468704694614;2669.2398876588845;-1.05270927374528
5.0;1994.0;392.0;102.40540540540542;10486.867056245437;2.0865919472996683;380.9596482228394;11.040351777160595;121.8893673634531;0.22495598764909436
6.0;1995.0;231.0;-58.59459459459458;3433.3265157048927;-1.1939116763646556;118.90844457859991;112.09155542140009;12564.516796788808;2.283954992186791
7.0;1996.0;345.0;55.40540540540542;3069.758948137328;1.1289293987765427;422.8864007030054;-77.88640070300539;6066.2914144691185;-1.5869976381390107
8.0;1999.0;370.0;80.40540540540542;6465.029218407599;1.6383243713952267;344.0198838343771;25.980116165622917;674.9664359792612;0.5293656225127085
9.0;2001.0;198.0;-91.59459459459458;8389.569758948135;-1.8663130402213182;204.99499406802065;-6.994994068020645;48.929942011644016;-0.1425285924698893
10.0;2003.0;264.0;-25.594594594594582;655.0832724616503;-0.5215103125079928;296.5283222614469;-32.528322261446874;1058.0917491445402;-0.6627905531080581
11.0;2004.0;341.0;51.40540540540542;2642.5157048940846;1.0474262031575534;235.08225109298021;105.91774890701979;11218.569533530492;2.158158752172959
12.0;2005.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;298.95612080201886;-44.95612080201886;2021.0527975657128;-0.9160168769994655
13.0;2006.0;346.0;56.40540540540542;3181.5697589481388;1.1493051976812902;343.5629844588432;2.437015541156825;5.939044747839892;0.04965613859435551
14.0;2007.0;286.0;-3.5945945945945823;12.92111029948859;-0.07324273660355105;341.9449356634226;-55.9449356634226;3129.835826384494;-1.1399227588169274
15.0;2008.0;199.0;-90.59459459459458;8207.380569758945;-1.8459372413165709;292.44251771030815;-93.44251771030815;8731.504116041253;-1.903965950018532
16.0;2009.0;214.0;-75.59459459459458;5714.5427319211085;-1.5403002577453604;169.83118013420258;44.16881986579742;1950.8846483372606;0.8999749914454982
17.0;2010.0;379.0;89.40540540540542;7993.326515704896;1.8217065615379529;325.2341261077835;53.76587389221652;2890.7691953937297;1.0955226343658098
18.0;2011.0;224.0;-65.59459459459458;4302.650840029217;-1.336542268697887;231.25579093026533;-7.255790930265334;52.646502023720686;-0.14784253688997617
19.0;2012.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;228.56169758747512;25.438302412524877;647.107229631069;0.5183257344357564
20.0;2013.0;363.0;73.40540540540542;5388.353542731923;1.495693779061995;457.06012476498324;-94.06012476498324;8847.307070804214;-1.916550187166745
21.0;2015.0;181.0;-108.59459459459458;11792.78597516435;-2.212701621602023;198.41093368965008;-17.41093368965008;303.1406119453921;-0.3547616836042009
22.0;2017.0;275.0;-14.594594594594582;213.0021913805694;-0.29737652455577196;220.71736351372377;54.28263648627623;2946.6046239012076;1.106052085063866
23.0;2018.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;300.71784835824917;-48.71784835824917;2373.428748657361;-0.9926650812196611
24.0;2019.0;205.0;-84.59459459459458;7156.245434623811;-1.7236824478880868;230.4652181469603;-25.465218146960297;648.477335272276;-0.518874164027986
25.0;2021.0;218.0;-71.59459459459458;5125.785975164352;-1.458797062126371;275.7593394416989;-57.7593394416989;3336.141292741394;-1.176892685335099
Сумма;;10715.0
Средний;;289.5945945945946
Высший;;494.0
Низший;;181.0

σ = ;;72.8157718948075;;σ -;среднеквадратическое отклонение (см)
δдоп =;;49.07783025710026;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;0.0;;Pк -;климатическая обеспеченность в %
Pм =;;0.0;;Pм -;обеспеченность метода в %
S =;;55.566401937653445;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.7631094265941015;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.5823359969567784;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.6462692960703159;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
