Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Белица
Предикторы:;; S_2802, Smax, H_2802, X, X1, X2, X3, Xs
Уравнение:;; 55.164 + 1.366*S_2802 - 0.031*Smax + 0.347*H_2802 + 0.876*X + 0.644*X1 + 0.392*X2 + 0.223*X3 - 0.453*Xs
Модель:;; Ridge

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;281.0;-8.594594594594582;73.86705624543441;-0.17512173112728782;230.42692347988805;50.573076520111954;2557.636068709099;1.0304668371682013
2.0;1978.0;311.0;21.405405405405418;458.1913805697595;0.4361522360151328;358.19429126872956;-47.19429126872956;2227.301128357683;-0.9616213883437073
3.0;1979.0;494.0;204.40540540540542;41781.56975894814;4.164923435583899;422.03983879365967;71.96016120634033;5178.264800842488;1.4662457738935923
4.0;1980.0;357.0;67.40540540540542;4543.488677867058;1.373438985633511;317.5512631941506;39.44873680584942;1556.2028355771788;0.8037995282022933
5.0;1981.0;293.0;3.4054054054054177;11.596785975164437;0.06938785572968043;280.40072095702317;12.599279042976832;158.74183240279518;0.2567203761244936
6.0;1982.0;269.0;-20.594594594594582;424.1373265157044;-0.41963131798425607;363.5862332826207;-94.5862332826207;8946.555526594344;-1.9272700685242006
7.0;1983.0;292.0;2.4054054054054177;5.7859751643536015;0.04901205682493307;236.0897805861127;55.91021941388729;3125.9526349090193;1.139215387497669
8.0;1984.0;249.0;-40.59459459459458;1647.9211102994877;-0.8271472960792031;287.14068175745035;-38.14068175745035;1454.711604923106;-0.7771468615797742
9.0;1985.0;362.0;72.40540540540542;5242.542731921112;1.4753179801572478;318.34553228895174;43.654467711048255;1905.7125511349548;0.8894946553741058
10.0;1986.0;354.0;64.40540540540542;4148.056245434625;1.312311588919269;388.69253304197207;-34.69253304197207;1203.5718488683237;-0.7068880767595259
11.0;1987.0;361.0;71.40540540540542;5098.731921110301;1.4549421812525005;301.47105008385967;59.528949916140334;3543.6958781183444;1.2129499125020522
12.0;1988.0;394.0;104.40540540540542;10900.488677867059;2.1273435451091633;290.9716362942661;103.02836370573391;10614.843727880989;2.099285220353205
13.0;1989.0;187.0;-102.59459459459458;10525.650840029215;-2.090446828173539;192.83056819070305;-5.8305681907030475;33.995525426438206;-0.11880248495418191
14.0;1991.0;245.0;-44.59459459459458;1988.6778670562444;-0.9086504916981926;273.89705560263735;-28.89705560263735;835.0398225019147;-0.5888005938986415
15.0;1992.0;223.0;-66.59459459459458;4434.840029218406;-1.3569180676026342;209.08150958509185;13.918490414908149;193.72437542989002;0.283600361751822
16.0;1993.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;290.2986119617643;-38.29861196176432;1466.7836781977971;-0.7803648156638614
17.0;1994.0;392.0;102.40540540540542;10486.867056245437;2.0865919472996683;366.0970484357558;25.902951564244177;670.9628997395798;0.5277933321124503
18.0;1995.0;231.0;-58.59459459459458;3433.3265157048927;-1.1939116763646556;174.75815315707092;56.24184684292908;3163.1453363034916;1.1459725613031226
19.0;1996.0;345.0;55.40540540540542;3069.758948137328;1.1289293987765427;405.7658887333382;-60.765888733338215;3692.4932335524404;-1.2381535290987524
20.0;1999.0;370.0;80.40540540540542;6465.029218407599;1.6383243713952267;342.5671719947295;27.432828005270494;752.5600523667531;0.5589657868239131
21.0;2001.0;198.0;-91.59459459459458;8389.569758948135;-1.8663130402213182;218.7868166972522;-20.786816697252192;432.09174840516255;-0.4235479968930552
22.0;2003.0;264.0;-25.594594594594582;655.0832724616503;-0.5215103125079928;292.26283042603376;-28.26283042603376;798.7875836907396;-0.5758777492398388
23.0;2004.0;341.0;51.40540540540542;2642.5157048940846;1.0474262031575534;273.3768317837395;67.62316821626052;4572.8928796046675;1.3778760768764273
24.0;2005.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;294.78015584114723;-40.780155841147234;1663.0211104282548;-0.8309282547234742
25.0;2006.0;346.0;56.40540540540542;3181.5697589481388;1.1493051976812902;323.219613404788;22.780386595212008;518.9460134273149;0.46416857623644214
26.0;2007.0;286.0;-3.5945945945945823;12.92111029948859;-0.07324273660355105;332.45376952840354;-46.45376952840354;2157.9527033980335;-0.9465326662782308
27.0;2008.0;199.0;-90.59459459459458;8207.380569758945;-1.8459372413165709;260.9641775108861;-61.96417751088609;3839.5592946006013;-1.2625696202598833
28.0;2009.0;214.0;-75.59459459459458;5714.5427319211085;-1.5403002577453604;199.91423850311432;14.08576149688568;198.40867694714714;0.2870086436807757
29.0;2010.0;379.0;89.40540540540542;7993.326515704896;1.8217065615379529;329.706954280526;49.29304571947398;2429.804356302152;1.004385186982519
30.0;2011.0;224.0;-65.59459459459458;4302.650840029217;-1.336542268697887;248.64425767550838;-24.644257675508385;607.339436376854;-0.5021464385529353
31.0;2012.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;235.15032860169325;18.849671398306754;355.3101118241437;0.3840771138324663
32.0;2013.0;363.0;73.40540540540542;5388.353542731923;1.495693779061995;417.612269719786;-54.61226971978601;2982.5000039466563;-1.112768625542183
33.0;2015.0;181.0;-108.59459459459458;11792.78597516435;-2.212701621602023;199.10921908808368;-18.109219088083677;327.9438159802142;-0.36898980646080526
34.0;2017.0;275.0;-14.594594594594582;213.0021913805694;-0.29737652455577196;236.11404633397572;38.88595366602428;1512.117392516187;0.7923323721182338
35.0;2018.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;294.0965275434154;-42.09652754341539;1772.1176312135306;-0.8577503798127901
36.0;2019.0;205.0;-84.59459459459458;7156.245434623811;-1.7236824478880868;238.53723389208236;-33.537233892082355;1124.7460571322374;-0.6833479336065474
37.0;2021.0;218.0;-71.59459459459458;5125.785975164352;-1.458797062126371;270.085605740053;-52.08560574005298;2712.9103253082403;-1.061285828391274
Сумма;;10715.0
Средний;;289.5945945945946
Высший;;494.0
Низший;;181.0

σ = ;;72.8157718948075;;σ -;среднеквадратическое отклонение (см)
δдоп =;;49.07783025710026;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;37.83783783783784;;Pк -;климатическая обеспеченность в %
Pм =;;64.86486486486487;;Pм -;обеспеченность метода в %
S =;;47.51851817477137;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.6525855173714079;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.4258678574829081;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.7577150800380654;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
