Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Белица
Предикторы:;; S_2802, Smax, H_2802, X, X1, X2, X3, Xs
Уравнение:;;  - 0.02 + 1.459*S_2802 - 0.021*Smax + 0.552*H_2802 + 1.383*X + 1.234*X1 - 0.258*X2 + 0.221*X3 - 0.881*Xs
Модель:;; HuberRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;281.0;-8.594594594594582;73.86705624543441;-0.17512173112728782;220.9928106094093;60.007189390590696;3600.8627785582207;1.222694423861765
2.0;1978.0;311.0;21.405405405405418;458.1913805697595;0.4361522360151328;362.5315540716593;-51.531554071659286;2655.5010650403447;-1.0499965830132443
3.0;1979.0;494.0;204.40540540540542;41781.56975894814;4.164923435583899;433.10357266687;60.89642733313002;3708.374861939185;1.2408133573574174
4.0;1980.0;357.0;67.40540540540542;4543.488677867058;1.373438985633511;327.562422547731;29.43757745226901;866.5709662583369;0.5998141584103583
5.0;1981.0;293.0;3.4054054054054177;11.596785975164437;0.06938785572968043;269.3147722069679;23.685227793032084;560.9900156078195;0.4826054385239547
6.0;1982.0;269.0;-20.594594594594582;424.1373265157044;-0.41963131798425607;367.7080074303356;-98.70800743033561;9743.27073086719;-2.011254509688826
7.0;1983.0;292.0;2.4054054054054177;5.7859751643536015;0.04901205682493307;231.82261937133705;60.177380628662945;3621.317139326978;1.2261622063040751
8.0;1984.0;249.0;-40.59459459459458;1647.9211102994877;-0.8271472960792031;283.6610273606518;-34.661027360651815;1201.3868176958538;-0.7062461233325873
9.0;1985.0;362.0;72.40540540540542;5242.542731921112;1.4753179801572478;318.9543479142128;43.0456520857872;1852.9281634906356;0.8770895506237184
10.0;1986.0;354.0;64.40540540540542;4148.056245434625;1.312311588919269;393.88524025958355;-39.885240259583554;1590.8323905647048;-0.8126936347968077
11.0;1987.0;361.0;71.40540540540542;5098.731921110301;1.4549421812525005;292.1574303393915;68.84256966060849;4739.299397475733;1.4027223554906199
12.0;1988.0;394.0;104.40540540540542;10900.488677867059;2.1273435451091633;302.3297814682539;91.67021853174612;8403.42896565809;1.8678539383571031
