Таблица  - Проверочные прогнозы максимумов весеннего
половодья р.Неман-Белица по данным, рассчитанным
на дату 28 февраля
Предикторы;; Smax, H, X, X1, X3
Уравнение;; 52.01 + 0.98*Smax + 0.48*H + 0.5*X + 0.3*X1 + 0.23*X3

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;281.0;-8.594594594594582;73.86705624543441;-0.18;227.98527239371012;53.01472760628988;2810.5613431691145;1.08
2.0;1978.0;311.0;21.405405405405418;458.1913805697595;0.44;327.0600409316723;-16.06004093167229;257.92491472698936;-0.33
3.0;1979.0;494.0;204.40540540540542;41781.56975894814;4.16;408.7890171626686;85.21098283733141;7260.911596103989;1.74
4.0;1980.0;357.0;67.40540540540542;4543.488677867058;1.37;318.4984377678651;38.501562232134916;1482.3702943149578;0.78
5.0;1981.0;293.0;3.4054054054054177;11.596785975164437;0.07;295.8985006716731;-2.898500671673105;8.40130614368944;-0.06
6.0;1982.0;269.0;-20.594594594594582;424.1373265157044;-0.42;337.4339185457411;-68.43391854574111;4683.201207525129;-1.39
7.0;1983.0;292.0;2.4054054054054177;5.7859751643536015;0.05;220.482610590449;71.51738940955099;5114.736987957355;1.46
8.0;1984.0;249.0;-40.59459459459458;1647.9211102994877;-0.83;260.77839052243377;-11.778390522433767;138.73048329895758;-0.24
9.0;1985.0;362.0;72.40540540540542;5242.542731921112;1.48;307.3727759987131;54.62722400128689;2984.1336020867743;1.11
10.0;1986.0;354.0;64.40540540540542;4148.056245434625;1.31;347.4541839370489;6.545816062951076;42.847707929988324;0.13
11.0;1987.0;361.0;71.40540540540542;5098.731921110301;1.45;276.3002855090013;84.6997144909987;7174.041634856695;1.73
12.0;1988.0;394.0;104.40540540540542;10900.488677867059;2.13;284.54012308790453;109.45987691209547;11981.46465361109;2.23
13.0;1989.0;187.0;-102.59459459459458;10525.650840029215;-2.09;256.8196355896974;-69.81963558969738;4874.781513878138;-1.42
14.0;1991.0;245.0;-44.59459459459458;1988.6778670562444;-0.91;274.01238032550805;-29.012380325508047;841.7182121519264;-0.59
15.0;1992.0;223.0;-66.59459459459458;4434.840029218406;-1.36;258.4681652373643;-35.4681652373643;1257.9907453049775;-0.72
16.0;1993.0;252.0;-37.59459459459458;1413.3535427319202;-0.77;241.45026011128704;10.549739888712963;111.29701171950141;0.21
17.0;1994.0;392.0;102.40540540540542;10486.867056245437;2.09;357.0423253413113;34.95767465868869;1222.0390175427253;0.71
