Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Белица
Предикторы:;; Smax, X, X1, X3
Уравнение:;; 107.306 + 1.477*Smax + 0.429*X + 0.409*X1 + 0.241*X3
Модель:;; Lars4

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;281.0;-8.594594594594582;73.86705624543441;-0.17512173112728782;233.92865086418692;47.07134913581308;2215.711909465611;0.9591163441664804
2.0;1978.0;311.0;21.405405405405418;458.1913805697595;0.4361522360151328;344.60748976098074;-33.60748976098074;1129.4633680344252;-0.6847794530630993
3.0;1979.0;494.0;204.40540540540542;41781.56975894814;4.164923435583899;413.4801225598838;80.5198774401162;6483.450662971334;1.640656830554711
4.0;1980.0;357.0;67.40540540540542;4543.488677867058;1.373438985633511;342.2349899028025;14.76501009719749;218.00552317034382;0.3008488765670602
5.0;1981.0;293.0;3.4054054054054177;11.596785975164437;0.06938785572968043;282.3697360874513;10.630263912548685;113.00251085043487;0.2166001197864848
6.0;1982.0;269.0;-20.594594594594582;424.1373265157044;-0.41963131798425607;353.12563979935385;-84.12563979935385;7077.123271650628;-1.7141271192848446
7.0;1983.0;292.0;2.4054054054054177;5.7859751643536015;0.04901205682493307;200.6461106275505;91.35388937244949;8345.53310347374;1.861408479019567
8.0;1984.0;249.0;-40.59459459459458;1647.9211102994877;-0.8271472960792031;273.67460181783173;-24.67460181783173;608.8359748685449;-0.5027647246948528
9.0;1985.0;362.0;72.40540540540542;5242.542731921112;1.4753179801572478;325.2824513185169;36.717548681483095;1348.1783811770808;0.7481493882091709
10.0;1986.0;354.0;64.40540540540542;4148.056245434625;1.312311588919269;375.108348954478;-21.108348954478004;445.5623955840126;-0.43009947350767785
11.0;1987.0;361.0;71.40540540540542;5098.731921110301;1.4549421812525005;297.28169316928324;63.718306830716756;4060.0226253733654;1.2983114065336743
12.0;1988.0;394.0;104.40540540540542;10900.488677867059;2.1273435451091633;272.0792733646257;121.92072663537431;14864.66358329767;2.4842322082430615
13.0;1989.0;187.0;-102.59459459459458;10525.650840029215;-2.090446828173539;261.0672068089604;-74.0672068089604;5485.951124481311;-1.5091785113757112
14.0;1991.0;245.0;-44.59459459459458;1988.6778670562444;-0.9086504916981926;268.4592552173624;-23.459255217362397;550.3366553533449;-0.47800106676412135
15.0;1992.0;223.0;-66.59459459459458;4434.840029218406;-1.3569180676026342;206.02731432460916;16.972685675390835;288.07205903561726;0.34583203019524966
16.0;1993.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;263.05910149899836;-11.05910149899836;122.30372596514775;-0.22533802821078058
17.0;1994.0;392.0;102.40540540540542;10486.867056245437;2.0865919472996683;327.52661318536633;64.47338681463367;4156.817607349379;1.3136967644429651
18.0;1995.0;231.0;-58.59459459459458;3433.3265157048927;-1.1939116763646556;192.04904621550773;38.95095378449227;1517.1768007216526;0.7936568014609224
19.0;1996.0;345.0;55.40540540540542;3069.758948137328;1.1289293987765427;403.22984071483677;-58.22984071483677;3390.714349675262;-1.1864795246609838
20.0;1999.0;370.0;80.40540540540542;6465.029218407599;1.6383243713952267;319.9688987990781;50.03110120092191;2503.11108737689;1.0194236570530486
21.0;2001.0;198.0;-91.59459459459458;8389.569758948135;-1.8663130402213182;204.6813989978515;-6.681398997851488;44.64109256849087;-0.13613884238260243
22.0;2003.0;264.0;-25.594594594594582;655.0832724616503;-0.5215103125079928;285.9708579706637;-21.9708579706637;482.71859996707667;-0.4476737837750091
23.0;2004.0;341.0;51.40540540540542;2642.5157048940846;1.0474262031575534;296.1030547923472;44.89694520765278;2015.7356889789758;0.9148111269885933
24.0;2005.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;270.4802442230198;-16.48024422301978;271.5984496503769;-0.33579814218937537
25.0;2006.0;346.0;56.40540540540542;3181.5697589481388;1.1493051976812902;325.8382661559205;20.161733844079492;406.49551159950045;0.41081143437800255
26.0;2007.0;286.0;-3.5945945945945823;12.92111029948859;-0.07324273660355105;289.67421364134145;-3.674213641341453;13.499845882219617;-0.07486503828905296
27.0;2008.0;199.0;-90.59459459459458;8207.380569758945;-1.8459372413165709;247.74716525867439;-48.747165258674386;2376.286120756511;-0.9932624364872358
28.0;2009.0;214.0;-75.59459459459458;5714.5427319211085;-1.5403002577453604;216.18210693960134;-2.18210693960134;4.761590695856325;-0.04446217218997058
29.0;2010.0;379.0;89.40540540540542;7993.326515704896;1.8217065615379529;352.59377250733814;26.406227492661856;697.2888503942108;0.5380479812234888
30.0;2011.0;224.0;-65.59459459459458;4302.650840029217;-1.336542268697887;267.7148239000129;-43.7148239000129;1910.9858286091392;-0.8907244609431063
31.0;2012.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;248.44998150111445;5.550018498885549;30.80270533797181;0.11308606085091973
32.0;2013.0;363.0;73.40540540540542;5388.353542731923;1.495693779061995;424.8953219758449;-61.89532197584492;3831.0308824935114;-1.2611666337244059
33.0;2015.0;181.0;-108.59459459459458;11792.78597516435;-2.212701621602023;197.75222929566496;-16.75222929566496;280.63718637453536;-0.34134005533468664
34.0;2017.0;275.0;-14.594594594594582;213.0021913805694;-0.29737652455577196;262.0998122773045;12.900187722695478;166.41484328078312;0.2628516308711338
35.0;2018.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;273.49361724674463;-21.493617246744634;461.9755823495584;-0.43794962275527816
36.0;2019.0;205.0;-84.59459459459458;7156.245434623811;-1.7236824478880868;303.54463665120164;-98.54463665120164;9711.045412717354;-2.00792569954628
37.0;2021.0;218.0;-71.59459459459458;5125.785975164352;-1.458797062126371;329.52415975967824;-111.52415975967824;12437.638210102235;-2.2723938522841207
Сумма;;10715.0
Средний;;289.5945945945946
Высший;;494.0
Низший;;181.0

σ = ;;72.8157718948075;;σ -;среднеквадратическое отклонение (см)
δдоп =;;49.07783025710026;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;37.83783783783784;;Pк -;климатическая обеспеченность в %
Pм =;;67.56756756756756;;Pм -;обеспеченность метода в %
S =;;52.72243701205243;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.7240524358955821;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.5242519299263261;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.6897449311692504;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
