Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Белица
Предикторы:;; S_2802
Уравнение:;; 248.908 + 0.961*S_2802
Модель:;; Lars1

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;281.0;-8.594594594594582;73.86705624543441;-0.17512173112728782;270.05668138450125;10.943318615498754;119.75622232032157;0.22297885945998083
2.0;1978.0;311.0;21.405405405405418;458.1913805697595;0.4361522360151328;339.2707781819596;-28.2707781819596;799.236899013563;-0.5760396911163278
3.0;1979.0;494.0;204.40540540540542;41781.56975894814;4.164923435583899;373.87782658068875;120.12217341931125;14429.336546979086;2.447585249593074
4.0;1980.0;357.0;67.40540540540542;4543.488677867058;1.373438985633511;309.4702642830539;47.52973571694611;2259.0757773227424;0.9684563369642817
5.0;1981.0;293.0;3.4054054054054177;11.596785975164437;0.06938785572968043;270.05668138450125;22.943318615498754;526.3958690922916;0.4674884463169491
6.0;1982.0;269.0;-20.594594594594582;424.1373265157044;-0.41963131798425607;336.3868574820655;-67.38685748206552;4540.98856130821;-1.3730610568774366
7.0;1983.0;292.0;2.4054054054054177;5.7859751643536015;0.04901205682493307;266.21145378464246;25.78854621535754;665.0491159016318;0.5254622317299087
8.0;1984.0;249.0;-40.59459459459458;1647.9211102994877;-0.8271472960792031;295.05066078358345;-46.05066078358345;2120.663358604671;-0.9383190035570316
9.0;1985.0;362.0;72.40540540540542;5242.542731921112;1.4753179801572478;311.3928780829833;50.607121917016684;2561.0807887237906;1.0311605393291643
10.0;1986.0;354.0;64.40540540540542;4148.056245434625;1.312311588919269;350.806460981536;3.19353901846398;10.198691462451881;0.0650709088346863
11.0;1987.0;361.0;71.40540540540542;5098.731921110301;1.4549421812525005;319.0833332827009;41.91666671729911;1757.0069486891307;0.854085571789003
12.0;1988.0;394.0;104.40540540540542;10900.488677867059;2.1273435451091633;266.21145378464246;127.78854621535754;16329.91254383457;2.6037937200141386
13.0;1989.0;187.0;-102.59459459459458;10525.650840029215;-2.090446828173539;248.90792958527786;-61.907929585277856;3832.591745535721;-1.261423523838881
14.0;1991.0;245.0;-44.59459459459458;1988.6778670562444;-0.9086504916981926;271.9792951844306;-26.97929518443061;727.8823686486407;-0.5497246932697768
15.0;1992.0;223.0;-66.59459459459458;4434.840029218406;-1.3569180676026342;248.90792958527786;-25.907929585277856;671.2208153957156;-0.5278947632679761
16.0;1993.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;278.70844348418353;-26.708443484183533;713.3409533478258;-0.5442058734925335
17.0;1994.0;392.0;102.40540540540542;10486.867056245437;2.0865919472996683;292.1667400836893;99.83325991631068;9966.679785517645;2.034182428060121
18.0;1995.0;231.0;-58.59459459459458;3433.3265157048927;-1.1939116763646556;248.90792958527786;-17.907929585277856;320.6939420312699;-0.36488837202999724
19.0;1996.0;345.0;55.40540540540542;3069.758948137328;1.1289293987765427;359.4582230812183;-14.458223081218307;209.04021466627378;-0.29459784602288086
20.0;1999.0;370.0;80.40540540540542;6465.029218407599;1.6383243713952267;296.0119676835481;73.98803231645189;5474.228926060329;1.5075652678379723
21.0;2001.0;198.0;-91.59459459459458;8389.569758948135;-1.8663130402213182;259.48230548488954;-61.48230548488954;3780.073887737278;-1.2527510927603545
22.0;2003.0;264.0;-25.594594594594582;655.0832724616503;-0.5215103125079928;284.47628488397174;-20.476284883971744;419.27824264956973;-0.41722066311212624
23.0;2004.0;341.0;51.40540540540542;2642.5157048940846;1.0474262031575534;303.70242288326574;37.29757711673426;1391.109258778739;0.7599679309648839
24.0;2005.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;302.74111598330103;-48.74111598330103;2375.696387297603;-0.9931391776687089
25.0;2006.0;346.0;56.40540540540542;3181.5697589481388;1.1493051976812902;301.7798090833363;44.22019091666368;1955.4252847061853;0.9010217176474747
26.0;2007.0;286.0;-3.5945945945945823;12.92111029948859;-0.07324273660355105;318.1220263827362;-32.12202638273618;1031.8245789331993;-0.6545119499876214
27.0;2008.0;199.0;-90.59459459459458;8207.380569758945;-1.8459372413165709;248.90792958527786;-49.907929585277856;2490.801435489053;-1.0169139369819127
28.0;2009.0;214.0;-75.59459459459458;5714.5427319211085;-1.5403002577453604;265.25014688467775;-51.25014688467775;2626.5775557010443;-1.044262686760958
29.0;2010.0;379.0;89.40540540540542;7993.326515704896;1.8217065615379529;306.5863435831598;72.41365641684018;5243.737635656179;1.4754861011070033
30.0;2011.0;224.0;-65.59459459459458;4302.650840029217;-1.336542268697887;275.82452278428946;-51.82452278428946;2685.781161819337;-1.0559660545871794
