Predictors;Equations;Method;Criterion;Correlation;Pm
s_max, h, x1, x3;2.06*s_max + 0.37*h + 0.44*x1 + 0.34*x3;Lars4;0.6757100042550294;0.7371675455075788;80.0
s_max, h, x1, x3;1.99*s_max + 0.36*h + 0.34*x1 + 0.3*x3;Lasso;0.6767458726596159;0.7362166962506181;80.0
s_max, h, x, x1, x3;2.09*s_max + 0.39*h + 0.05*x + 0.55*x1 + 0.37*x3;ElasticNet;0.677135848197193;0.7358580318826914;80.0
s_max, h, x, x1, x3;2.09*s_max + 0.39*h + 0.05*x + 0.55*x1 + 0.37*x3;LassoLars;0.6771359966081518;0.7358578953150431;80.0
s_max, h, x, x1, x3;2.09*s_max + 0.39*h + 0.05*x + 0.56*x1 + 0.37*x3;Ridge;0.6771796833485025;0.735817692407584;80.0
s_max, h, x, x1, x3;2.09*s_max + 0.39*h + 0.05*x + 0.56*x1 + 0.37*x3;LinearRegression;0.6771864236569988;0.7358114891836385;80.0
s_max, h, x, x1, x3;2.09*s_max + 0.39*h + 0.05*x + 0.56*x1 + 0.37*x3;Lars5;0.6771864236569988;0.7358114891836385;80.0
s_max, h, x, x1, x3;2.09*s_max + 0.39*h + 0.05*x + 0.56*x1 + 0.37*x3;Lars6;0.6771864236569988;0.7358114891836385;80.0
s_max, h, x, x1, x3;2.09*s_max + 0.39*h + 0.05*x + 0.56*x1 + 0.37*x3;Lars7;0.6771864236569988;0.7358114891836385;80.0
s_max, h, x, x1, x3;2.09*s_max + 0.39*h + 0.05*x + 0.56*x1 + 0.37*x3;Lars8;0.6771864236569988;0.7358114891836385;80.0
s_max, h, x3;1.74*s_max + 0.33*h + 0.19*x3;Lars3;0.6884606958817765;0.7252736519590244;85.71428571
s_max, h, x3;1.6*s_max + 0.29*h + 0.07*x3;ElasticNetCV;0.7043707955903025;0.7098322212463198;85.71428571
s_max, h, x3;1.6*s_max + 0.29*h + 0.07*x3;LarsCV;0.7043714966319394;0.7098315255977871;85.71428571
s_max, h;1.52*s_max + 0.27*h;Lars2;0.716629346183693;0.6974542136859828;82.85714286
s_max;0.77*s_max;Lars1;0.8474710185553462;0.5308416644431406;60.0
