Таблица  - Проверочные прогнозы максимумов весеннего
половодья р.Неман-Гродно по данным, рассчитанным
на дату 28 февраля
Предикторы;; Smax, H, X1, X3
Уравнение;; 56.44 + 2.12*Smax + 0.38*H + 0.52*X1 + 0.36*X3

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1978.0;340.0;60.1142857142857;3613.7273469387737;0.92;402.7074132428869;-62.7074132428869;3932.2196756141875;-0.96
2.0;1979.0;628.0;348.1142857142857;121183.55591836733;5.35;447.3681279792082;180.63187202079177;32627.8731897357;2.78
3.0;1980.0;342.0;62.1142857142857;3858.1844897959168;0.96;332.676223453459;9.323776546541012;86.93280908982824;0.14
4.0;1981.0;282.0;2.1142857142856997;4.470204081632591;0.03;258.65848017356967;23.34151982643033;544.8265478076402;0.36
5.0;1982.0;399.0;119.1142857142857;14188.213061224486;1.83;364.19322504061756;34.80677495938244;1211.5115830730922;0.54
6.0;1983.0;269.0;-10.8857142857143;118.4987755102044;-0.17;211.96676791412648;57.03323208587352;3252.789562161113;0.88
7.0;1984.0;206.0;-73.8857142857143;5459.098775510206;-1.14;225.6041518123666;-19.60415181236661;384.32276828231704;-0.3
8.0;1985.0;336.0;56.1142857142857;3148.813061224488;0.86;303.61990486735795;32.380095132642055;1048.4705607989497;0.5
9.0;1986.0;329.0;49.1142857142857;2412.2130612244882;0.76;402.38943388619714;-73.38943388619714;5386.009006136501;-1.13
10.0;1987.0;350.0;70.1142857142857;4916.0130612244875;1.08;282.12730533587205;67.87269466412795;4606.702680969943;1.04
11.0;1988.0;401.0;121.1142857142857;14668.670204081629;1.86;229.88719459714204;171.11280540285796;29279.592172836336;2.63
12.0;1989.0;161.0;-118.8857142857143;14133.813061224493;-1.83;259.2145466657728;-98.21454666577279;9646.09717676326;-1.51
13.0;1991.0;243.0;-36.8857142857143;1360.555918367348;-0.57;274.5254494452;-31.525449445200024;993.8539627218626;-0.48
14.0;1992.0;182.0;-97.8857142857143;9581.613061224492;-1.51;194.2442419980689;-12.244241998068901;149.92146210727432;-0.19
15.0;1993.0;237.0;-42.8857142857143;1839.1844897959197;-0.66;228.66631039210745;8.333689607892552;69.45038248069632;0.13
16.0;1994.0;378.0;98.1142857142857;9626.413061224486;1.51;256.91800940319075;121.08199059680925;14660.848446885804;1.86
17.0;1995.0;234.0;-45.8857142857143;2105.4987755102056;-0.71;188.896480901549;45.10351909845099;2034.327435064333;0.69
18.0;1996.0;377.0;97.1142857142857;9431.184489795916;1.49;402.1556435890378;-25.155643589037822;632.8064043786997;-0.39
19.0;1999.0;305.0;25.1142857142857;630.7273469387748;0.39;260.59095362710406;44.40904637289594;1972.1633997500223;0.68
20.0;2001.0;169.0;-110.8857142857143;12295.641632653065;-1.71;170.61738746590228;-1.6173874659022829;2.6159422148578084;-0.02
21.0;2003.0;256.0;-23.8857142857143;570.5273469387762;-0.37;309.341770868042;-53.341770868041976;2845.3445193386915;-0.82
22.0;2004.0;272.0;-7.8857142857143;62.1844897959186;-0.12;296.60203687133765;-24.602036871337646;605.260218218657;-0.38
23.0;2005.0;232.0;-47.8857142857143;2293.0416326530626;-0.74;295.6096997340858;-63.60969973408578;4046.1939002605527;-0.98
24.0;2007.0;363.0;83.1142857142857;6907.984489795916;1.28;335.6532553766659;27.346744623334075;747.8444414938511;0.42
25.0;2008.0;160.0;-119.8857142857143;14372.584489795921;-1.84;176.79091831685122;-16.79091831685122;281.93493792316974;-0.26
26.0;2009.0;186.0;-93.8857142857143;8814.527346938778;-1.44;213.47570448722067;-27.475704487220668;754.914337069078;-0.42
27.0;2010.0;327.0;47.1142857142857;2219.7559183673457;0.72;371.2555967549989;-44.25559675499892;1958.5578441410707;-0.68
