Year;Hmax fact;Hf-Havg;(Hf-Havg)^2;Error climate;Hmax forecast;Hf-Hfor;(Hf-Hfor)^2;Error forecast
1978.0;340.0;60.1142857142857;3613.7273469387737;0.92;403.5660966194431;-63.5660966194431;4040.6486394323756;-0.98
1979.0;628.0;348.1142857142857;121183.55591836733;5.35;446.4841492046552;181.51585079534482;32948.00408995788;2.79
1980.0;342.0;62.1142857142857;3858.1844897959168;0.96;331.5415795212635;10.458420478736514;109.37855891005529;0.16
1981.0;282.0;2.1142857142856997;4.470204081632591;0.03;260.5077840557676;21.492215944232385;461.9153461935167;0.33
1982.0;399.0;119.1142857142857;14188.213061224486;1.83;363.072496607178;35.92750339282202;1290.7855000412376;0.55
1983.0;269.0;-10.8857142857143;118.4987755102044;-0.17;209.14235595965408;59.85764404034592;3582.937550060759;0.92
1984.0;206.0;-73.8857142857143;5459.098775510206;-1.14;225.19881712881391;-19.198817128813914;368.59457914563853;-0.3
1985.0;336.0;56.1142857142857;3148.813061224488;0.86;303.9076030765897;32.09239692341032;1029.921940289716;0.49
1986.0;329.0;49.1142857142857;2412.2130612244882;0.76;404.2793520166058;-75.2793520166058;5666.980840040052;-1.16
1987.0;350.0;70.1142857142857;4916.0130612244875;1.08;279.41978311458786;70.58021688541214;4981.567015591817;1.09
1988.0;401.0;121.1142857142857;14668.670204081629;1.86;232.20934697368915;168.79065302631085;28490.28454904846;2.6
1989.0;161.0;-118.8857142857143;14133.813061224493;-1.83;258.09116401860484;-97.09116401860484;9426.694130487627;-1.49
1991.0;243.0;-36.8857142857143;1360.555918367348;-0.57;273.95890850721213;-30.95890850721213;958.4540159579316;-0.48
1992.0;182.0;-97.8857142857143;9581.613061224492;-1.51;193.39840210991304;-11.398402109913036;129.92357065926996;-0.18
1993.0;237.0;-42.8857142857143;1839.1844897959197;-0.66;228.73041205161778;8.269587948382224;68.38608483602852;0.13
1994.0;378.0;98.1142857142857;9626.413061224486;1.51;260.72626676240384;117.27373323759616;13753.128507482867;1.8
1995.0;234.0;-45.8857142857143;2105.4987755102056;-0.71;185.94943903419852;48.05056096580148;2308.856409128205;0.74
1996.0;377.0;97.1142857142857;9431.184489795916;1.49;400.94861357581124;-23.948613575811237;573.5360922035303;-0.37
1999.0;305.0;25.1142857142857;630.7273469387748;0.39;261.9675420518131;43.0324579481869;1851.7924370624742;0.66
2001.0;169.0;-110.8857142857143;12295.641632653065;-1.71;170.69222121345712;-1.6922212134571168;2.863612635274277;-0.03
2003.0;256.0;-23.8857142857143;570.5273469387762;-0.37;309.25958327920364;-53.25958327920364;2836.5832110744277;-0.82
2004.0;272.0;-7.8857142857143;62.1844897959186;-0.12;298.6042583045161;-26.604258304516122;707.7865599334151;-0.41
2005.0;232.0;-47.8857142857143;2293.0416326530626;-0.74;294.03820099433653;-62.038200994336535;3848.7383826136984;-0.95
2007.0;363.0;83.1142857142857;6907.984489795916;1.28;335.1061220583621;27.893877941637925;778.0684266229948;0.43
2008.0;160.0;-119.8857142857143;14372.584489795921;-1.84;179.91525593061056;-19.915255930610556;396.6174187817189;-0.31
2009.0;186.0;-93.8857142857143;8814.527346938778;-1.44;211.7092798218012;-25.709279821801204;660.9670689556746;-0.4
2010.0;327.0;47.1142857142857;2219.7559183673457;0.72;371.65641861354993;-44.65641861354993;1994.1957233886087;-0.69
2011.0;261.0;-18.8857142857143;356.6702040816332;-0.29;295.059560994725;-34.05956099472502;1160.0536951533938;-0.52
2012.0;205.0;-74.8857142857143;5607.870204081635;-1.15;229.99467379457872;-24.994673794578716;624.7337180974;-0.38
2013.0;314.0;34.1142857142857;1163.7844897959174;0.52;366.7661026507293;-52.766102650729295;2784.261588947301;-0.81
2015.0;143.0;-136.8857142857143;18737.69877551021;-2.11;174.48102964029027;-31.481029640290274;991.0552272128348;-0.48
2017.0;296.0;16.1142857142857;259.67020408163216;0.25;276.5228960297486;19.47710397025139;379.3575790679825;0.3
2018.0;249.0;-30.8857142857143;953.9273469387764;-0.48;237.4371929007877;11.562807099212307;133.69850801359453;0.18
2019.0;171.0;-108.8857142857143;11856.098775510207;-1.67;210.1461168605477;-39.14611686054769;1532.4184652596564;-0.6
2021.0;193.0;-86.8857142857143;7549.127346938778;-1.34;312.0665018923047;-119.0665018923047;14176.831872870198;-1.83
           Lars7,
H_avg=279.8857142857143,
Sigma=96.45199093135325,
Delta_dop=65.0086418877321,
Pk=51.42857143,
Pm=80.0,
S=65.3159787934004,
Criterion=0.677186423656999,
Criterion^2=0.4585814523853565,
Correlation=0.7358114891836383,
Model=Lars(n_nonzero_coefs=7)
Model;            Lars7,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.3159787934004,
Criterion;0.677186423656999,
Criterion^2;0.4585814523853565,
Correlation;0.7358114891836383,
Model;Lars(n_nonzero_coefs=7)



Model:; Lars7,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.3159787934004,
Criterion;0.677186423656999,
Criterion^2;0.4585814523853565,
Correlation;0.7358114891836383,
Model;Lars(n_nonzero_coefs=7)



Модель:; Lars7,
Предикторы:; Smax, H, X, X1, X3,
Уравнение:; 49.63 + 2.09*Smax + 0.39*H + 0.05*X + 0.56*X1 + 0.37*X3,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.3159787934004,
Criterion;0.677186423656999,
Criterion^2;0.4585814523853565,
Correlation;0.7358114891836383,
Model;Lars(n_nonzero_coefs=7)



Модель:; Lars7,
Предикторы:; Smax, H, X, X1, X3,
Уравнение:; 49.63 + 2.09*Smax + 0.39*H + 0.05*X + 0.56*X1 + 0.37*X3,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.3159787934004,
Criterion;0.677186423656999,
Criterion^2;0.4585814523853565,
Correlation;0.7358114891836383,
Model;Lars(n_nonzero_coefs=7)



Модель:; Lars7,
Предикторы:; Smax, H, X, X1, X3,
Уравнение:; 49.63 + 2.09*Smax + 0.39*H + 0.05*X + 0.56*X1 + 0.37*X3,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.3159787934004,
Criterion;0.677186423656999,
Criterion^2;0.4585814523853565,
Correlation;0.7358114891836383,
Model;Lars(n_nonzero_coefs=7)



Модель:; Lars7,
Предикторы:; Smax, H, X, X1, X3,
Уравнение:; 49.63 + 2.09*Smax + 0.39*H + 0.05*X + 0.56*X1 + 0.37*X3,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.3159787934004,
Criterion;0.677186423656999,
Criterion^2;0.4585814523853565,
Correlation;0.7358114891836383,
Model;Lars(n_nonzero_coefs=7)



������:; Lars7,
����������:; Smax, H, X, X1, X3,
���������:; 49.63 + 2.09*Smax + 0.39*H + 0.05*X + 0.56*X1 + 0.37*X3,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.3159787934004,
Criterion;0.677186423656999,
Criterion^2;0.4585814523853565,
Correlation;0.7358114891836383,
Model;Lars(n_nonzero_coefs=7)



Модель:; Lars7,
Предикторы:; Smax, H, X, X1, X3,
Уравнение:; 49.63 + 2.09*Smax + 0.39*H + 0.05*X + 0.56*X1 + 0.37*X3,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.3159787934004,
Criterion;0.677186423656999,
Criterion^2;0.4585814523853565,
Correlation;0.7358114891836383,
Model;Lars(n_nonzero_coefs=7)



������:; Lars7,
����������:; Smax, H, X, X1, X3,
���������:; 49.63 + 2.09*Smax + 0.39*H + 0.05*X + 0.56*X1 + 0.37*X3,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.3159787934004,
Criterion;0.677186423656999,
Criterion^2;0.4585814523853565,
Correlation;0.7358114891836383,
Model;Lars(n_nonzero_coefs=7)



Model:; Lars7,
Predictors:; Smax, H, X, X1, X3,
Equation:; 49.63 + 2.09*Smax + 0.39*H + 0.05*X + 0.56*X1 + 0.37*X3,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.3159787934004,
Criterion;0.677186423656999,
Criterion^2;0.4585814523853565,
Correlation;0.7358114891836383,
Model;Lars(n_nonzero_coefs=7)



Model:; Lars7,
Predictors:; Smax, H, X, X1, X3,
Equation:; 49.63 + 2.09*Smax + 0.39*H + 0.05*X + 0.56*X1 + 0.37*X3,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.3159787934004,
