Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Мосты
Предикторы:;; S_2802, Smax, H_2802, X2, X3
Уравнение:;; 101.898 + 1.673*S_2802 + 0.027*Smax + 0.248*H_2802 + 0.501*X2 + 0.05*X3
Модель:;; QuantileRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;202.0;-43.351351351351354;1879.3396639883129;-0.7068286549986418;212.86918611776;-10.869186117759995;118.13920686250658;-0.17721828651384638
2.0;1978.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;294.73200625067625;-14.73200625067625;217.0320081699641;-0.240200220731354
3.0;1979.0;553.0;307.64864864864865;94647.69101533966;5.016103852774027;363.92176052449975;189.07823947550025;35750.58064315462;3.082854709990786
4.0;1980.0;313.0;67.64864864864865;4576.339663988312;1.1029876081431422;240.72697497195463;72.27302502804537;5223.3901467044725;1.1783864511910784
5.0;1981.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;189.03851874255366;90.96148125744634;8273.99107254876;1.4830952081008375
6.0;1982.0;247.0;1.6486486486486456;2.718042366691005;0.026880640869649045;246.99999999241413;7.585867933812551e-09;5.75453923092455e-17;1.2368492933927674e-10
7.0;1983.0;234.0;-11.351351351351354;128.85317750182622;-0.18507982238119053;212.49027407605791;21.509725923942085;462.6683093231062;0.350708574710566
8.0;1984.0;173.0;-72.35135135135135;5234.718042366691;-1.179663534558207;204.9302761881973;-31.930276188197297;1019.5425374545594;-0.5206120101982732
9.0;1985.0;324.0;78.64864864864865;6185.609934258582;1.2823387693553912;240.76614104710046;83.23385895289954;6927.875276191175;1.357099023216279
10.0;1986.0;320.0;74.64864864864865;5572.420745069393;1.2171201652782098;315.2396031446891;4.760396855310887;22.661378220053784;0.07761660943919504
11.0;1987.0;329.0;83.64864864864865;6997.096420745069;1.363862024451868;258.23988585681116;70.76011414318884;5006.993753557113;1.1537189671901995
12.0;1988.0;399.0;153.64864864864865;23607.90723155588;2.5051875958025427;193.98563967036333;205.01436032963667;42030.88794137011;3.342687599118795
13.0;1989.0;127.0;-118.35135135135135;14007.042366691016;-1.929677481445793;139.14603930134226;-12.146039301342256;147.5262707097507;-0.19803693207503142
14.0;1991.0;203.0;-42.351351351351354;1793.6369612856101;-0.6905240039793464;202.99999999064013;9.359865771330078e-09;8.76070872573164e-17;1.5260934498898462e-10
15.0;1992.0;164.0;-81.35135135135135;6618.042366691016;-1.3264053937318652;142.88888448451746;21.11111551548254;445.67919830804755;0.3442093711079743
16.0;1993.0;210.0;-35.351351351351354;1249.7180423666912;-0.576391446844279;215.00764326713528;-5.007643267135279;25.07649109088529;-0.08164787589976473
17.0;1994.0;380.0;134.64864864864865;18130.25858290723;2.195399226435931;253.296582537572;126.703417462428;16053.755996658307;2.0658550046769815
18.0;1995.0;196.0;-49.351351351351354;2435.5558802045293;-0.8046565611144139;165.7059509191035;30.294049080896514;917.7294097157669;0.4939338982254228
19.0;1996.0;325.0;79.64864864864865;6343.90723155588;1.2986434203746864;334.9779097341767;-9.977909734176706;99.55868266337825;-0.16268633611778124
20.0;1999.0;328.0;82.64864864864865;6830.799123447771;1.3475573734325725;228.62762798308273;99.37237201691727;9874.868320268602;1.620231846695427
21.0;2001.0;135.0;-110.35135135135135;12177.420745069394;-1.7992402732914303;149.1590906046374;-14.159090604637413;200.47984675033146;-0.23085903105919664
22.0;2003.0;220.0;-25.351351351351354;642.6910153396641;-0.41334493665132543;220.0000000060017;-6.001698693580693e-09;3.602038720852819e-17;-9.785560272179402e-11
23.0;2004.0;273.0;27.648648648648646;764.4477720964205;0.4508015673713282;240.37811067520585;32.621889324794154;1064.1876631191187;0.5318885210308452
24.0;2005.0;196.0;-49.351351351351354;2435.5558802045293;-0.8046565611144139;255.06937816063893;-59.069378160638934;3489.1914362845678;-0.9631055968360042
25.0;2006.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;252.8101350117981;27.18986498820189;739.288758076647;0.4433212598943889
26.0;2007.0;200.0;-45.351351351351354;2056.7450693937185;-0.7394379570372325;277.87454791747575;-77.87454791747575;6064.445213351227;-1.2697173270798356
27.0;2008.0;135.0;-110.35135135135135;12177.420745069394;-1.7992402732914303;144.2629502884414;-9.262950288441402;85.80224804613665;-0.15102917186211828
28.0;2009.0;156.0;-89.35135135135135;7983.663988312637;-1.456842601886228;188.72718103852316;-32.727181038523156;1071.0683787282696;-0.53360526567842
29.0;2010.0;321.0;75.64864864864865;5722.7180423666905;1.233424816297505;248.77340698334123;72.22659301665877;5216.680738794061;1.1776293934492958
30.0;2011.0;195.0;-50.351351351351354;2535.258582907232;-0.8209612121337092;205.73390223791267;-10.733902237912673;115.2166572530667;-0.1750125300643995
31.0;2012.0;184.0;-61.351351351351354;3763.988312636962;-1.000312373345958;183.9999999859025;1.4097508937993553e-08;1.987397582568081e-16;2.298549634753819e-10
32.0;2013.0;301.0;55.648648648648646;3096.7720964207447;0.9073317959115981;300.99999998983594;1.016405803966336e-08;1.0330807583364537e-16;1.6572141927657432e-10
33.0;2015.0;115.0;-130.35135135135135;16991.474799123447;-2.1253332936773375;134.61274607467152;-19.61274607467152;384.6598085895431;-0.3197789802775739
34.0;2017.0;263.0;17.648648648648646;311.47479912344767;0.2877550571783747;176.33169556869066;86.66830443130934;7511.394992998114;1.4130964581865477
35.0;2018.0;196.0;-49.351351351351354;2435.5558802045293;-0.8046565611144139;205.46364630118745;-9.463646301187453;89.56060131397895;-0.1543014503109067
36.0;2019.0;141.0;-104.35135135135135;10889.204528853179;-1.7014123671756582;184.21834402692872;-43.21834402692872;1867.8252604299653;-0.7046600169909205
37.0;2021.0;180.0;-65.35135135135135;4270.799123447772;-1.0655309774231396;180.00000090279565;-9.027956480167632e-07;8.150399820780073e-13;-1.4719767982651926e-08
Сумма;;9078.0
Средний;;245.35135135135135
Высший;;553.0
Низший;;115.0

σ = ;;90.99731870781696;;σ -;среднеквадратическое отклонение (см)
δдоп =;;61.33219280906864;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;45.94594594594595;;Pк -;климатическая обеспеченность в %
Pм =;;70.27027027027027;;Pм -;обеспеченность метода в %
S =;;66.77444584542849;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.7338067406121533;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.5384723325678321;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.6793582761931791;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
