Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Мосты
Предикторы:;; S_2802, Smax, H_2802, X, X1, X2, X3, Xs
Уравнение:;; 25.374 + 1.458*S_2802 + 0.398*Smax + 0.13*H_2802 + 0.179*X + 0.148*X1 + 1.094*X2 + 0.369*X3 + 0.238*Xs
Модель:;; Ridge

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;202.0;-43.351351351351354;1879.3396639883129;-0.7068286549986418;176.95908393724733;25.04091606275267;627.0474772618247;0.4082833976066497
2.0;1978.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;325.80028428468927;-45.80028428468927;2097.666040558355;-0.7467576518463758
3.0;1979.0;553.0;307.64864864864865;94647.69101533966;5.016103852774027;398.8314973950701;154.16850260492993;23767.927195446286;2.513663633140709
4.0;1980.0;313.0;67.64864864864865;4576.339663988312;1.1029876081431422;254.25857912881278;58.741420871187216;3450.5545259659493;0.9577583676822599
5.0;1981.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;237.84009997854173;42.15990002145827;1777.457169819357;0.6874024568582597
6.0;1982.0;247.0;1.6486486486486456;2.718042366691005;0.026880640869649045;283.29462403190723;-36.29462403190723;1317.299733617498;-0.5917711787167779
7.0;1983.0;234.0;-11.351351351351354;128.85317750182622;-0.18507982238119053;173.22081693780916;60.77918306219084;3694.109093707306;0.9909833690668887
8.0;1984.0;173.0;-72.35135135135135;5234.718042366691;-1.179663534558207;222.52247958828224;-49.52247958828224;2452.475984571831;-0.8074467472971193
9.0;1985.0;324.0;78.64864864864865;6185.609934258582;1.2823387693553912;267.3418920251054;56.65810797489462;3210.1411992948174;0.9237906779442117
10.0;1986.0;320.0;74.64864864864865;5572.420745069393;1.2171201652782098;361.2359401511865;-41.235940151186526;1700.402760152237;-0.6723376136176455
11.0;1987.0;329.0;83.64864864864865;6997.096420745069;1.363862024451868;257.93377975765895;71.06622024234105;5050.407659532924;1.158709920311754
12.0;1988.0;399.0;153.64864864864865;23607.90723155588;2.5051875958025427;208.28732763205585;190.71267236794415;36371.32340172281;3.109503567916541
13.0;1989.0;127.0;-118.35135135135135;14007.042366691016;-1.929677481445793;184.06663419562534;-57.06663419562534;3256.6007384173154;-0.9304515554054577
14.0;1991.0;203.0;-42.351351351351354;1793.6369612856101;-0.6905240039793464;223.0856244387313;-20.085624438731287;403.4323090937595;-0.3274890969781437
15.0;1992.0;164.0;-81.35135135135135;6618.042366691016;-1.3264053937318652;159.247629890052;4.752370109948004;22.5850216619272;0.07748573615723248
16.0;1993.0;210.0;-35.351351351351354;1249.7180423666912;-0.576391446844279;231.93077120891294;-21.930771208912944;480.9587258176849;-0.3575735711453356
17.0;1994.0;380.0;134.64864864864865;18130.25858290723;2.195399226435931;287.1202841017191;92.87971589828089;8626.641625345372;1.5143713544927682
18.0;1995.0;196.0;-49.351351351351354;2435.5558802045293;-0.8046565611144139;177.62174657609268;18.378253423907324;337.7601989133613;0.29965100842097886
19.0;1996.0;325.0;79.64864864864865;6343.90723155588;1.2986434203746864;376.6194270975652;-51.61942709756522;2664.565253880851;-0.8416367446417589
20.0;1999.0;328.0;82.64864864864865;6830.799123447771;1.3475573734325725;271.0721231857288;56.9278768142712;3240.7831585808367;0.9281891647261271
21.0;2001.0;135.0;-110.35135135135135;12177.420745069394;-1.7992402732914303;146.25105953328517;-11.251059533285172;126.58634062152716;-0.18344459928753076
22.0;2003.0;220.0;-25.351351351351354;642.6910153396641;-0.41334493665132543;266.66605490566883;-46.66605490566883;2177.7206804588977;-0.7608737396842061
23.0;2004.0;273.0;27.648648648648646;764.4477720964205;0.4508015673713282;276.54552519495695;-3.5455251949569515;12.57074890807453;-0.05780855098389221
24.0;2005.0;196.0;-49.351351351351354;2435.5558802045293;-0.8046565611144139;253.95300363582874;-57.953003635828736;3358.5506304143787;-0.9449034998021423
25.0;2006.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;268.62294232035185;11.377057679648146;129.43744144604088;0.18549895509305717
26.0;2007.0;200.0;-45.351351351351354;2056.7450693937185;-0.7394379570372325;280.6272492336308;-80.62724923363078;6500.753318982015;-1.3145991614000985
27.0;2008.0;135.0;-110.35135135135135;12177.420745069394;-1.7992402732914303;169.10628144618045;-34.106281446180446;1163.2384340860726;-0.5560910165458401
28.0;2009.0;156.0;-89.35135135135135;7983.663988312637;-1.456842601886228;187.84755947314835;-31.84755947314835;1014.2670443957213;-0.5192633430259376
29.0;2010.0;321.0;75.64864864864865;5722.7180423666905;1.233424816297505;291.2866232402415;29.71337675975849;882.8847584673559;0.48446623867270305
30.0;2011.0;195.0;-50.351351351351354;2535.258582907232;-0.8209612121337092;258.3652859547326;-63.3652859547326;4015.159464125032;-1.0331488742297723
31.0;2012.0;184.0;-61.351351351351354;3763.988312636962;-1.000312373345958;185.97407221794222;-1.974072217942222;3.896961121651324;-0.03218655860043429
32.0;2013.0;301.0;55.648648648648646;3096.7720964207447;0.9073317959115981;345.11598320275914;-44.11598320275914;1946.2199739461266;-0.7192957104940835
33.0;2015.0;115.0;-130.35135135135135;16991.474799123447;-2.1253332936773375;167.80025832501053;-52.80025832501053;2787.867279187844;-0.8608897857179408
