Predictors;Equations;Method;Criterion;Correlation;Pm
Smax, H, X, X1, X3;4.36 + 0.01*Smax + 0.0*H + 0.0*X + 0.0*X1 + 0.0*X3;TweedieRegressor_GridSearchCV;0.6465203638014307;0.7628967290466421;72.97297297
Smax, H, X, X1, X3; - 36.79 + 1.71*Smax + 0.98*H + 0.5*X + 0.87*X1 - 0.05*X3;LinearRegression;0.65423380104589;0.7562923598510346;75.67567568
Smax, H, X, X1, X3; - 36.79 + 1.71*Smax + 0.98*H + 0.5*X + 0.87*X1 - 0.05*X3;Lars5;0.65423380104589;0.7562923598510346;75.67567568
Smax, H, X, X1, X3; - 36.79 + 1.71*Smax + 0.98*H + 0.5*X + 0.87*X1 - 0.05*X3;Lars6;0.65423380104589;0.7562923598510346;75.67567568
Smax, H, X, X1, X3; - 36.79 + 1.71*Smax + 0.98*H + 0.5*X + 0.87*X1 - 0.05*X3;Lars7;0.65423380104589;0.7562923598510346;75.67567568
Smax, H, X, X1, X3; - 36.79 + 1.71*Smax + 0.98*H + 0.5*X + 0.87*X1 - 0.05*X3;Lars8;0.65423380104589;0.7562923598510346;75.67567568
Smax, H, X, X1, X3; - 36.79 + 1.71*Smax + 0.98*H + 0.5*X + 0.87*X1 - 0.05*X3;OMP5;0.65423380104589;0.7562923598510346;75.67567568
Smax, H, X, X1; - 39.38 + 1.72*Smax + 0.94*H + 0.5*X + 0.87*X1;OMP4;0.6544666852448096;0.7560908397174716;75.67567568
Smax, H, X, X1, X3; - 28.5 + 1.65*Smax + 0.95*H + 0.49*X + 0.8*X1 - 0.04*X3;Ridge_GridSearchCV;0.6546930056011205;0.7558948792107083;75.67567568
Smax, H, X, X1; - 26.82 + 1.68*Smax + 0.92*H + 0.46*X + 0.76*X1;Lars4;0.6550874404293033;0.7555530725182605;75.67567568
Smax, H, X, X1, X3; - 2.59 + 1.47*Smax + 0.87*H + 0.46*X + 0.6*X1 - 0.0*X3;BayesianRidge;0.6619560339857343;0.7495426666106989;75.67567568
Smax, H, X, X1, X3; - 32.23 + 1.48*Smax + 1.02*H + 0.48*X + 0.73*X1 - 0.02*X3;HuberRegressor;0.6624369252192593;0.7491176944286214;75.67567568
Smax, H, X, X1, X3;0.01 + 1.27*Smax + 0.77*H + 0.52*X + 0.57*X1 + 0.09*X3;SGDRegressor;0.6760716713121366;0.7368358672385691;75.67567568
Smax, H, X;17.46 + 1.64*Smax + 0.98*H + 0.24*X;OMP3;0.6832301420880335;0.7302031038980631;75.67567568
Smax, H, X, X1, X3; - 9.45 + 1.43*Smax + 0.86*H + 0.65*X + 0.91*X1 - 0.25*X3;TheilSenRegressor;0.6880157975504232;0.7256957091791677;75.67567568
Smax, H;31.77 + 1.79*Smax + 0.98*H;OMP2;0.6911405378926242;0.7227203863746298;72.97297297
Smax, H, X, X1, X3;46.59 + 1.74*Smax + 0.86*H + 0.01*X + 0.01*X1 + 0.0*X3;ARDRegression;0.6912838532048626;0.7225833061303298;70.27027027
Smax, H, X;65.05 + 1.42*Smax + 0.74*H + 0.17*X;Lars3;0.6960674529816699;0.7179763929960445;72.97297297
Smax, H, X, X1, X3;52.86 + 1.52*Smax + 0.66*H + 0.07*X + 0.36*X1 + 0.01*X3;QuantileRegressor;0.7003353883229171;0.7138139420483386;72.97297297
Smax, H, X;80.14 + 1.35*Smax + 0.66*H + 0.14*X;Lasso_GridSearchCV;0.7053504560978086;0.7088587546772723;72.97297297
Smax, H, X;80.14 + 1.35*Smax + 0.66*H + 0.14*X;LassoLars_GridSearchCV;0.7053507804252865;0.7088584319548151;72.97297297
Smax, H, X, X1, X3;59.85 + 1.02*Smax + 0.65*H + 0.4*X + 0.26*X1 + 0.05*X3;ElasticNet_GridSearchCV;0.7107443249920801;0.7034504278849736;75.67567568
Smax, H, X, X1, X3;0.01 + 1.66*Smax + 0.35*H + 0.52*X + 1.04*X1 + 0.06*X3;PassiveAggressiveRegressor;0.7147918842868837;0.699337230638843;72.97297297
Smax;139.14 + 1.98*Smax;OMP1;0.7631806607168751;0.6461851740080037;75.67567568
Smax, H;171.54 + 0.94*Smax + 0.2*H;Lars2;0.8077200810456259;0.5895661715835192;64.86486486
Smax;206.69 + 0.72*Smax;Lars1;0.8667996440026404;0.49865657235906946;62.16216216
