Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Мосты
Предикторы:;; Smax, H_2802, X, X1, X3
Уравнение:;; 10.94 + 1.95*Smax - 0.02*H_2802 + 0.53*X + 0.89*X1 + 0.38*X3
Модель:;; LinearRegression

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;202.0;-43.351351351351354;1879.3396639883129;-0.71;220.31403281292373;-18.314032812923728;335.403797872847;-0.3
2.0;1978.0;280.0;34.648648648648646;1200.5288531775016;0.56;292.43773276599563;-12.437732765995634;154.6971963583214;-0.2
3.0;1979.0;553.0;307.64864864864865;94647.69101533966;5.02;392.1342299064619;160.86577009353812;25877.795987787063;2.62
4.0;1980.0;313.0;67.64864864864865;4576.339663988312;1.1;271.8214333505492;41.17856664945077;1695.6743513032593;0.67
5.0;1981.0;280.0;34.648648648648646;1200.5288531775016;0.56;234.53810705173112;45.46189294826888;2066.78371043986;0.74
6.0;1982.0;247.0;1.6486486486486456;2.718042366691005;0.03;293.23221300248474;-46.23221300248474;2137.417519107119;-0.75
7.0;1983.0;234.0;-11.351351351351354;128.85317750182622;-0.19;173.16268973906503;60.83731026093497;3701.1783197852633;0.99
8.0;1984.0;173.0;-72.35135135135135;5234.718042366691;-1.18;189.8561356617642;-16.8561356617642;284.1293094477988;-0.27
9.0;1985.0;324.0;78.64864864864865;6185.609934258582;1.28;271.3064827610882;52.693517238911795;2776.6067590074945;0.86
10.0;1986.0;320.0;74.64864864864865;5572.420745069393;1.22;334.2683211492273;-14.26832114922729;203.58498841748678;-0.23
11.0;1987.0;329.0;83.64864864864865;6997.096420745069;1.36;261.73385771432737;67.26614228567263;4524.733897996355;1.1
12.0;1988.0;399.0;153.64864864864865;23607.90723155588;2.51;223.4776794221988;175.5223205778012;30808.085021016414;2.86
13.0;1989.0;127.0;-118.35135135135135;14007.042366691016;-1.93;207.41093234936807;-80.41093234936807;6465.918041294648;-1.31
14.0;1991.0;203.0;-42.351351351351354;1793.6369612856101;-0.69;207.25829698965484;-4.258296989654838;18.133093252103453;-0.07
15.0;1992.0;164.0;-81.35135135135135;6618.042366691016;-1.33;146.26118782695414;17.738812173045858;314.6654573105999;0.29
16.0;1993.0;210.0;-35.351351351351354;1249.7180423666912;-0.58;179.31206861224155;30.687931387758454;941.7491328597705;0.5
17.0;1994.0;380.0;134.64864864864865;18130.25858290723;2.2;260.30750697880785;119.69249302119215;14326.29288562813;1.95
18.0;1995.0;196.0;-49.351351351351354;2435.5558802045293;-0.8;194.34457567276323;1.6554243272367728;2.740429703207322;0.03
19.0;1996.0;325.0;79.64864864864865;6343.90723155588;1.3;378.5229896638016;-53.52298966380158;2864.710422551411;-0.87
20.0;1999.0;328.0;82.64864864864865;6830.799123447771;1.35;266.9648928660181;61.03510713398191;3725.2843028566494;1.0
21.0;2001.0;135.0;-110.35135135135135;12177.420745069394;-1.8;139.0625366928341;-4.062536692834101;16.504204380623435;-0.07
22.0;2003.0;220.0;-25.351351351351354;642.6910153396641;-0.41;256.84481600784966;-36.84481600784966;1357.5404666522945;-0.6
23.0;2004.0;273.0;27.648648648648646;764.4477720964205;0.45;267.0971155319711;5.902884468028901;34.844045042896845;0.1
24.0;2005.0;196.0;-49.351351351351354;2435.5558802045293;-0.8;230.62020104301513;-34.62020104301513;1198.558320258786;-0.56
25.0;2006.0;280.0;34.648648648648646;1200.5288531775016;0.56;280.23284827504017;-0.23284827504016903;0.054218319189182206;-0.0
26.0;2007.0;200.0;-45.351351351351354;2056.7450693937185;-0.74;232.0128327738049;-32.01283277380489;1024.8214622035964;-0.52
27.0;2008.0;135.0;-110.35135135135135;12177.420745069394;-1.8;151.47601695811645;-16.476016958116446;271.4591348041407;-0.27
28.0;2009.0;156.0;-89.35135135135135;7983.663988312637;-1.46;210.32837357187591;-54.328373571875915;2951.5721749653053;-0.89
29.0;2010.0;321.0;75.64864864864865;5722.7180423666905;1.23;328.8385911912543;-7.838591191254295;61.44351186360943;-0.13
30.0;2011.0;195.0;-50.351351351351354;2535.258582907232;-0.82;275.30834938863757;-80.30834938863757;6449.430981527484;-1.31
31.0;2012.0;184.0;-61.351351351351354;3763.988312636962;-1.0;197.35179806596258;-13.351798065962583;178.27051159424218;-0.22
32.0;2013.0;301.0;55.648648648648646;3096.7720964207447;0.91;385.9476353098031;-84.9476353098031;7216.100744727307;-1.39
33.0;2015.0;115.0;-130.35135135135135;16991.474799123447;-2.13;141.6737609105558;-26.673760910555814;711.4895211134954;-0.43
34.0;2017.0;263.0;17.648648648648646;311.47479912344767;0.29;231.28930886397382;31.710691136026185;1005.5679323244497;0.52
35.0;2018.0;196.0;-49.351351351351354;2435.5558802045293;-0.8;219.17695341387167;-23.176953413871672;537.1711695487778;-0.38
36.0;2019.0;141.0;-104.35135135135135;10889.204528853179;-1.7;257.6397251011448;-116.63972510114479;13604.825471670627;-1.9
37.0;2021.0;180.0;-65.35135135135135;4270.799123447772;-1.07;274.4337706028624;-94.43377060286241;8917.73703027404;-1.54
Сумма;;9078.0
Средний;;245.35135135135135
Высший;;553.0
Низший;;115.0

σ = ;;90.99731870781696;;σ -;среднеквадратическое отклонение (см)
δдоп =;;61.33219280906864;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;45.94594595;;Pк -;климатическая обеспеченность в %
Pм =;;75.67567568;;Pм -;обеспеченность метода в %
S =;;64.28300611905024;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.7064274753573385;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.49903977793974313;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.7077854350438817;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
