Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Мосты
Предикторы:;; S_2802, H_2802, X2, X3, Xs
Уравнение:;; 31.21 + 1.78*S_2802 + 0.14*H_2802 + 1.23*X2 + 0.35*X3 + 0.47*Xs
Модель:;; Ridge_GridSearchCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;202.0;-43.351351351351354;1879.3396639883129;-0.71;227.44159108628696;-25.441591086286962;647.2745570018362;-0.41
2.0;1978.0;280.0;34.648648648648646;1200.5288531775016;0.56;301.8172047546503;-21.817204754650277;475.99042330633466;-0.36
3.0;1979.0;553.0;307.64864864864865;94647.69101533966;5.02;404.8126600853123;148.1873399146877;21959.487710991194;2.42
4.0;1980.0;313.0;67.64864864864865;4576.339663988312;1.1;245.87017679299473;67.12982320700527;4506.413163803783;1.09
5.0;1981.0;280.0;34.648648648648646;1200.5288531775016;0.56;228.28448670239987;51.715513297600125;2674.4943156342556;0.84
6.0;1982.0;247.0;1.6486486486486456;2.718042366691005;0.03;262.64456874678683;-15.644568746786831;244.75253127293928;-0.26
7.0;1983.0;234.0;-11.351351351351354;128.85317750182622;-0.19;222.8513829054521;11.148617094547888;124.29166312084539;0.18
8.0;1984.0;173.0;-72.35135135135135;5234.718042366691;-1.18;206.1538046672469;-33.1538046672469;1099.1747639139626;-0.54
9.0;1985.0;324.0;78.64864864864865;6185.609934258582;1.28;270.2176556368995;53.78234436310049;2892.5405651911274;0.88
10.0;1986.0;320.0;74.64864864864865;5572.420745069393;1.22;353.58665352634193;-33.586653526341934;1128.063295098537;-0.55
11.0;1987.0;329.0;83.64864864864865;6997.096420745069;1.36;282.1812976080033;46.81870239199668;2191.9908936703555;0.76
12.0;1988.0;399.0;153.64864864864865;23607.90723155588;2.51;240.9184379592834;158.0815620407166;24989.780257232927;2.58
13.0;1989.0;127.0;-118.35135135135135;14007.042366691016;-1.93;147.73346213006025;-20.733462130060246;429.87645189864236;-0.34
14.0;1991.0;203.0;-42.351351351351354;1793.6369612856101;-0.69;204.9531076376077;-1.953107637607701;3.8146294440815347;-0.03
15.0;1992.0;164.0;-81.35135135135135;6618.042366691016;-1.33;132.52086684856602;31.479133151433984;990.9358239657101;0.51
16.0;1993.0;210.0;-35.351351351351354;1249.7180423666912;-0.58;221.27873809819468;-11.27873809819468;127.20993308766813;-0.18
17.0;1994.0;380.0;134.64864864864865;18130.25858290723;2.2;302.5996635416676;77.40033645833239;5990.812083863058;1.26
18.0;1995.0;196.0;-49.351351351351354;2435.5558802045293;-0.8;187.58891089924447;8.411089100755532;70.7464198608485;0.14
19.0;1996.0;325.0;79.64864864864865;6343.90723155588;1.3;384.2575714297766;-59.25757142977659;3511.4597717550746;-0.97
20.0;1999.0;328.0;82.64864864864865;6830.799123447771;1.35;293.89721949785513;34.10278050214487;1162.999637977472;0.56
21.0;2001.0;135.0;-110.35135135135135;12177.420745069394;-1.8;144.51034024535008;-9.51034024535008;90.4465715823254;-0.16
22.0;2003.0;220.0;-25.351351351351354;642.6910153396641;-0.41;259.6062759894412;-39.6062759894412;1568.6570977517865;-0.65
23.0;2004.0;273.0;27.648648648648646;764.4477720964205;0.45;280.3657302436103;-7.365730243610301;54.253982021635466;-0.12
