Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Мосты
Предикторы:;; S_2802, H, X2
Уравнение:;; 105.24 + 1.39*S_2802 + 0.64*H + 0.38*X2
Модель:;; Lasso_GridSearchCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;202.0;-43.351351351351354;1879.3396639883129;-0.71;204.10207395959858;-2.1020739595985845;4.418714931622471;-0.03
2.0;1978.0;280.0;34.648648648648646;1200.5288531775016;0.56;315.80234832044295;-35.802348320442945;1281.8081452583237;-0.58
3.0;1979.0;553.0;307.64864864864865;94647.69101533966;5.02;403.5889645088482;149.41103549115178;22323.657526538216;2.44
4.0;1980.0;313.0;67.64864864864865;4576.339663988312;1.1;260.49668520448984;52.503314795510164;2756.5980645164364;0.86
5.0;1981.0;280.0;34.648648648648646;1200.5288531775016;0.56;227.59095776229174;52.40904223770826;2746.707708273889;0.85
6.0;1982.0;247.0;1.6486486486486456;2.718042366691005;0.03;275.0525563592167;-28.05255635921668;786.9459182870282;-0.46
7.0;1983.0;234.0;-11.351351351351354;128.85317750182622;-0.19;241.2625044502564;-7.262504450256387;52.74397088999382;-0.12
8.0;1984.0;173.0;-72.35135135135135;5234.718042366691;-1.18;242.40434650063062;-69.40434650063062;4816.963313179598;-1.13
9.0;1985.0;324.0;78.64864864864865;6185.609934258582;1.28;249.04990913341723;74.95009086658277;5617.516120909014;1.22
10.0;1986.0;320.0;74.64864864864865;5572.420745069393;1.22;325.37810908180694;-5.37810908180694;28.92405729581429;-0.09
11.0;1987.0;329.0;83.64864864864865;6997.096420745069;1.36;261.2393619134417;67.76063808655829;4591.504073897534;1.1
12.0;1988.0;399.0;153.64864864864865;23607.90723155588;2.51;221.710421356817;177.289578643183;31431.59469547737;2.89
13.0;1989.0;127.0;-118.35135135135135;14007.042366691016;-1.93;172.72613651369022;-45.72613651369022;2090.8795604686343;-0.75
14.0;1991.0;203.0;-42.351351351351354;1793.6369612856101;-0.69;241.81716708847196;-38.81716708847196;1506.7724607743507;-0.63
15.0;1992.0;164.0;-81.35135135135135;6618.042366691016;-1.33;167.57264068158074;-3.5726406815807366;12.76376143968567;-0.06
16.0;1993.0;210.0;-35.351351351351354;1249.7180423666912;-0.58;248.32329992207107;-38.32329992207107;1468.6753169170127;-0.62
17.0;1994.0;380.0;134.64864864864865;18130.25858290723;2.2;309.34670403377163;70.65329596622837;4991.888230891462;1.15
18.0;1995.0;196.0;-49.351351351351354;2435.5558802045293;-0.8;196.38642479568017;-0.3864247956801705;0.14932412271646153;-0.01
19.0;1996.0;325.0;79.64864864864865;6343.90723155588;1.3;341.6658708417157;-16.665870841715673;277.7512509127487;-0.27
20.0;1999.0;328.0;82.64864864864865;6830.799123447771;1.35;251.43759283881192;76.56240716118808;5861.802190315543;1.25
21.0;2001.0;135.0;-110.35135135135135;12177.420745069394;-1.8;170.15039610123236;-35.15039610123236;1235.550346073531;-0.57
22.0;2003.0;220.0;-25.351351351351354;642.6910153396641;-0.41;236.74209752205138;-16.74209752205138;280.297829437879;-0.27
23.0;2004.0;273.0;27.648648648648646;764.4477720964205;0.45;252.96858470154464;20.031415298455357;401.2575988591913;0.33
24.0;2005.0;196.0;-49.351351351351354;2435.5558802045293;-0.8;272.81412197760494;-76.81412197760494;5900.40933519037;-1.25
25.0;2006.0;280.0;34.648648648648646;1200.5288531775016;0.56;271.8060464835686;8.193953516431407;67.14087422943861;0.13
26.0;2007.0;200.0;-45.351351351351354;2056.7450693937185;-0.74;282.8339074322133;-82.83390743221332;6861.456220488486;-1.35
27.0;2008.0;135.0;-110.35135135135135;12177.420745069394;-1.8;163.9979845270728;-28.997984527072788;840.8831066323528;-0.47
28.0;2009.0;156.0;-89.35135135135135;7983.663988312637;-1.46;209.61200846727738;-53.61200846727738;2874.2474518954214;-0.87
29.0;2010.0;321.0;75.64864864864865;5722.7180423666905;1.23;296.25065395269576;24.749346047304243;612.5301297692141;0.4
30.0;2011.0;195.0;-50.351351351351354;2535.258582907232;-0.82;238.97700134678263;-43.97700134678263;1933.9766474549212;-0.72
31.0;2012.0;184.0;-61.351351351351354;3763.988312636962;-1.0;201.7391520940328;-17.73915209403279;314.6775170152279;-0.29
32.0;2013.0;301.0;55.648648648648646;3096.7720964207447;0.91;295.61519536364926;5.3848046363507365;28.996120971664386;0.09
33.0;2015.0;115.0;-130.35135135135135;16991.474799123447;-2.13;163.66386132211952;-48.663861322119516;2368.1713987784797;-0.79
34.0;2017.0;263.0;17.648648648648646;311.47479912344767;0.29;210.95591707879987;52.04408292120013;2708.586567108755;0.85
35.0;2018.0;196.0;-49.351351351351354;2435.5558802045293;-0.8;240.49603935732856;-44.496039357328556;1979.8975184889318;-0.73
36.0;2019.0;141.0;-104.35135135135135;10889.204528853179;-1.7;194.70067209283417;-53.70067209283417;2883.7621832220984;-0.88
37.0;2021.0;180.0;-65.35135135135135;4270.799123447772;-1.07;217.72228491214074;-37.722284912140736;1422.9707789927206;-0.62
Сумма;;9078.0
Средний;;245.35135135135135
Высший;;553.0
Низший;;115.0

σ = ;;90.99731870781696;;σ -;среднеквадратическое отклонение (см)
δдоп =;;61.33219280906864;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;45.94594595;;Pк -;климатическая обеспеченность в %
Pм =;;75.67567568;;Pм -;обеспеченность метода в %
S =;;59.0115045351106;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.6484971796211983;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.4205485919766488;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.7612170571022113;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
