Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Мосты
Предикторы:;; S_2802, H_2802, X2, X3, Xs
Уравнение:;; 112.136 + 1.162*S_2802 + 0.017*H_2802 + 0.498*X2 + 0.223*X3 + 0.301*Xs
Модель:;; HuberRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;202.0;-43.351351351351354;1879.3396639883129;-0.7068286549986418;185.70519094380796;16.294809056192037;265.520802177758;0.26568117508726463
2.0;1978.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;283.79503819983154;-3.795038199831538;14.4023149381806;-0.061876773453148085
3.0;1979.0;553.0;307.64864864864865;94647.69101533966;5.016103852774027;329.8232184567177;223.1767815432823;49807.87582001794;3.6388195386727338
4.0;1980.0;313.0;67.64864864864865;4576.339663988312;1.1029876081431422;231.0865678151324;81.91343218486759;6709.810372304902;1.335569925566982
5.0;1981.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;225.35682426540535;54.64317573459465;2985.8766543617935;0.8909379109385936
6.0;1982.0;247.0;1.6486486486486456;2.718042366691005;0.026880640869649045;260.7608685261264;-13.760868526126387;189.3615025933358;-0.22436615904089593
7.0;1983.0;234.0;-11.351351351351354;128.85317750182622;-0.18507982238119053;182.65550475040385;51.34449524959615;2636.2571924358017;0.8371540768065332
8.0;1984.0;173.0;-72.35135135135135;5234.718042366691;-1.179663534558207;221.2905176618943;-48.29051766189431;2331.9740960537265;-0.7873600380183053
9.0;1985.0;324.0;78.64864864864865;6185.609934258582;1.2823387693553912;246.8890368584347;77.11096314156529;5946.100636619841;1.2572673437849688
10.0;1986.0;320.0;74.64864864864865;5572.420745069393;1.2171201652782098;308.90353846462654;11.096461535373464;123.13145860602282;0.1809239328832986
11.0;1987.0;329.0;83.64864864864865;6997.096420745069;1.363862024451868;243.54137139661432;85.45862860338568;7303.177202771409;1.3933731159657752
12.0;1988.0;399.0;153.64864864864865;23607.90723155588;2.5051875958025427;205.9923040945385;193.0076959054615;37251.9706787351;3.1469231257768304
13.0;1989.0;127.0;-118.35135135135135;14007.042366691016;-1.929677481445793;191.2376239147768;-64.2376239147768;4126.472326216305;-1.047372040239177
14.0;1991.0;203.0;-42.351351351351354;1793.6369612856101;-0.6905240039793464;211.31853622353833;-8.31853622353833;69.19804490231935;-0.13563083011615956
15.0;1992.0;164.0;-81.35135135135135;6618.042366691016;-1.3264053937318652;179.97584658119894;-15.975846581198937;255.22767398600575;-0.26048060324425143
16.0;1993.0;210.0;-35.351351351351354;1249.7180423666912;-0.576391446844279;221.68815778850626;-11.68815778850626;136.61303248901953;-0.1905713338000535
17.0;1994.0;380.0;134.64864864864865;18130.25858290723;2.195399226435931;253.52791722152048;126.47208277847952;15995.187722326575;2.0620831733865423
18.0;1995.0;196.0;-49.351351351351354;2435.5558802045293;-0.8046565611144139;196.59509092334523;-0.5950909233452251;0.35413320704787254;-0.009702749829894136
19.0;1996.0;325.0;79.64864864864865;6343.90723155588;1.2986434203746864;316.8986235109064;8.101376489093582;65.63230101803825;0.13209011643059507
20.0;1999.0;328.0;82.64864864864865;6830.799123447771;1.3475573734325725;251.70353100355874;76.29646899644126;5821.151181324923;1.2439873009914622
21.0;2001.0;135.0;-110.35135135135135;12177.420745069394;-1.7992402732914303;174.91207858075137;-39.91207858075137;1592.9740166360723;-0.650752512713844
22.0;2003.0;220.0;-25.351351351351354;642.6910153396641;-0.41334493665132543;243.82829373233602;-23.82829373233602;567.7875821944841;-0.3885120136910016
23.0;2004.0;273.0;27.648648648648646;764.4477720964205;0.4508015673713282;250.92503699511988;22.074963004880118;487.3039916668258;0.3599245680584258
24.0;2005.0;196.0;-49.351351351351354;2435.5558802045293;-0.8046565611144139;237.9493750343778;-41.949375034377795;1759.750065774879;-0.6839699204130709
25.0;2006.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;245.58845070532803;34.41154929467197;1184.1547248596391;0.5610683022829056
26.0;2007.0;200.0;-45.351351351351354;2056.7450693937185;-0.7394379570372325;251.7454065426853;-51.74540654268529;2677.5870982677775;-0.843690795530046
27.0;2008.0;135.0;-110.35135135135135;12177.420745069394;-1.7992402732914303;177.63516816791577;-42.635168167915765;1817.7575647064577;-0.6951515381268365
28.0;2009.0;156.0;-89.35135135135135;7983.663988312637;-1.456842601886228;202.41736847349762;-46.41736847349762;2154.5720960044505;-0.7568189941944209
29.0;2010.0;321.0;75.64864864864865;5722.7180423666905;1.233424816297505;255.69997929193056;65.30002070806944;4264.0927044742975;1.064694049197832
30.0;2011.0;195.0;-50.351351351351354;2535.258582907232;-0.8209612121337092;238.85212867677225;-43.85212867677225;1923.0091894841914;-0.7149936545280057
31.0;2012.0;184.0;-61.351351351351354;3763.988312636962;-1.000312373345958;189.21634935390523;-5.21634935390523;27.210300581987507;-0.08505075581015155
