Таблица  - Проверочные прогнозы максимумов весеннего
половодья р.Неман-Столбцы по данным, рассчитанным
на дату 28 февраля
Предикторы;; Smax, H, X, X1, X3
Уравнение;; 103.11 + 0.48*Smax - 0.0*H + 0.29*X + 0.18*X1 + 0.19*X3

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;202.0;-1.081081081081095;1.1687363038714689;-0.04;183.53669667624155;18.463303323758453;340.89356962510993;0.74
2.0;1978.0;215.0;11.918918918918905;142.060628195763;0.48;226.34028837515518;-11.340288375155183;128.60214043167977;-0.45
3.0;1979.0;272.0;68.9189189189189;4749.817384952518;2.75;270.31992020630435;1.6800797936956542;2.822668113184432;0.07
4.0;1980.0;226.0;22.918918918918905;525.2768444119789;0.91;206.2117538985447;19.788246101455286;391.5746837717603;0.79
5.0;1981.0;219.0;15.918918918918905;253.41197954711424;0.64;214.67801113133055;4.32198886866945;18.679587780902636;0.17
6.0;1982.0;219.0;15.918918918918905;253.41197954711424;0.64;237.71046251517896;-18.71046251517896;350.08140753191697;-0.75
7.0;1983.0;212.0;8.918918918918905;79.54711468224957;0.36;164.03216009498593;47.967839905014074;2300.9136651530607;1.91
8.0;1984.0;177.0;-26.081081081081095;680.2227903579262;-1.04;195.58334018442451;-18.583340184424515;345.34053241004693;-0.74
9.0;1985.0;227.0;23.918918918918905;572.1146822498167;0.95;204.8270316806047;22.172968319395295;491.6405240929074;0.88
10.0;1986.0;218.0;14.918918918918905;222.57414170927643;0.6;219.33594287437074;-1.335942874370744;1.7847433635819654;-0.05
11.0;1987.0;230.0;26.918918918918905;724.6281957633302;1.07;196.07315960723113;33.92684039276887;1151.0304990364132;1.35
12.0;1988.0;216.0;12.918918918918905;166.8984660336008;0.52;201.58525512202445;14.41474487797555;207.78486989712238;0.58
13.0;1989.0;110.0;-93.0810810810811;8664.087655222793;-3.71;179.43149810731632;-69.43149810731632;4820.732929426269;-2.77
14.0;1991.0;166.0;-37.081081081081095;1375.0065741417102;-1.48;186.36666280122677;-20.366662801226767;414.8009536588741;-0.81
15.0;1992.0;148.0;-55.081081081081095;3033.92549306063;-2.2;158.2702097818937;-10.270209781893698;105.47720896410499;-0.41
16.0;1993.0;185.0;-18.081081081081095;326.9254930606287;-0.72;180.18928444827498;4.810715551725025;23.14298411960901;0.19
17.0;1994.0;247.0;43.918918918918905;1928.871439006573;1.75;211.1052334689456;35.89476653105439;1288.4342643189023;1.43
18.0;1995.0;160.0;-43.081081081081095;1855.9795471146833;-1.72;162.5885064440712;-2.588506444071186;6.7003656109980545;-0.1
19.0;1996.0;231.0;27.918918918918905;779.466033601168;1.11;252.56904197279675;-21.569041972796754;465.22357162426806;-0.86
20.0;1999.0;240.0;36.918918918918905;1363.0065741417081;1.47;233.54740465731288;6.452595342687118;41.63598665646749;0.26
21.0;2001.0;166.0;-37.081081081081095;1375.0065741417102;-1.48;180.9219546948142;-14.92195469481419;222.66473191408724;-0.6
22.0;2003.0;214.0;10.918918918918905;119.22279035792519;0.44;192.60647697383527;21.39352302616473;457.68282747104047;0.85
23.0;2004.0;233.0;29.918918918918905;895.1417092768436;1.19;218.47556454420905;14.52443545579095;210.95922530943727;0.58
