Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Столбцы
Предикторы:;; Smax, X, X3
Уравнение:;; 132.63 + 0.43*Smax + 0.19*X + 0.13*X3
Модель:;; Lasso_GridSearchCV

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;202.0;-1.081081081081095;1.1687363038714689;-0.04;175.1057841579206;26.894215842079404;723.2988457603548;1.07
2.0;1978.0;215.0;11.918918918918905;142.060628195763;0.48;227.4172325459164;-12.417232545916391;154.18766409936526;-0.5
3.0;1979.0;272.0;68.9189189189189;4749.817384952518;2.75;263.2096502573803;8.790349742619696;77.27024859757417;0.35
4.0;1980.0;226.0;22.918918918918905;525.2768444119789;0.91;211.41626160583746;14.583738394162538;212.6854255493705;0.58
5.0;1981.0;219.0;15.918918918918905;253.41197954711424;0.64;210.85836997375077;8.141630026249231;66.28613948432306;0.32
6.0;1982.0;219.0;15.918918918918905;253.41197954711424;0.64;232.1386551939815;-13.138655193981492;172.62426030633685;-0.52
7.0;1983.0;212.0;8.918918918918905;79.54711468224957;0.36;165.67147017322114;46.32852982677886;2146.3326759107385;1.85
8.0;1984.0;177.0;-26.081081081081095;680.2227903579262;-1.04;199.19377665153917;-22.193776651539167;492.56372205840506;-0.89
9.0;1985.0;227.0;23.918918918918905;572.1146822498167;0.95;208.7266745436597;18.273325456340302;333.9144232333345;0.73
10.0;1986.0;218.0;14.918918918918905;222.57414170927643;0.6;224.80482710958174;-6.804827109581737;46.30567199129854;-0.27
11.0;1987.0;230.0;26.918918918918905;724.6281957633302;1.07;199.16325454282924;30.836745457170764;950.9048703903418;1.23
12.0;1988.0;216.0;12.918918918918905;166.8984660336008;0.52;201.64550680680517;14.354493193194827;206.05147483347662;0.57
13.0;1989.0;110.0;-93.0810810810811;8664.087655222793;-3.71;176.76366799082498;-66.76366799082498;4457.387363589109;-2.66
14.0;1991.0;166.0;-37.081081081081095;1375.0065741417102;-1.48;192.14604254968955;-26.146042549689554;683.6155410101766;-1.04
15.0;1992.0;148.0;-55.081081081081095;3033.92549306063;-2.2;167.81284092274086;-19.81284092274086;392.54866542983495;-0.79
16.0;1993.0;185.0;-18.081081081081095;326.9254930606287;-0.72;184.75162780897972;0.2483721910202803;0.06168874527221461;0.01
17.0;1994.0;247.0;43.918918918918905;1928.871439006573;1.75;208.67828205693905;38.321717943060946;1468.5540661075192;1.53
18.0;1995.0;160.0;-43.081081081081095;1855.9795471146833;-1.72;163.45126623635213;-3.451266236352126;11.911238634184167;-0.14
19.0;1996.0;231.0;27.918918918918905;779.466033601168;1.11;246.6665185815366;-15.666518581536593;245.43980446563134;-0.63
20.0;1999.0;240.0;36.918918918918905;1363.0065741417081;1.47;219.49168277454243;20.508317225457574;420.59107541999987;0.82
21.0;2001.0;166.0;-37.081081081081095;1375.0065741417102;-1.48;183.2117444867461;-17.211744486746113;296.2441482770352;-0.69
22.0;2003.0;214.0;10.918918918918905;119.22279035792519;0.44;197.10785479079436;16.892145209205637;285.34456976888896;0.67
23.0;2004.0;233.0;29.918918918918905;895.1417092768436;1.19;206.61410676922964;26.385893230770364;696.2153615856133;1.05
24.0;2005.0;201.0;-2.081081081081095;4.330898466033659;-0.08;219.63835111607466;-18.63835111607466;347.3881323260815;-0.74
