Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Белица
Предикторы:;; Smax
Уравнение:;; 202.759 + 1.45*Smax
Модель:;; OMP1

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;281.0;-8.594594594594582;73.86705624543441;-0.17512173112728782;270.90310182829876;10.096898171701241;101.94735268970386;0.2057323667082957
2.0;1978.0;311.0;21.405405405405418;458.1913805697595;0.4361522360151328;344.8461769855319;-33.84617698553188;1145.563696535948;-0.6896428959516856
3.0;1979.0;494.0;204.40540540540542;41781.56975894814;4.164923435583899;399.94101729876445;94.05898270123555;8847.092226791328;1.9165269167054857
4.0;1980.0;357.0;67.40540540540542;4543.488677867058;1.373438985633511;346.2960412043012;10.703958795698782;114.5747339000173;0.21810171190586003
5.0;1981.0;293.0;3.4054054054054177;11.596785975164437;0.06938785572968043;254.9545954218367;38.0454045781633;1447.452809516129;0.7752055129344098
6.0;1982.0;269.0;-20.594594594594582;424.1373265157044;-0.41963131798425607;341.9464485479933;-72.94644854799333;5321.184355765038;-1.4863421664294116
7.0;1983.0;292.0;2.4054054054054177;5.7859751643536015;0.04901205682493307;234.6564963590668;57.34350364093319;3288.2774098177183;1.1684196986813025
8.0;1984.0;249.0;-40.59459459459458;1647.9211102994877;-0.8271472960792031;279.6022871409144;-30.602287140914427;936.4999782549766;-0.6235460488086082
9.0;1985.0;362.0;72.40540540540542;5242.542731921112;1.4753179801572478;321.64834948522343;40.351650514776566;1628.2556992666678;0.8221971163637324
10.0;1986.0;354.0;64.40540540540542;4148.056245434625;1.312311588919269;356.4450907356861;-2.445090735686108;5.978468705738033;-0.0498206771342009
11.0;1987.0;361.0;71.40540540540542;5098.731921110301;1.4549421812525005;314.3990283913771;46.6009716086229;2171.6505548676773;0.949532026263141
