Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Белица
Предикторы:;; S_2802, H_2802, X2, X3, Xs
Уравнение:;; 66.769 + 0.97*S_2802 + 0.341*H_2802 + 0.764*X2 + 0.303*X3 + 0.382*Xs
Модель:;; HuberRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;281.0;-8.594594594594582;73.86705624543441;-0.17512173112728782;242.97976230161703;38.02023769838297;1445.5384746415416;0.7746927176529458
2.0;1978.0;311.0;21.405405405405418;458.1913805697595;0.4361522360151328;323.7117042540169;-12.711704254016922;161.58742504159193;-0.25901112961647027
3.0;1979.0;494.0;204.40540540540542;41781.56975894814;4.164923435583899;376.7834376981324;117.21656230186761;13739.722477867612;2.388381101768644
4.0;1980.0;357.0;67.40540540540542;4543.488677867058;1.373438985633511;269.25350873745265;87.74649126254735;7699.446728888299;1.7879048605628356
5.0;1981.0;293.0;3.4054054054054177;11.596785975164437;0.06938785572968043;300.4344442470699;-7.434444247069905;55.270961262790806;-0.15148274094685224
6.0;1982.0;269.0;-20.594594594594582;424.1373265157044;-0.41963131798425607;332.8803947487981;-63.880394748798096;4080.704833262271;-1.3016140773573888
7.0;1983.0;292.0;2.4054054054054177;5.7859751643536015;0.04901205682493307;235.79734394191172;56.20265605808828;3158.738547983767;1.1451740177522873
8.0;1984.0;249.0;-40.59459459459458;1647.9211102994877;-0.8271472960792031;267.75772793939353;-18.757727939393533;351.85235744830476;-0.3822036924030436
9.0;1985.0;362.0;72.40540540540542;5242.542731921112;1.4753179801572478;287.2046755656345;74.79532443436551;5594.340557241994;1.5240144896899677
10.0;1986.0;354.0;64.40540540540542;4148.056245434625;1.312311588919269;352.2038179732468;1.796182026753172;3.226269873231133;0.03659864377344416
11.0;1987.0;361.0;71.40540540540542;5098.731921110301;1.4549421812525005;283.0705128528496;77.92948714715038;6073.004967017877;1.5878755588604296
12.0;1988.0;394.0;104.40540540540542;10900.488677867059;2.1273435451091633;256.544824194487;137.45517580551302;18893.925355724492;2.800759020629827
13.0;1989.0;187.0;-102.59459459459458;10525.650840029215;-2.090446828173539;252.60926608081053;-65.60926608081053;4304.575795662595;-1.3368412119506567
14.0;1991.0;245.0;-44.59459459459458;1988.6778670562444;-0.9086504916981926;278.460293198006;-33.46029319800601;1119.5912208965276;-0.6817802054964562
15.0;1992.0;223.0;-66.59459459459458;4434.840029218406;-1.3569180676026342;242.29258986585154;-19.29258986585154;372.20402373195753;-0.3931019314583577
16.0;1993.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;263.28710240893633;-11.287102408936335;127.39868078981641;-0.22998372890177618
17.0;1994.0;392.0;102.40540540540542;10486.867056245437;2.0865919472996683;343.09540843981995;48.90459156018005;2391.659075668034;0.9964701231490334
18.0;1995.0;231.0;-58.59459459459458;3433.3265157048927;-1.1939116763646556;272.5899358015638;-41.5899358015638;1729.7227599781982;-0.8474281683540164
19.0;1996.0;345.0;55.40540540540542;3069.758948137328;1.1289293987765427;356.58390497273723;-11.58390497273723;134.18685441740632;-0.23603131825619666
20.0;1999.0;370.0;80.40540540540542;6465.029218407599;1.6383243713952267;335.79658352284616;34.20341647715384;1169.8736987096386;0.6969219359938087
21.0;2001.0;198.0;-91.59459459459458;8389.569758948135;-1.8663130402213182;245.72579605439353;-47.72579605439353;2277.751609025565;-0.9724512229733072
22.0;2003.0;264.0;-25.594594594594582;655.0832724616503;-0.5215103125079928;279.9795669668609;-15.979566966860887;255.34656044839164;-0.32559644310170105
23.0;2004.0;341.0;51.40540540540542;2642.5157048940846;1.0474262031575534;331.59447917240715;9.405520827592852;88.46382203828293;0.19164500097744486
24.0;2005.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;279.1278952596471;-25.12789525964712;631.4111201797962;-0.5120009407101239
25.0;2006.0;346.0;56.40540540540542;3181.5697589481388;1.1493051976812902;281.4948438820092;64.5051561179908;4160.915165806365;1.314344089379514
26.0;2007.0;286.0;-3.5945945945945823;12.92111029948859;-0.07324273660355105;309.56921637788605;-23.56921637788605;555.507960667612;-0.48024161325828396
27.0;2008.0;199.0;-90.59459459459458;8207.380569758945;-1.8459372413165709;208.5958193881122;-9.595819388112204;92.07974972927008;-0.19552248617845008
28.0;2009.0;214.0;-75.59459459459458;5714.5427319211085;-1.5403002577453604;247.0370925284853;-33.03709252848529;1091.4494827356984;-0.6731571537579475
29.0;2010.0;379.0;89.40540540540542;7993.326515704896;1.8217065615379529;332.1578671714417;46.842132828558306;2194.1854079283;0.9544458787841684
30.0;2011.0;224.0;-65.59459459459458;4302.650840029217;-1.336542268697887;280.1946135364346;-56.19461353643459;3157.8345905092374;-1.1450101449483847
31.0;2012.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;245.46591416988224;8.53408583011776;72.83062095581674;0.17388881671033338
32.0;2013.0;363.0;73.40540540540542;5388.353542731923;1.495693779061995;342.3924093027795;20.607590697220473;424.6727943441678;0.41989612395790665
33.0;2015.0;181.0;-108.59459459459458;11792.78597516435;-2.212701621602023;200.99141441486307;-19.991414414863073;399.65665030679503;-0.40734103993871745
34.0;2017.0;275.0;-14.594594594594582;213.0021913805694;-0.29737652455577196;271.3893547984062;3.6106452015937975;13.036758771792314;0.07356978054406618
35.0;2018.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;286.3519676837854;-34.3519676837854;1180.0576837478368;-0.6999487855071911
36.0;2019.0;205.0;-84.59459459459458;7156.245434623811;-1.7236824478880868;256.5735531766671;-51.573553176667076;2659.8313872665067;-1.0508523483310623
37.0;2021.0;218.0;-71.59459459459458;5125.785975164352;-1.458797062126371;262.03330822143084;-44.03330822143084;1938.932232923529;-0.8972138334306332
Сумма;;10715.0
Средний;;289.5945945945946
Высший;;494.0
Низший;;181.0

σ = ;;72.8157718948075;;σ -;среднеквадратическое отклонение (см)
δдоп =;;49.07783025710026;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;37.83783783783784;;Pк -;климатическая обеспеченность в %
Pм =;;70.27027027027027;;Pм -;обеспеченность метода в %
S =;;51.0447882483535;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.701012801486123;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.49141894784742246;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.7131486886705868;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
