Сумма;;9796.0
Средний;;279.8857142857143
Высший;;628.0
Низший;;143.0

σ = ;;96.45199093135325;;σ -;среднеквадратическое отклонение (см)
δдоп =;;65.0086418877321;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;51.42857143;;Pк -;климатическая обеспеченность в %
Pм =;;74.28571429;;Pм -;обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;81.22505926604065;;S -;среднеквадратическая погрешность (см)
S/σ =;;0.8421294208830805;;S/σ -;критерий эффективности метода прогнозирования
(S/σ)^2 =;;0.7091819615168725;;ρ -;корреляционное отношение
ρ =;;0.5392754755068392;;;(оценка эффективности метода прогнозирования)
Модель:;;SGDRegressor;;δ50% -;погрешность (ошибка) прогнозов (см)
Сумма;;9796.0
Средний;;279.8857142857143
Высший;;628.0
Низший;;143.0

σ = ;;96.45199093135325;;σ -;среднеквадратическое отклонение (см)
δдоп =;;65.0086418877321;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;51.42857143;;Pк -;климатическая обеспеченность в %
Pм =;;82.85714286;;Pм -;обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;69.12032719925115;;S -;среднеквадратическая погрешность (см)
S/σ =;;0.7166293461836928;;S/σ -;критерий эффективности метода прогнозирования
(S/σ)^2 =;;0.513557619811667;;ρ -;корреляционное отношение
ρ =;;0.6974542136859831;;;(оценка эффективности метода прогнозирования)
Модель:;;Lars2;;δ50% -;погрешность (ошибка) прогнозов (см)
Сумма;;9796.0
Средний;;279.8857142857143
Высший;;628.0
Низший;;143.0

σ = ;;96.45199093135325;;σ -;среднеквадратическое отклонение (см)
δдоп =;;65.0086418877321;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;51.42857143;;Pк -;климатическая обеспеченность в %
Pм =;;82.85714286;;Pм -;обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;69.12032719925115;;S -;среднеквадратическая погрешность (см)
S/σ =;;0.7166293461836928;;S/σ -;критерий эффективности метода прогнозирования
(S/σ)^2 =;;0.513557619811667;;ρ -;корреляционное отношение
ρ =;;0.6974542136859831;;;(оценка эффективности метода прогнозирования)
Модель:;;Lars2;;δ50% -;погрешность (ошибка) прогнозов (см)
Сумма;;9796.0
Средний;;279.8857142857143
Высший;;628.0
Низший;;143.0

σ = ;;96.45199093135325;;σ -;среднеквадратическое отклонение (см)
δдоп =;;65.0086418877321;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;51.42857143;;Pк -;климатическая обеспеченность в %
Pм =;;85.71428571;;Pм -;обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;68.6222907855424;;S -;среднеквадратическая погрешность (см)
S/σ =;;0.7114657781857735;;S/σ -;критерий эффективности метода прогнозирования
(S/σ)^2 =;;0.5061835535294883;;ρ -;корреляционное отношение
ρ =;;0.7027207457237276;;;(оценка эффективности метода прогнозирования)
Модель:;;OMP1;;δ50% -;погрешность (ошибка) прогнозов (см)
