Сумма;;10715.0
Средний;;289.5945945945946
Высший;;494.0
Низший;;181.0

σ = ;;72.8157718948075;;σ -;среднеквадратическое отклонение (см)
δдоп =;;49.07783025710026;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;37.83783784;;Pк -;климатическая обеспеченность в %
Pм =;;59.45945946;;Pм -;обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;58.085867165295596;;S -;среднеквадратическая погрешность (см)
S/σ =;;0.7977099693347851;;S/σ -;критерий эффективности метода прогнозирования
(S/σ)^2 =;;0.6363411951761038;;ρ -;корреляционное отношение
ρ =;;0.6030412961181815;;;(оценка эффективности метода прогнозирования)
Модель:;;Lars3;;δ50% -;погрешность (ошибка) прогнозов (см)
Сумма;;10715.0
Средний;;289.5945945945946
Высший;;494.0
Низший;;181.0

σ = ;;72.8157718948075;;σ -;среднеквадратическое отклонение (см)
δдоп =;;49.07783025710026;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;37.83783784;;Pк -;климатическая обеспеченность в %
Pм =;;72.97297297;;Pм -;обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;55.002095089774606;;S -;среднеквадратическая погрешность (см)
S/σ =;;0.7553596378712125;;S/σ -;критерий эффективности метода прогнозирования
(S/σ)^2 =;;0.5705681825249294;;ρ -;корреляционное отношение
ρ =;;0.6553104741075566;;;(оценка эффективности метода прогнозирования)
Модель:;;OMP1;;δ50% -;погрешность (ошибка) прогнозов (см)
Сумма;;10715.0
Средний;;289.5945945945946
Высший;;494.0
Низший;;181.0

σ = ;;72.8157718948075;;σ -;среднеквадратическое отклонение (см)
δдоп =;;49.07783025710026;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;37.83783784;;Pк -;климатическая обеспеченность в %
Pм =;;72.97297297;;Pм -;обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;55.002095089774606;;S -;среднеквадратическая погрешность (см)
S/σ =;;0.7553596378712125;;S/σ -;критерий эффективности метода прогнозирования
(S/σ)^2 =;;0.5705681825249294;;ρ -;корреляционное отношение
ρ =;;0.6553104741075566;;;(оценка эффективности метода прогнозирования)
Модель:;;OMP1;;δ50% -;погрешность (ошибка) прогнозов (см)
Сумма;;10715.0
Средний;;289.5945945945946
Высший;;494.0
Низший;;181.0

σ = ;;72.8157718948075;;σ -;среднеквадратическое отклонение (см)
δдоп =;;49.07783025710026;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;37.83783784;;Pк -;климатическая обеспеченность в %
Pм =;;75.67567568;;Pм -;обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;51.22391304677396;;S -;среднеквадратическая погрешность (см)
S/σ =;;0.7034727740134928;;S/σ -;критерий эффективности метода прогнозирования
(S/σ)^2 =;;0.4948739437782388;;ρ -;корреляционное отношение
ρ =;;0.7107222074916199;;;(оценка эффективности метода прогнозирования)
Модель:;;OMP3;;δ50% -;погрешность (ошибка) прогнозов (см)
