Predictors;Equations;Method;Criterion;Correlation;Pm
S_2802, H, X2, X3, Xs;74.99 + 1.35*S_2802 + 0.34*H + 0.96*X2 + 0.21*X3 + 0.3*Xs;Lars5;0.6384741485270264;0.7696432690946428;64.86486486
S_2802, H, X2, X3, Xs;74.99 + 1.35*S_2802 + 0.34*H + 0.96*X2 + 0.21*X3 + 0.3*Xs;Lars6;0.6384741485270264;0.7696432690946428;64.86486486
S_2802, H, X2, X3, Xs;74.99 + 1.35*S_2802 + 0.34*H + 0.96*X2 + 0.21*X3 + 0.3*Xs;Lars7;0.6384741485270264;0.7696432690946428;64.86486486
S_2802, H, X2, X3, Xs;74.99 + 1.35*S_2802 + 0.34*H + 0.96*X2 + 0.21*X3 + 0.3*Xs;Lars8;0.6384741485270264;0.7696432690946428;64.86486486
S_2802, H, X2, X3, Xs;74.99 + 1.35*S_2802 + 0.34*H + 0.96*X2 + 0.21*X3 + 0.3*Xs;OMP5;0.6384741485270264;0.7696432690946428;64.86486486
S_2802, H, X2, X3, Xs;74.99 + 1.35*S_2802 + 0.34*H + 0.96*X2 + 0.21*X3 + 0.3*Xs;LinearRegression;0.6384741485270266;0.7696432690946425;64.86486486
S_2802, H, X2, X3, Xs;78.64 + 1.33*S_2802 + 0.34*H + 0.92*X2 + 0.21*X3 + 0.3*Xs;Ridge_GridSearchCV;0.6386858724905348;0.7694675797465442;64.86486486
S_2802, H, X2, X3, Xs;86.7 + 1.26*S_2802 + 0.34*H + 0.82*X2 + 0.21*X3 + 0.29*Xs;BayesianRidge;0.6403114239329459;0.7681154082434247;70.27027027
S_2802, H, X2, X3, Xs;58.63 + 1.22*S_2802 + 0.36*H + 1.19*X2 + 0.23*X3 + 0.39*Xs;HuberRegressor;0.6436513999360065;0.7653188063548544;67.56756757
S_2802, H, X2, X3, Xs;120.94 + 1.37*S_2802 + 0.25*H + 0.87*X2 + 0.13*X3 + 0.16*Xs;ARDRegression;0.6461752583724547;0.7631890561763129;75.67567568
S_2802, H, X2, X3, Xs;74.18 + 1.32*S_2802 + 0.33*H + 1.31*X2 + 0.14*X3 + 0.39*Xs;TheilSenRegressor;0.6504073808649466;0.7595855705030212;67.56756757
S_2802, H, X2, X3, Xs;5.03 + 0.0*S_2802 + 0.0*H + 0.0*X2 + 0.0*X3 + 0.0*Xs;TweedieRegressor_GridSearchCV;0.6508917299482155;0.7591705710082678;75.67567568
S_2802, H, X2, X3, Xs;81.14 + 1.15*S_2802 + 0.31*H + 0.98*X2 + 0.17*X3 + 0.4*Xs;QuantileRegressor;0.6512729778484053;0.7588435334932166;70.27027027
S_2802, H, X2, X3;107.7 + 1.4*S_2802 + 0.32*H + 0.95*X2 + 0.22*X3;OMP4;0.6517240249655558;0.7584561920656299;81.08108108
S_2802, H, X2, X3, Xs;116.7 + 1.04*S_2802 + 0.31*H + 0.55*X2 + 0.19*X3 + 0.25*Xs;ElasticNet_GridSearchCV;0.6598655487727294;0.7513836952868119;70.27027027
S_2802, H, X2, X3, Xs;167.91 + 1.2*S_2802 + 0.16*H + 0.44*X2 + 0.13*X3 + 0.08*Xs;LassoLars_GridSearchCV;0.6647733396270401;0.7470451170586098;70.27027027
S_2802, H, X2, X3, Xs;167.91 + 1.2*S_2802 + 0.16*H + 0.44*X2 + 0.13*X3 + 0.08*Xs;Lasso_GridSearchCV;0.6647735635003507;0.7470449178403165;70.27027027
S_2802, X3;183.86 + 1.47*S_2802 + 0.3*X3;OMP2;0.6669853971625461;0.7450707885643623;72.97297297
S_2802, X2, X3;153.5 + 1.46*S_2802 + 0.94*X2 + 0.28*X3;OMP3;0.6671408798657249;0.7449315716305669;75.67567568
S_2802, H, X2, X3;201.15 + 1.15*S_2802 + 0.1*H + 0.25*X2 + 0.1*X3;Lars4;0.6862754386644118;0.7273417506825587;72.97297297
S_2802, H, X2, X3, Xs;0.03 + 1.31*S_2802 + 0.73*H + 1.08*X2 + 0.13*X3 + 0.56*Xs;PassiveAggressiveRegressor;0.6930238989685666;0.7209146103793472;62.16216216
S_2802;227.07 + 1.48*S_2802;OMP1;0.693639201319391;0.72032260716501;75.67567568
S_2802, H, X3;234.6 + 1.06*S_2802 + 0.01*H + 0.05*X3;Lars3;0.7131119537843581;0.701050170365756;67.56756757
S_2802, X3;239.03 + 1.04*S_2802 + 0.05*X3;Lars2;0.7186791083102584;0.6953418866128891;67.56756757
S_2802, H, X2, X3, Xs;0.02 + 0.89*S_2802 + 0.6*H + 0.71*X2 + 0.31*X3 + 0.58*Xs;SGDRegressor;0.7225815306210718;0.69128570909958;64.86486486
S_2802;248.91 + 0.96*S_2802;Lars1;0.7378560171127903;0.6749581453767706;62.16216216
