Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Белица
Предикторы:;; Smax, H_2802, X, X1, X3
Уравнение:;; 93.668 + 1.113*Smax + 0.142*H_2802 + 0.471*X + 0.337*X1 + 0.285*X3
Модель:;; BayesianRidge

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;281.0;-8.594594594594582;73.86705624543441;-0.17512173112728782;237.3855209564335;43.61447904356649;1902.2227822417005;0.8886798543270285
2.0;1978.0;311.0;21.405405405405418;458.1913805697595;0.4361522360151328;327.7433081400469;-16.743308140046906;280.338367472561;-0.3411582796618152
3.0;1979.0;494.0;204.40540540540542;41781.56975894814;4.164923435583899;386.2795276179395;107.7204723820605;11603.70017021426;2.194890683181256
4.0;1980.0;357.0;67.40540540540542;4543.488677867058;1.373438985633511;320.78437116948555;36.21562883051445;1311.5717715895892;0.737922370259533
5.0;1981.0;293.0;3.4054054054054177;11.596785975164437;0.06938785572968043;293.95704831873934;-0.9570483187393393;0.9159414844017959;-0.019500624084759326
6.0;1982.0;269.0;-20.594594594594582;424.1373265157044;-0.41963131798425607;338.21340736323504;-69.21340736323504;4790.495758829118;-1.4102784699456368
7.0;1983.0;292.0;2.4054054054054177;5.7859751643536015;0.04901205682493307;213.70255856659745;78.29744143340255;6130.489335017103;1.5953729214032437
8.0;1984.0;249.0;-40.59459459459458;1647.9211102994877;-0.8271472960792031;270.0648384701634;-21.06483847016341;443.7274197740763;-0.4292129126290355
9.0;1985.0;362.0;72.40540540540542;5242.542731921112;1.4753179801572478;311.01959628372396;50.980403716276044;2599.0015630744924;1.0387664542056754
10.0;1986.0;354.0;64.40540540540542;4148.056245434625;1.312311588919269;356.545091015665;-2.5450910156649797;6.4774882780185985;-0.05185826272946882
11.0;1987.0;361.0;71.40540540540542;5098.731921110301;1.4549421812525005;282.7476616913442;78.2523383086558;6123.42845077232;1.594453909203428
12.0;1988.0;394.0;104.40540540540542;10900.488677867059;2.1273435451091633;280.0216353359839;113.97836466401611;12991.067611483437;2.322400237885954
13.0;1989.0;187.0;-102.59459459459458;10525.650840029215;-2.090446828173539;262.3352540202272;-75.33525402022718;5675.400498292156;-1.5350159863542088
14.0;1991.0;245.0;-44.59459459459458;1988.6778670562444;-0.9086504916981926;277.4602154586064;-32.4602154586064;1053.6655876191498;-0.6614028225893354
15.0;1992.0;223.0;-66.59459459459458;4434.840029218406;-1.3569180676026342;221.8866768787927;1.1133231212072872;1.2394883722147358;0.022684848033725346
16.0;1993.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;268.9891983764993;-16.989198376499303;288.63286147604657;-0.34616848967241
17.0;1994.0;392.0;102.40540540540542;10486.867056245437;2.0865919472996683;341.89283387008953;50.10716612991047;2510.7280975704466;1.0209735407498235
18.0;1995.0;231.0;-58.59459459459458;3433.3265157048927;-1.1939116763646556;212.16363888743516;18.836361112564845;354.8084999629451;0.3838059061268244
19.0;1996.0;345.0;55.40540540540542;3069.758948137328;1.1289293987765427;377.4847947355146;-32.48479473551458;1055.261889008516;-0.6619036449928406
20.0;1999.0;370.0;80.40540540540542;6465.029218407599;1.6383243713952267;328.6751744756016;41.32482552439842;1707.7412046219713;0.8420263346589129
21.0;2001.0;198.0;-91.59459459459458;8389.569758948135;-1.8663130402213182;218.6304366393088;-20.63043663930881;425.6149159285355;-0.42036162827968815
22.0;2003.0;264.0;-25.594594594594582;655.0832724616503;-0.5215103125079928;287.8160679745271;-23.816067974527073;567.2050937672941;-0.4852714117507573
23.0;2004.0;341.0;51.40540540540542;2642.5157048940846;1.0474262031575534;294.8576011608725;46.14239883912751;2129.1209706291156;0.9401882397287098
24.0;2005.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;268.3960305061523;-14.396030506152272;207.24569433406683;-0.29333062261996695
25.0;2006.0;346.0;56.40540540540542;3181.5697589481388;1.1493051976812902;315.2501453804433;30.749854619556686;945.5535591238717;0.6265528540783035
26.0;2007.0;286.0;-3.5945945945945823;12.92111029948859;-0.07324273660355105;289.40394626668024;-3.4039462666802365;11.58685018644632;-0.06935812461244201
27.0;2008.0;199.0;-90.59459459459458;8207.380569758945;-1.8459372413165709;253.7885703435236;-54.78857034352359;3001.7874402872326;-1.1163608915982413
28.0;2009.0;214.0;-75.59459459459458;5714.5427319211085;-1.5403002577453604;221.14648845516763;-7.146488455167628;51.07229723984419;-0.14561541163759414
29.0;2010.0;379.0;89.40540540540542;7993.326515704896;1.8217065615379529;345.95267215653894;33.04732784346106;1092.1258775931967;0.6733657064776206
30.0;2011.0;224.0;-65.59459459459458;4302.650840029217;-1.336542268697887;271.35778845101606;-47.35778845101606;2242.7601269711904;-0.96495277405147
31.0;2012.0;254.0;-35.59459459459458;1266.975164353542;-0.7252683015554664;247.4331159254311;6.56688407456889;43.1239664488265;0.13380550933420363
32.0;2013.0;363.0;73.40540540540542;5388.353542731923;1.495693779061995;406.3445494957441;-43.344549495744104;1878.7499709890105;-0.8831798241421501
33.0;2015.0;181.0;-108.59459459459458;11792.78597516435;-2.212701621602023;203.8389040104042;-22.838904010404207;521.6155363964574;-0.46536091532082396
34.0;2017.0;275.0;-14.594594594594582;213.0021913805694;-0.29737652455577196;275.9564425110921;-0.9564425110921206;0.9147822770242013;-0.01948828026996464
35.0;2018.0;252.0;-37.59459459459458;1413.3535427319202;-0.7660198993649611;286.2721619850962;-34.272161985096204;1174.5810871326735;-0.6983226806392471
36.0;2019.0;205.0;-84.59459459459458;7156.245434623811;-1.7236824478880868;302.8997556259437;-97.89975562594373;9584.3621516195;-1.9947857334581378
37.0;2021.0;218.0;-71.59459459459458;5125.785975164352;-1.458797062126371;320.00921081980266;-102.00921081980266;10405.879092078943;-2.0785191660962767
Сумма;;10715.0
Средний;;289.5945945945946
Высший;;494.0
Низший;;181.0

σ = ;;72.8157718948075;;σ -;среднеквадратическое отклонение (см)
δдоп =;;49.07783025710026;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;37.83783783783784;;Pк -;климатическая обеспеченность в %
Pм =;;70.27027027027027;;Pм -;обеспеченность метода в %
S =;;51.40098739868659;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.7059045871674953;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.4983012861841119;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.7083069347506687;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
