Predictors;Equations;Method;Criterion;Correlation;Pm
Smax, H_2802, X, X1, X3;10.942 + 1.948*Smax - 0.018*H_2802 + 0.531*X + 0.894*X1 + 0.381*X3;LinearRegression;0.7064274753573385;0.7077854350438817;75.67567567567568
Smax, H_2802, X, X1, X3;10.942 + 1.948*Smax - 0.018*H_2802 + 0.531*X + 0.894*X1 + 0.381*X3;Lars5;0.7064274753573385;0.7077854350438817;75.67567567567568
Smax, H_2802, X, X1, X3;10.942 + 1.948*Smax - 0.018*H_2802 + 0.531*X + 0.894*X1 + 0.381*X3;OMP5;0.7064274753573386;0.7077854350438816;75.67567567567568
Smax, X, X1, X3;9.726 + 1.952*Smax + 0.529*X + 0.888*X1 + 0.372*X3;OMP4;0.7064628165929049;0.7077501598527687;72.97297297297297
Smax, X, X1, X3;14.736 + 1.935*Smax + 0.512*X + 0.847*X1 + 0.364*X3;Lars4;0.7065549714391575;0.7076581606500496;72.97297297297297
Smax, H_2802, X, X1, X3;19.396 + 1.877*Smax - 0.016*H_2802 + 0.519*X + 0.821*X1 + 0.373*X3;Ridge;0.7069099544247978;0.7073035531758132;72.97297297297297
Smax, H_2802, X, X1, X3;52.786 + 1.582*Smax - 0.008*H_2802 + 0.48*X + 0.563*X1 + 0.336*X3;BayesianRidge;0.718114716724824;0.6959247470978639;72.97297297297297
Smax, H_2802, X, X1, X3;6.753 + 1.888*Smax - 0.058*H_2802 + 0.622*X + 1.186*X1 + 0.255*X3;TheilSenRegressor;0.7203285076793796;0.6936330737676787;64.86486486486487
Smax, H_2802, X, X1, X3;0.008 + 1.565*Smax + 0.238*H_2802 + 0.614*X + 0.659*X1 + 0.308*X3;SGDRegressor;0.729504699830411;0.6839757984938809;67.56756756756756
Smax, X, X3;65.797 + 1.885*Smax + 0.267*X + 0.419*X3;OMP3;0.7343469262447736;0.6787743306245847;70.27027027027027
Smax, H_2802, X, X1, X3;0.014 + 1.922*Smax + 0.04*H_2802 + 0.534*X + 0.941*X1 + 0.247*X3;PassiveAggressiveRegressor;0.740570979984833;0.6719781422072477;70.27027027027027
Smax, X3;84.587 + 2.042*Smax + 0.392*X3;OMP2;0.7433483879344066;0.6689044581667242;72.97297297297297
Smax, H_2802, X, X1, X3;111.699 + 1.932*Smax + 0.01*H_2802 + 0.04*X + 0.075*X1 + 0.169*X3;ARDRegression;0.7441369369806665;0.6680271094955889;72.97297297297297
Smax, X, X3;118.213 + 1.586*Smax + 0.172*X + 0.205*X3;Lars3;0.7484331819426265;0.6632102020982754;78.37837837837837
Smax;139.138 + 1.981*Smax;OMP1;0.7631806607168751;0.6461851740080037;75.67567567567568
Smax, X, X3;149.68 + 1.407*Smax + 0.115*X + 0.077*X3;Lasso;0.769907879917153;0.6381550410687631;75.67567567567568
Smax, X, X3;149.68 + 1.407*Smax + 0.115*X + 0.077*X3;ElasticNet;0.769907879917153;0.6381550410687631;75.67567567567568
Smax, X, X3;149.68 + 1.407*Smax + 0.115*X + 0.077*X3;LassoLars;0.7699084683991879;0.6381543310886613;75.67567567567568
Smax, H_2802, X, X1, X3;93.117 + 0.994*Smax + 0.049*H_2802 + 0.405*X + 0.223*X1 + 0.283*X3;HuberRegressor;0.7848702368178789;0.6196601579555092;67.56756756756756
Smax, X;168.504 + 1.299*Smax + 0.081*X;Lars2;0.7870578701784712;0.6168791688735556;70.27027027027027
Smax, H_2802, X1, X3;84.905 + 1.787*Smax + 0.073*H_2802 + 0.23*X1 + 0.139*X3;QuantileRegressor;0.8045432052821192;0.5938941242632173;72.97297297297297
Smax;192.323 + 0.989*Smax;Lars1;0.8289399734777488;0.5593375728222708;67.56756756756756
