Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Мосты
Предикторы:;; Smax, H_2802, X, X1, X3
Уравнение:;; 19.396 + 1.877*Smax - 0.016*H_2802 + 0.519*X + 0.821*X1 + 0.373*X3
Модель:;; Ridge

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;202.0;-43.351351351351354;1879.3396639883129;-0.7068286549986418;218.32409243694076;-16.32409243694076;266.4759938897865;-0.2661586303910377
2.0;1978.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;291.6923646072401;-11.692364607240108;136.71139010864113;-0.19063992451141032
3.0;1979.0;553.0;307.64864864864865;94647.69101533966;5.016103852774027;386.8811373347221;166.1188626652779;27595.47653320546;2.708510083479608
4.0;1980.0;313.0;67.64864864864865;4576.339663988312;1.1029876081431422;271.5707094382738;41.42929056172619;1716.386116447935;0.6754901245859323
5.0;1981.0;280.0;34.648648648648646;1200.5288531775016;0.5649341245063957;235.357114288059;44.642885711941005;1992.9872446894265;0.7278866720274848
6.0;1982.0;247.0;1.6486486486486456;2.718042366691005;0.026880640869649045;290.47629037320525;-43.476290373205245;1890.1878246152592;-0.7088657421486616
7.0;1983.0;234.0;-11.351351351351354;128.85317750182622;-0.18507982238119053;173.95941794636124;60.04058205363876;3604.8714933397287;0.9789407373799474
8.0;1984.0;173.0;-72.35135135135135;5234.718042366691;-1.179663534558207;192.5151953249835;-19.515195324983495;380.84284857225765;-0.31818844934724
9.0;1985.0;324.0;78.64864864864865;6185.609934258582;1.2823387693553912;270.7980027478891;53.201997252110914;2830.4525116136174;0.8674399987251787
10.0;1986.0;320.0;74.64864864864865;5572.420745069393;1.2171201652782098;331.8708309487904;-11.870830948790399;140.91662741475997;-0.1935497559290782
11.0;1987.0;329.0;83.64864864864865;6997.096420745069;1.363862024451868;260.00146401545703;68.99853598454297;4760.797968010271;1.1249970500702655
12.0;1988.0;399.0;153.64864864864865;23607.90723155588;2.5051875958025427;224.327270144433;174.672729855567;30510.56255519589;2.8479779028826724
13.0;1989.0;127.0;-118.35135135135135;14007.042366691016;-1.929677481445793;209.04889987325757;-82.04889987325757;6732.021970411845;-1.3377786789505712
14.0;1991.0;203.0;-42.351351351351354;1793.6369612856101;-0.6905240039793464;209.2335060598896;-6.233506059889606;38.85659779868045;-0.10163514093316282
15.0;1992.0;164.0;-81.35135135135135;6618.042366691016;-1.3264053937318652;149.46925899248117;14.530741007518827;211.14243422758926;0.23691866117935861
16.0;1993.0;210.0;-35.351351351351354;1249.7180423666912;-0.576391446844279;182.71026756696736;27.28973243303264;744.7294962665136;0.44494956373054306
17.0;1994.0;380.0;134.64864864864865;18130.25858290723;2.195399226435931;260.93112379377277;119.06887620622723;14177.397281013866;1.9413764738022148
18.0;1995.0;196.0;-49.351351351351354;2435.5558802045293;-0.8046565611144139;192.979224280399;3.020775719601005;9.12508594813097;0.04925269391565518
19.0;1996.0;325.0;79.64864864864865;6343.90723155588;1.2986434203746864;374.12872735131543;-49.12872735131543;2413.6318511598893;-0.8010267544853086
20.0;1999.0;328.0;82.64864864864865;6830.799123447771;1.3475573734325725;266.17804650056837;61.82195349943163;3821.9539344858867;1.0079853771393377
