Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Вилия-Стешицы
Предикторы:;; S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum
Уравнение:;; 0.006 + 0.824*S_2802 + 0.61*H_2802 + 0.656*X2 - 0.012*X3 + 0.231*Xs + 0.502*L_2802 + 0.343*Y_sum
Модель:;; SGDRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1985.0;281.0;36.400000000000006;1324.9600000000005;1.2720161769953475;264.9428900930451;16.057109906954906;257.8307785640294;0.5611237241054642
2.0;1986.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;268.03671468769016;23.963285312309836;574.2390429591643;0.8374089717366241
3.0;1987.0;275.0;30.400000000000006;924.1600000000003;1.0623431807873234;271.2623605342766;3.7376394657234187;13.969948775733242;0.13061367758726472
4.0;1988.0;291.0;46.400000000000006;2152.9600000000005;1.6214711706753882;223.49407045980732;67.50592954019268;4557.050523085459;2.359028418083329
5.0;1989.0;168.0;-76.6;5867.5599999999995;-2.67682525158911;179.44350401138772;-11.443504011387716;130.95378405864676;-0.39989896219770127
6.0;1991.0;195.0;-49.599999999999994;2460.1599999999994;-1.7332967686530005;234.27416558540787;-39.27416558540787;1542.460082430036;-1.372455328643757
7.0;1992.0;166.0;-78.6;6177.959999999999;-2.746716250325118;170.98260414040388;-4.982604140403879;24.826344019969877;-0.1741195898394981
8.0;1993.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;181.62460968859554;16.37539031140446;268.153407850839;0.5722461917780042
9.0;1994.0;286.0;41.400000000000006;1713.9600000000005;1.4467436738353678;251.0271232167857;34.9728767832143;1223.10211049389;1.2221446435250989
10.0;1996.0;277.0;32.400000000000006;1049.7600000000004;1.1322341795233315;258.54216624077;18.457833759230027;340.69162708337166;0.6450182179678967
11.0;1998.0;207.0;-37.599999999999994;1413.7599999999995;-1.313950776236952;185.85339151639766;21.146608483602336;447.17905035876225;0.7389787933991545
12.0;1999.0;292.0;47.400000000000006;2246.7600000000007;1.6564166700433922;265.6878754359902;26.31212456400982;692.327899071969;0.919490332322449
13.0;2001.0;216.0;-28.599999999999994;817.9599999999997;-0.9994412819249157;184.9815482564384;31.0184517435616;962.1443485676596;1.083955285801096
14.0;2003.0;198.0;-46.599999999999994;2171.5599999999995;-1.6284602705489886;196.958309259748;1.041690740251994;1.085119598326747;0.03640240310513172
15.0;2004.0;296.0;51.400000000000006;2641.9600000000005;1.7961986675154082;264.42775263050464;31.572247369495358;996.8068039606065;1.1033079504971675
16.0;2005.0;220.0;-24.599999999999994;605.1599999999997;-0.8596592844528994;207.7923982052416;12.207601794758403;149.0255415793886;0.4266007408035749
17.0;2006.0;279.0;34.400000000000006;1183.3600000000004;1.2021251782593394;237.52681882640852;41.473181173591485;1720.024756657543;1.4493010264908586
18.0;2007.0;236.0;-8.599999999999994;73.95999999999991;-0.30053129456483463;223.66675843637412;12.333241563625876;152.10884746674884;0.4309912852671293
19.0;2008.0;227.0;-17.599999999999994;309.7599999999998;-0.6150407888768711;163.04242327194814;63.95757672805186;4090.571620924641;2.235029457129207
20.0;2009.0;233.0;-11.599999999999994;134.55999999999986;-0.40536779266884676;209.32250377173207;23.677496228267927;560.623827639642;0.8274219294808551
21.0;2010.0;321.0;76.4;5836.960000000001;2.6698361517155096;256.1964335887435;64.8035664112565;4199.502219618132;2.2645929890689724
