Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Витебск
Предикторы:;; 
Уравнение:;; 
Модель:;; BaggingRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;520.0;-87.75757575757575;7701.3921028466475;-0.6994776996672722;470.0374410290114;49.962558970988596;2496.257298929513;0.3982299592579692
2.0;1992.0;687.0;79.24242424242425;6279.361799816346;0.6316071079523194;699.3441667695319;-12.344166769531853;152.37845323401447;-0.09839001706375128
3.0;1993.0;604.0;-3.7575757575757507;14.119375573920976;-0.0299500120023279;465.94435488654756;138.05564511345244;19059.361147691525;1.1003818671654997
4.0;1994.0;941.0;333.24242424242425;111050.51331496786;2.656131306367746;780.580687446664;160.419312553336;25734.355840084903;1.278632992745655
5.0;1995.0;610.0;2.2424242424242493;5.028466483011968;0.017873394259453834;438.5129923136817;171.4870076863183;29407.793805207388;1.3668488062000146
6.0;1996.0;483.0;-124.75757575757575;15564.452708907253;-0.9943887049482596;570.2985519694788;-87.29855196947881;7621.037175967792;-0.6958190194836085
7.0;1997.0;374.0;-233.75757575757575;54642.60422405876;-1.8631805853706278;443.96251128761145;-69.96251128761145;4894.752985669159;-0.5576409334003222
8.0;1998.0;484.0;-123.75757575757575;15315.9375573921;-0.9864181372379626;621.8069845409302;-137.80698454093022;18990.764988264178;-1.09839990123533
9.0;1999.0;838.0;230.24242424242425;53011.57392102847;1.8351628322071598;866.7229315001579;-28.72293150015787;825.0067939627612;-0.22893807036022962
10.0;2000.0;764.0;156.24242424242425;24411.695133149682;1.2453408216451851;624.3388874307551;139.6611125692449;19505.226364079295;1.1131783542285716
11.0;2001.0;654.0;46.24242424242425;2138.361799816346;0.3685783735125199;734.1321461009331;-80.13214610093314;6421.160838741294;-0.6386986962688959
12.0;2002.0;507.0;-100.75757575757575;10152.089072543617;-0.8030950799011326;628.001719936294;-121.00171993629397;14641.41622754132;-0.9644524018146201
13.0;2003.0;378.0;-229.75757575757575;52788.54361799816;-1.83129831452944;424.96176535895347;-46.96176535895347;2205.407405629402;-0.37431193058861667
14.0;2004.0;879.0;271.24242424242425;73572.45270890727;2.161956108329335;850.0774758332589;28.92252416674114;836.5124041757254;0.23052893722371032
15.0;2005.0;672.0;64.24242424242425;4127.089072543619;0.5120485922978651;625.8442619996449;46.155738000355086;2130.3521503574225;0.3678874349505564
16.0;2006.0;555.0;-52.75757575757575;2783.3617998163445;-0.42050782980687873;600.850003483621;-45.85000348362098;2102.2228194480563;-0.36545055728355236
