Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Витебск
Предикторы:;; Smax, H_2802, X
Уравнение:;; 203.92 + 3.097*Smax + 0.411*H_2802 + 0.557*X
Модель:;; OMP3

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;520.0;-87.75757575757575;7701.3921028466475;-0.6994776996672722;539.7050953861738;-19.705095386173753;388.29078417820614;-0.15706079701335804
2.0;1992.0;687.0;79.24242424242425;6279.361799816346;0.6316071079523194;536.5878542435063;150.41214575649371;22623.81359107271;1.1988701922031881
3.0;1993.0;604.0;-3.7575757575757507;14.119375573920976;-0.0299500120023279;492.3644142157527;111.63558578424733;12462.504013392043;0.8897989953720076
4.0;1994.0;941.0;333.24242424242425;111050.51331496786;2.656131306367746;651.3780652960497;289.6219347039503;83880.86506165923;2.3084512409450393
5.0;1995.0;610.0;2.2424242424242493;5.028466483011968;0.017873394259453834;480.38548951760964;129.61451048239036;16799.92132758968;1.0331012320368869
6.0;1996.0;483.0;-124.75757575757575;15564.452708907253;-0.9943887049482596;561.8454343956031;-78.84543439560309;6216.602525031351;-0.628442873497931
7.0;1997.0;374.0;-233.75757575757575;54642.60422405876;-1.8631805853706278;508.54633090150253;-134.54633090150253;18102.715159056614;-1.0724106406224456
8.0;1998.0;484.0;-123.75757575757575;15315.9375573921;-0.9864181372379626;649.5072797407336;-165.50727974073357;27392.659647177436;-1.3191869797205764
9.0;1999.0;838.0;230.24242424242425;53011.57392102847;1.8351628322071598;715.5091418296033;122.49085817039668;15004.010335320234;0.9763216789395278
10.0;2000.0;764.0;156.24242424242425;24411.695133149682;1.2453408216451851;525.6286375168729;238.3713624831271;56820.906452062365;1.899955084867504
11.0;2001.0;654.0;46.24242424242425;2138.361799816346;0.3685783735125199;697.4604024111828;-43.46040241118283;1888.806577741946;-0.3464040801350858
12.0;2002.0;507.0;-100.75757575757575;10152.089072543617;-0.8030950799011326;628.8018408195865;-121.80184081958646;14835.688427039879;-0.9708298194913255
