Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.ЗападнаяДвина-Сураж
Предикторы:;; 
Уравнение:;; 
Модель:;; VotingRegressor

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1991.0;545.0;-64.12121212121212;4111.529843893481;-0.671531324889075;544.1854392430138;0.814560756986225;0.6635092268219719;0.008530766126310515
2.0;1992.0;683.0;73.87878787878788;5458.075298438935;0.7737208743287168;662.9211248064973;20.078875193502654;403.16122903625626;0.21028288790745853
3.0;1993.0;614.0;4.878787878787875;23.802571166207496;0.051094774719820886;614.3908532895488;-0.3908532895487724;0.15276629395109653;-0.004093344755738201
4.0;1994.0;876.0;266.8787878787879;71224.28741965105;2.7949793848289617;753.5835203047427;122.4164796952573;14985.794500979342;1.2820484528990634
5.0;1995.0;625.0;15.878787878787875;252.13590449954074;0.16629603697631154;571.3250313421918;53.67496865780822;2881.0022604166948;0.5621294673597347
6.0;1996.0;482.0;-127.12121212121212;16159.802571166209;-1.3313203723580669;611.8868846084652;-129.88688460846515;16870.602793292743;-1.360284823405303
7.0;1997.0;464.0;-145.12121212121212;21060.166207529845;-1.5198315287777788;526.1814044114791;-62.18140441147909;3866.5270545839116;-0.651216025189428
8.0;1998.0;522.0;-87.12121212121212;7590.1056014692385;-0.9124066914253737;527.9580714992524;-5.958071499252355;35.49861599020321;-0.06239794157529937
9.0;1999.0;824.0;214.87878787878788;46172.89348025712;2.2503915996164605;756.3201356875809;67.67986431241911;4580.564033347462;0.7088005271035178
10.0;2000.0;754.0;144.87878787878788;20989.863177226813;1.5172926579842474;644.688019876104;109.31198012389598;11949.10899860703;1.1448070990935668
11.0;2001.0;664.0;54.878787878787875;3011.681359044995;0.5747368758856874;659.6964798698857;4.303520130114293;18.520285510298944;0.045070086466853045
12.0;2002.0;536.0;-73.12121212121212;5346.711662075299;-0.765786903098931;579.7484360507055;-43.74843605070555;1913.925656882673;-0.45817045952624
13.0;2003.0;423.0;-186.12121212121212;34641.10560146924;-1.9492180517337896;567.1835714202977;-144.18357142029765;20788.902267512076;-1.5100117658424692
14.0;2004.0;814.0;204.87878787878788;41975.31772268136;2.145663179383287;759.399881694869;54.60011830513099;2981.1729189343005;0.5718184134640737
15.0;2005.0;668.0;58.878787878787875;3466.711662075298;0.6166282439789568;618.4291221568014;49.57087784319856;2457.271930145314;0.5191479726089799
16.0;2006.0;579.0;-30.121212121212125;907.2874196510562;-0.31545469609628574;660.2957280520039;-81.29572805200394;6608.99539950538;-0.8513973170592045
17.0;2007.0;588.0;-21.121212121212125;446.10560146923797;-0.22119911788642974;566.7304185563546;21.269581443645393;452.3950947878644;0.22275296636138
18.0;2008.0;516.0;-93.12121212121212;8671.560146923784;-0.9752437435652777;542.0622915922726;-26.062291592272572;679.2430430406416;-0.2729462626115022
19.0;2009.0;661.0;51.878787878787875;2691.4086317722677;0.5433183498157355;627.0209154503578;33.97908454964215;1154.5781868317301;0.355857584585345
20.0;2010.0;809.0;199.87878787878788;39951.52984389348;2.0932989692667006;759.4129452601801;49.587054739819905;2458.8759977698955;0.5193173906917228
21.0;2011.0;724.0;114.87878787878788;13197.13590449954;1.2031073972847275;727.0774809483537;-3.0774809483536956;9.470888987479961;-0.03222997180187706
22.0;2012.0;825.0;215.87878787878788;46603.65105601469;2.260864441639778;741.2286567095456;83.77134329045441;7017.637956687161;0.8773240443620134
23.0;2013.0;862.0;252.87878787878788;63947.681359045;2.648359596502519;769.526437301027;92.47356269897296;8551.359798240883;0.9684610134796741
24.0;2014.0;366.0;-243.12121212121212;59107.92378328742;-2.5461700470628776;436.6256749292005;-70.6256749292005;4987.9859592051;-0.7396515363236803
25.0;2015.0;421.0;-188.12121212121212;35389.590449954085;-1.9701637357804243;459.73491979833886;-38.734919798338865;1500.3940117837442;-0.40566469583386977
26.0;2016.0;431.0;-178.12121212121212;31727.166207529845;-1.865435315547251;464.6915831432726;-33.691583143272624;1135.122774700052;-0.3528466277749554
27.0;2017.0;621.0;11.878787878787875;141.10560146923774;0.1244046688830422;611.6931692208427;9.30683077915728;86.61709915186931;0.09746896848786156
28.0;2018.0;608.0;-1.1212121212121247;1.257116620752992;-0.011742277420083104;614.1609458344856;-6.160945834485574;37.957253575465145;-0.06452261243878238
29.0;2019.0;434.0;-175.12121212121212;30667.438934802572;-1.834016789477299;595.3981625449749;-161.39816254497487;26049.366872894127;-1.6902974591872142
30.0;2020.0;482.0;-127.12121212121212;16159.802571166209;-1.3313203723580669;499.1225193283236;-17.12251932832362;293.1806681488159;-0.17932143996673086
31.0;2021.0;594.0;-15.121212121212125;228.65105601469247;-0.15836206574652575;569.0319924758152;24.968007524184827;623.4013997277501;0.2614859984377862
32.0;2022.0;576.0;-33.121212121212125;1097.014692378329;-0.3468732221662377;617.433170314226;-41.433170314226004;1716.707602287659;-0.43392304722609026
33.0;2023.0;510.0;-99.12121212121212;9825.014692378329;-1.0380807957051816;652.9246339776388;-142.9246339776388;20427.45099764202;-1.4968271128882638
Сумма;;20101.0
Средний;;609.1212121212121
Высший;;876.0
Низший;;366.0

σ = ;;141.66923571645626;;σ -;среднеквадратическое отклонение (см)
δдоп =;;95.48506487289153;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;48.484848484848484;;Pк -;климатическая обеспеченность в %
Pм =;;81.81818181818183;;Pм -;обеспеченность метода в %
S =;;72.35407940851684;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.5107254164434814;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.26084045100136743;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.8597438857000569;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
