8;8O-8E0;8H:8;;;;;;;
@>3=>7 <0:A8<0;L=>3> C@>2=O 2>4K =0 2024 3>4;;;;;;;
;;;;;;;
Group;Hmax;Criterion;Correlation;Pm;Method;Predictors;Equations
2;223;0.142;0.990;100.000;AdaBoostRegressor;;
2;216;0.186;0.982;100.000;ExtraTreesRegressor;;
2;224;0.186;0.982;100.000;KNeighborsRegressor;;
2;206;0.191;0.982;100.000;RandomForestRegressor;;
2;217;0.192;0.981;100.000;StackingRegressorRidge;;
2;213;0.209;0.978;100.000;VotingRegressor;;
2;215;0.219;0.976;100.000;BaggingRegressor;;
2;213;0.271;0.963;96.667;HistGradientBoostingRegressor;;
0;228;0.466;0.885;83.333;AdaBoostRegressor;;
0;227;0.497;0.868;86.667;KNeighborsRegressor;;
2;225;0.557;0.831;70.000;BayesianRidge;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 88.616 + 1.104*S_2802 + 0.38*H_2802 + 0.564*X2 + 0.262*X3 + 0.48*Xs + 1.499*L_2802 + 0.642*Y_sum
2;224;0.557;0.831;70.000;ElasticNetCV;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 88.575 + 1.106*S_2802 + 0.379*H_2802 + 0.563*X2 + 0.261*X3 + 0.48*Xs + 1.501*L_2802 + 0.646*Y_sum
2;225;0.557;0.831;70.000;LassoCV;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 89.256 + 1.109*S_2802 + 0.378*H_2802 + 0.566*X2 + 0.258*X3 + 0.482*Xs + 1.505*L_2802 + 0.662*Y_sum
2;225;0.557;0.831;70.000;RidgeCV;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.289 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.682*Y_sum
2;225;0.557;0.831;70.000;Lars10;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.295 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.683*Y_sum
2;225;0.557;0.831;70.000;Lars11;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.295 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.683*Y_sum
2;225;0.557;0.831;70.000;Lars12;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.295 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.683*Y_sum
2;225;0.557;0.831;70.000;Lars13;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.295 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.683*Y_sum
2;225;0.557;0.831;70.000;Lars14;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.295 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.683*Y_sum
2;225;0.557;0.831;70.000;Lars7;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.295 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.683*Y_sum
2;225;0.557;0.831;70.000;Lars8;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 90.295 + 1.113*S_2802 + 0.378*H_2802 + 0.571*X2 + 0.255*X3 + 0.484*Xs + 1.508*L_2802 + 0.683*Y_sum
